id,name/id,product_code,price,min_qty_sale,product_tmpl_id/id,discount_sale,discount_purchase,date_start,date_end,sequence,ratio_main_product,ratio_promotional_product
__import__.supplierinfo_promo_60422-1421825-20170301,__import__.supplier_60422,033974,11.38,1,__import__.product_1421825_product_template,20.00,20.00,2017-03-01,2017-03-31,1,0,0
__import__.supplierinfo_promo_60422-1421825-20170501,__import__.supplier_60422,033974,11.38,1,__import__.product_1421825_product_template,20.00,20.00,2017-05-01,2017-05-31,1,0,0
__import__.supplierinfo_promo_60422-1421825-20180301,__import__.supplier_60422,033974,11.38,1,__import__.product_1421825_product_template,20.00,20.00,2018-03-01,2018-04-30,1,0,0
__import__.supplierinfo_promo_60422-2081784-20170301,__import__.supplier_60422,033978,9.34,1,__import__.product_2081784_product_template,30.00,30.00,2017-03-01,2017-03-31,1,0,0
__import__.supplierinfo_promo_60422-2081784-20180301,__import__.supplier_60422,033978,9.34,1,__import__.product_2081784_product_template,30.00,30.00,2018-03-01,2018-03-31,1,0,0
__import__.supplierinfo_promo_60422-2382729-20170501,__import__.supplier_60422,033080,7.43,1,__import__.product_2382729_product_template,0,0,2017-05-01,2017-05-31,1,10,2
__import__.supplierinfo_promo_60422-2730984-20170401,__import__.supplier_60422,034011,23.81,1,__import__.product_2730984_product_template,15.00,15.00,2017-04-01,2017-04-30,1,0,0
__import__.supplierinfo_promo_60422-2730984-20180401,__import__.supplier_60422,034011,23.81,1,__import__.product_2730984_product_template,15.00,15.00,2018-04-01,2018-04-30,1,0,0
__import__.supplierinfo_promo_60422-2879526-20170301,__import__.supplier_60422,033625,16.96,1,__import__.product_2879526_product_template,20.00,20.00,2017-03-01,2017-03-31,1,0,0
__import__.supplierinfo_promo_60422-2879526-20170401,__import__.supplier_60422,033625,16.96,1,__import__.product_2879526_product_template,10.00,10.00,2017-04-01,2017-05-31,1,0,0
__import__.supplierinfo_promo_60422-2879526-20180301,__import__.supplier_60422,033625,16.96,1,__import__.product_2879526_product_template,20.00,20.00,2018-03-01,2018-03-31,1,0,0
__import__.supplierinfo_promo_60422-2879526-20180401,__import__.supplier_60422,033625,16.96,1,__import__.product_2879526_product_template,30.00,30.00,2018-04-01,2018-04-30,1,0,0
__import__.supplierinfo_promo_60422-2954444-20180401,__import__.supplier_60422,033588,43.55,1,__import__.product_2954444_product_template,10.00,10.00,2018-04-01,2018-04-30,1,0,0
__import__.supplierinfo_promo_60422-3033123-20170301,__import__.supplier_60422,033950,5.62,1,__import__.product_3033123_product_template,20.00,20.00,2017-03-01,2017-03-31,1,0,0
__import__.supplierinfo_promo_60422-3033123-20170501,__import__.supplier_60422,033950,5.62,1,__import__.product_3033123_product_template,20.00,20.00,2017-05-01,2017-05-31,1,0,0
__import__.supplierinfo_promo_60422-3033123-20180301,__import__.supplier_60422,033950,5.62,1,__import__.product_3033123_product_template,20.00,20.00,2018-03-01,2018-03-31,1,0,0
__import__.supplierinfo_promo_60422-3033123-20180401,__import__.supplier_60422,033950,5.62,1,__import__.product_3033123_product_template,20.00,20.00,2018-04-01,2018-04-30,1,0,0
__import__.supplierinfo_promo_60422-5090362-20170301,__import__.supplier_60422,033533,42.10,1,__import__.product_5090362_product_template,30.00,30.00,2017-03-01,2017-03-31,1,0,0
__import__.supplierinfo_promo_60422-5090362-20180401,__import__.supplier_60422,033533,42.10,1,__import__.product_5090362_product_template,40.00,40.00,2018-04-01,2018-04-30,1,0,0
__import__.supplierinfo_promo_62600-1357201-20170301,__import__.supplier_62600,84228214,11.26,1,__import__.product_1357201_product_template,15.00,15.00,2017-03-01,2017-03-31,1,0,0
__import__.supplierinfo_promo_62600-1357219-20170301,__import__.supplier_62600,84229822,12.79,1,__import__.product_1357219_product_template,15.00,15.00,2017-03-01,2017-03-31,1,0,0
__import__.supplierinfo_promo_62600-2087088-20170301,__import__.supplier_62600,84193658,23.32,1,__import__.product_2087088_product_template,20.00,20.00,2017-03-01,2017-03-31,1,0,0
__import__.supplierinfo_promo_62600-2890184-20170201,__import__.supplier_62600,83894793,24.46,1,__import__.product_2890184_product_template,20.00,20.00,2017-02-01,2017-03-31,1,0,0
__import__.supplierinfo_promo_62600-2890184-20170401,__import__.supplier_62600,83894793,24.46,1,__import__.product_2890184_product_template,10.00,10.00,2017-04-01,2017-05-31,1,0,0
__import__.supplierinfo_promo_62600-2890184-20180101,__import__.supplier_62600,83894793,24.46,1,__import__.product_2890184_product_template,15.00,15.00,2018-01-01,2018-03-31,1,0,0
__import__.supplierinfo_promo_62758-1203074-20180201,__import__.supplier_62758,1203074,22.43,1,__import__.product_1203074_product_template,5.00,5.00,2018-02-01,2018-03-31,1,0,0
__import__.supplierinfo_promo_62758-1331313-20170301,__import__.supplier_62758,1331313,5.26,1,__import__.product_1331313_product_template,20.00,20.00,2017-03-01,2017-03-31,1,0,0
__import__.supplierinfo_promo_62758-1331313-20170501,__import__.supplier_62758,1331313,5.26,1,__import__.product_1331313_product_template,20.00,20.00,2017-05-01,2017-05-31,1,0,0
__import__.supplierinfo_promo_62758-1331313-20180301,__import__.supplier_62758,1331313,5.26,1,__import__.product_1331313_product_template,20.00,20.00,2018-03-01,2018-03-31,1,0,0
__import__.supplierinfo_promo_62758-1688803-20180201,__import__.supplier_62758,1688803,50.92,1,__import__.product_1688803_product_template,10.00,10.00,2018-02-01,2018-04-30,1,0,0
__import__.supplierinfo_promo_62758-1688811-20180201,__import__.supplier_62758,1688811,143.04,1,__import__.product_1688811_product_template,10.00,10.00,2018-02-01,2018-04-30,1,0,0
__import__.supplierinfo_promo_62758-2251841-20180201,__import__.supplier_62758,2251841,158.37,1,__import__.product_2251841_product_template,15.00,15.00,2018-02-01,2018-03-31,1,0,0
__import__.supplierinfo_promo_62758-2251841-20180501,__import__.supplier_62758,2251841,158.37,1,__import__.product_2251841_product_template,10.00,10.00,2018-05-01,2018-05-31,1,0,0
__import__.supplierinfo_promo_62758-2251874-20180201,__import__.supplier_62758,2251874,53.53,1,__import__.product_2251874_product_template,15.00,15.00,2018-02-01,2018-03-31,1,0,0
__import__.supplierinfo_promo_62758-2552271-20170301,__import__.supplier_62758,2552271,9.41,1,__import__.product_2552271_product_template,10.00,10.00,2017-03-01,2017-03-31,1,0,0
__import__.supplierinfo_promo_62758-2552271-20170501,__import__.supplier_62758,2552271,9.41,1,__import__.product_2552271_product_template,10.00,10.00,2017-05-01,2017-05-31,1,0,0
__import__.supplierinfo_promo_62758-2552271-20180201,__import__.supplier_62758,2552271,9.41,1,__import__.product_2552271_product_template,10.00,10.00,2018-02-01,2018-03-31,1,0,0
__import__.supplierinfo_promo_62758-2655116-20180201,__import__.supplier_62758,2655116,16.89,1,__import__.product_2655116_product_template,5.00,5.00,2018-02-01,2018-03-31,1,0,0
__import__.supplierinfo_promo_62758-3113412-20170201,__import__.supplier_62758,3113412,14.24,1,__import__.product_3113412_product_template,10.00,10.00,2017-02-01,2017-03-31,1,0,0
__import__.supplierinfo_promo_62758-3113412-20180201,__import__.supplier_62758,3113412,14.24,1,__import__.product_3113412_product_template,15.00,15.00,2018-02-01,2018-03-31,1,0,0
__import__.supplierinfo_promo_62758-3129657-20170201,__import__.supplier_62758,3129657,32.72,1,__import__.product_3129657_product_template,15.00,15.00,2017-02-01,2017-03-31,1,0,0
__import__.supplierinfo_promo_62758-3129657-20180201,__import__.supplier_62758,3129657,32.72,1,__import__.product_3129657_product_template,15.00,15.00,2018-02-01,2018-03-31,1,0,0
__import__.supplierinfo_promo_62758-3129723-20170201,__import__.supplier_62758,3129723,41.97,1,__import__.product_3129723_product_template,15.00,15.00,2017-02-01,2017-03-31,1,0,0
__import__.supplierinfo_promo_62758-3129723-20180201,__import__.supplier_62758,3129723,41.97,1,__import__.product_3129723_product_template,15.00,15.00,2018-02-01,2018-03-31,1,0,0
