id,name,location_id/id
__init.stock_location_output_char0,chariot 0,stock.stock_location_output
__init.stock_location_output_char1,chariot 1,stock.stock_location_output
__init.stock_location_output_char2,chariot 2,stock.stock_location_output
__init.stock_location_output_char3,chariot 3,stock.stock_location_output
__init.stock_location_output_char4,chariot 4,stock.stock_location_output
__init.stock_location_output_char5,chariot 5,stock.stock_location_output
__init.stock_location_output_char6,chariot 6,stock.stock_location_output
__init.stock_location_output_char7,chariot 7,stock.stock_location_output
__init.stock_location_output_char8,chariot 8,stock.stock_location_output
__init.stock_location_output_char9,chariot 9,stock.stock_location_output
__init.stock_location_output_char10,chariot 10,stock.stock_location_output
__init.stock_location_output_char11,chariot 11,stock.stock_location_output
__init.stock_location_output_char12,chariot 12,stock.stock_location_output
__init.stock_location_output_char13,chariot 13,stock.stock_location_output
__init.stock_location_output_char14,chariot 14,stock.stock_location_output
__init.stock_location_output_char15,chariot 15,stock.stock_location_output
__init.stock_location_output_char16,chariot 16,stock.stock_location_output
__init.stock_location_output_char17,chariot 17,stock.stock_location_output
__init.stock_location_output_char18,chariot 18,stock.stock_location_output
__init.stock_location_output_char19,chariot 19,stock.stock_location_output
__init.stock_location_output_char20,chariot 20,stock.stock_location_output
__init.stock_location_output_char21,chariot 21,stock.stock_location_output
__init.stock_location_output_char22,chariot 22,stock.stock_location_output
__init.stock_location_output_char23,chariot 23,stock.stock_location_output
__init.stock_location_output_char24,chariot 24,stock.stock_location_output
__init.stock_location_output_char25,chariot 25,stock.stock_location_output
__init.stock_location_output_char26,chariot 26,stock.stock_location_output
__init.stock_location_output_char27,chariot 27,stock.stock_location_output
__init.stock_location_output_char28,chariot 28,stock.stock_location_output
__init.stock_location_output_char29,chariot 29,stock.stock_location_output
