id,name,location_id/id
__init.stock_location_G,G,__init.stock_location_medoc
__init.stock_location_GAA11094,GAA11094,__init.stock_location_G
__init.stock_location_GAA21033,GAA21033,__init.stock_location_G
__init.stock_location_GAA22023,GAA22023,__init.stock_location_G
__init.stock_location_GAB11097,GAB11097,__init.stock_location_G
__init.stock_location_GAB12087,GAB12087,__init.stock_location_G
__init.stock_location_GAB20000,GAB20000,__init.stock_location_G
__init.stock_location_GAB21003,GAB21003,__init.stock_location_G
__init.stock_location_GAB22033,GAB22033,__init.stock_location_G
__init.stock_location_GAB23048,GAB23048,__init.stock_location_G
__init.stock_location_GAB30081,GAB30081,__init.stock_location_G
__init.stock_location_GAB31024,GAB31024,__init.stock_location_G
__init.stock_location_GAB32070,GAB32070,__init.stock_location_G
__init.stock_location_GAB40086,GAB40086,__init.stock_location_G
__init.stock_location_GAB41067,GAB41067,__init.stock_location_G
__init.stock_location_GAB42071,GAB42071,__init.stock_location_G
__init.stock_location_GAB50066,GAB50066,__init.stock_location_G
__init.stock_location_GAC10025,GAC10025,__init.stock_location_G
__init.stock_location_GAC11066,GAC11066,__init.stock_location_G
__init.stock_location_GAC12008,GAC12008,__init.stock_location_G
__init.stock_location_GAC13015,GAC13015,__init.stock_location_G
__init.stock_location_GAC20077,GAC20077,__init.stock_location_G
__init.stock_location_GAC21083,GAC21083,__init.stock_location_G
__init.stock_location_GAC22063,GAC22063,__init.stock_location_G
__init.stock_location_GAC23011,GAC23011,__init.stock_location_G
__init.stock_location_GAC25085,GAC25085,__init.stock_location_G
__init.stock_location_GAC30012,GAC30012,__init.stock_location_G
__init.stock_location_GAC32057,GAC32057,__init.stock_location_G
__init.stock_location_GAC34020,GAC34020,__init.stock_location_G
__init.stock_location_GAC35057,GAC35057,__init.stock_location_G
__init.stock_location_GAC36066,GAC36066,__init.stock_location_G
__init.stock_location_GAC41008,GAC41008,__init.stock_location_G
__init.stock_location_GAC42064,GAC42064,__init.stock_location_G
__init.stock_location_GAC44046,GAC44046,__init.stock_location_G
__init.stock_location_GAC45035,GAC45035,__init.stock_location_G
__init.stock_location_GAC50003,GAC50003,__init.stock_location_G
__init.stock_location_GAC51053,GAC51053,__init.stock_location_G
__init.stock_location_GAC52083,GAC52083,__init.stock_location_G
__init.stock_location_GAC53045,GAC53045,__init.stock_location_G
__init.stock_location_GAD10098,GAD10098,__init.stock_location_G
__init.stock_location_GAD11038,GAD11038,__init.stock_location_G
__init.stock_location_GAD13008,GAD13008,__init.stock_location_G
__init.stock_location_GAD21077,GAD21077,__init.stock_location_G
__init.stock_location_GAD22000,GAD22000,__init.stock_location_G
__init.stock_location_GAD23050,GAD23050,__init.stock_location_G
__init.stock_location_GAD25001,GAD25001,__init.stock_location_G
__init.stock_location_GAD31075,GAD31075,__init.stock_location_G
__init.stock_location_GAD32528,GAD32528,__init.stock_location_G
__init.stock_location_GAD33051,GAD33051,__init.stock_location_G
__init.stock_location_GAD41014,GAD41014,__init.stock_location_G
__init.stock_location_GAD42037,GAD42037,__init.stock_location_G
__init.stock_location_GAD43002,GAD43002,__init.stock_location_G
__init.stock_location_GAD44040,GAD44040,__init.stock_location_G
__init.stock_location_GAD45091,GAD45091,__init.stock_location_G
__init.stock_location_GAD46032,GAD46032,__init.stock_location_G
__init.stock_location_GAD47023,GAD47023,__init.stock_location_G
__init.stock_location_GAD50020,GAD50020,__init.stock_location_G
__init.stock_location_GAD51002,GAD51002,__init.stock_location_G
__init.stock_location_GAD51513,GAD51513,__init.stock_location_G
__init.stock_location_GAD52029,GAD52029,__init.stock_location_G
__init.stock_location_GAE10035,GAE10035,__init.stock_location_G
__init.stock_location_GAE11064,GAE11064,__init.stock_location_G
__init.stock_location_GAE12086,GAE12086,__init.stock_location_G
__init.stock_location_GAE20056,GAE20056,__init.stock_location_G
__init.stock_location_GAE21033,GAE21033,__init.stock_location_G
__init.stock_location_GAE22073,GAE22073,__init.stock_location_G
__init.stock_location_GAE31000,GAE31000,__init.stock_location_G
__init.stock_location_GAE32022,GAE32022,__init.stock_location_G
__init.stock_location_GAE33030,GAE33030,__init.stock_location_G
__init.stock_location_GAE35000,GAE35000,__init.stock_location_G
__init.stock_location_GAE40089,GAE40089,__init.stock_location_G
__init.stock_location_GAE41094,GAE41094,__init.stock_location_G
__init.stock_location_GAE42031,GAE42031,__init.stock_location_G
__init.stock_location_GAE50060,GAE50060,__init.stock_location_G
__init.stock_location_GAE50135,GAE50135,__init.stock_location_G
