name,weight,uom_id/id,default_code,active,price_category_id/id,id,uom_po_id/id
COUGH LINCTUS 500ML,0,product.product_uom_unit,0021830,True,,scenario.product_0021830,product.product_uom_unit
ESTIFOR 500GR CHIEN/CHAT,0.600,product.product_uom_unit,3241019,True,,scenario.product_3241019,product.product_uom_unit
FORFAIT DEPLACEMENT,0,product.product_uom_unit,7750013,True,scenario.product_price_category_gma,scenario.product_7750013,product.product_uom_unit
GUIDE SONDE BIVONA VGW,0,product.product_uom_unit,6020117,True,scenario.product_price_category_gma,scenario.product_6020117,product.product_uom_unit
AIMANT CAGE BOVIMAX BOVIN AIP 12P,1.860,product.product_uom_unit,5039027,True,scenario.product_price_category_gma,scenario.product_5039027,product.product_uom_unit
ANANXIVIA CHAT/PETIT CHIEN 30 GELULES,0.030,product.product_uom_unit,5039010,True,scenario.product_price_category_gma,scenario.product_5039010,product.product_uom_unit
ANANXIVIA GRAND CHIEN 30 GELULES,0.030,product.product_uom_unit,5039009,True,scenario.product_price_category_gma,scenario.product_5039009,product.product_uom_unit
ANIMAL ID TRANSPONDEURS 10P,0,product.product_uom_unit,5039032,True,scenario.product_price_category_gma,scenario.product_5039032,product.product_uom_unit
ARTIVIA 10x15 COMPRIMES,0,product.product_uom_unit,5039013,True,scenario.product_price_category_gma,scenario.product_5039013,product.product_uom_unit
BELCAM ID TRANSPONDEURS 10P,0,product.product_uom_unit,5039031,True,scenario.product_price_category_gma,scenario.product_5039031,product.product_uom_unit
"COMPRESSE N-ST 16PL 07,5x12,5 par 50",0.190,product.product_uom_unit,5180316,True,scenario.product_price_category_gma,scenario.product_5180316,product.product_uom_unit
CONTEXO CATGUT CH USP2 EP6 50M,0.260,product.product_uom_unit,6040020,True,scenario.product_price_category_gma,scenario.product_6040020,product.product_uom_unit
CONTEXO CATGUT CH USP3 EP7 50M,0.270,product.product_uom_unit,6040040,True,scenario.product_price_category_gma,scenario.product_6040040,product.product_uom_unit
CONTEXO CATGUT CH USP4 EP8 30M,0,product.product_uom_unit,6040014,True,scenario.product_price_category_gma,scenario.product_6040014,product.product_uom_unit
CONTEXO CATGUT PL USP2 EP6 50M,0.270,product.product_uom_unit,6040010,True,scenario.product_price_category_gma,scenario.product_6040010,product.product_uom_unit
CONTEXO CATGUT PL USP3 EP7 50M,0.270,product.product_uom_unit,6040030,True,scenario.product_price_category_gma,scenario.product_6040030,product.product_uom_unit
CONTEXO CATGUT PL USP4 EP8 30M,0,product.product_uom_unit,6040013,True,scenario.product_price_category_gma,scenario.product_6040013,product.product_uom_unit
CONTEXO SUPRAMID USP3 EP6 50M,0.260,product.product_uom_unit,6040011,True,scenario.product_price_category_gma,scenario.product_6040011,product.product_uom_unit
CONTEXO SYNTHETIQUE MONO EP4 50M,0.150,product.product_uom_unit,6406912,True,scenario.product_price_category_gma,scenario.product_6406912,product.product_uom_unit
CONTEXO SYNTHETIQUE MONO EP5 50M,0.160,product.product_uom_unit,6406913,True,scenario.product_price_category_gma,scenario.product_6406913,product.product_uom_unit
CONTEXO SYNTHETIQUE POLY EP5 50M,0.150,product.product_uom_unit,6400021,True,scenario.product_price_category_gma,scenario.product_6400021,product.product_uom_unit
CONTEXO SYNTHETIQUE POLY EP6 50M,0.150,product.product_uom_unit,6400012,True,scenario.product_price_category_gma,scenario.product_6400012,product.product_uom_unit
DERMA GEL  10ML,0.010,product.product_uom_unit,5949003,True,scenario.product_price_category_gma,scenario.product_5949003,product.product_uom_unit
DERMA GEL SPRAY 50ML,0.070,product.product_uom_unit,0949002,True,scenario.product_price_category_gma,scenario.product_0949002,product.product_uom_unit
DERMA GEL 100ML,0.160,product.product_uom_unit,0949001,True,scenario.product_price_category_gma,scenario.product_0949001,product.product_uom_unit
DERMOVIA CHAT/CHIEN 100ml,0,product.product_uom_unit,5039105,True,scenario.product_price_category_gma,scenario.product_5039105,product.product_uom_unit
EDHYA MIN BLOC 20kg,1.140,product.product_uom_unit,5903204,True,scenario.product_price_category_gma,scenario.product_5903204,product.product_uom_unit
LECTEUR I-READ,0,product.product_uom_unit,5039147,True,scenario.product_price_category_gma,scenario.product_5039147,product.product_uom_unit
LECTEUR PETSCAN RT 100 V5,0,product.product_uom_unit,5039035,True,scenario.product_price_category_gma,scenario.product_5039035,product.product_uom_unit
"PRACTICRYL USP0 EP3,5 15m",0.130,product.product_uom_unit,6039005,True,,scenario.product_6039005,product.product_uom_unit
"PRACTICRYL USP0 EP3,5 30C1/2(12)",0,product.product_uom_unit,5039702,True,scenario.product_price_category_gma,scenario.product_5039702,product.product_uom_unit
"PRACTICRYL USP0 EP3,5 30C3/8(12)",0,product.product_uom_unit,5039701,True,scenario.product_price_category_gma,scenario.product_5039701,product.product_uom_unit
PRACTICRYL USP1 EP4 40C1/2(12),0.080,product.product_uom_unit,5039717,True,scenario.product_price_category_gma,scenario.product_5039717,product.product_uom_unit
PRACTICRYL USP2 EP5 100m,0.140,product.product_uom_unit,6039100,True,,scenario.product_6039100,product.product_uom_unit
PRACTICRYL USP2 EP5 48C1/2(12),0.080,product.product_uom_unit,5039719,True,scenario.product_price_category_gma,scenario.product_5039719,product.product_uom_unit
PRACTICRYL USP2 EP5 50m,0.140,product.product_uom_unit,6039000,True,,scenario.product_6039000,product.product_uom_unit
PRACTICRYL USP2/0 EP3 15m,0.130,product.product_uom_unit,6039002,True,,scenario.product_6039002,product.product_uom_unit
PRACTICRYL USP2/0 EP3 24C1/2(12),0.070,product.product_uom_unit,5039706,True,scenario.product_price_category_gma,scenario.product_5039706,product.product_uom_unit
PRACTICRYL USP2/0 EP3 24C3/8(12),0,product.product_uom_unit,5039704,True,scenario.product_price_category_gma,scenario.product_5039704,product.product_uom_unit
PRACTICRYL USP3/0 EP2 19C3/8(12),0.070,product.product_uom_unit,5039708,True,scenario.product_price_category_gma,scenario.product_5039708,product.product_uom_unit
PRACTICRYL USP3/0 EP2 24C3/8(12),0.070,product.product_uom_unit,5039709,True,scenario.product_price_category_gma,scenario.product_5039709,product.product_uom_unit
PRACTICRYL USP3/4 EP6 50m,0.140,product.product_uom_unit,6039001,True,,scenario.product_6039001,product.product_uom_unit
"PRACTICRYL 910 USP0 EP3,5 26C3/8(12)",0,product.product_uom_unit,5291000,True,scenario.product_price_category_gma,scenario.product_5291000,product.product_uom_unit
"PRACTICRYL 910 USP0 EP3,5 36C1/2(12)",0.080,product.product_uom_unit,5291022,True,scenario.product_price_category_gma,scenario.product_5291022,product.product_uom_unit
PRACTICRYL 910 USP1 EP4 36C1/2(12),0.070,product.product_uom_unit,5291023,True,scenario.product_price_category_gma,scenario.product_5291023,product.product_uom_unit
PRACTICRYL 910 USP2 EP5 40C1/2(12),0.080,product.product_uom_unit,5291017,True,scenario.product_price_category_gma,scenario.product_5291017,product.product_uom_unit
PRACTICRYL 910 USP2/0 EP3 24C1/2(12),0.070,product.product_uom_unit,5291006,True,scenario.product_price_category_gma,scenario.product_5291006,product.product_uom_unit
PRACTICRYL 910 USP2/0 EP3 24C3/8(12),0.070,product.product_uom_unit,5291004,True,scenario.product_price_category_gma,scenario.product_5291004,product.product_uom_unit
PRACTICRYL 910 USP2/0 EP3 26C3/8(12),0.070,product.product_uom_unit,5291005,True,scenario.product_price_category_gma,scenario.product_5291005,product.product_uom_unit
PRACTICRYL 910 USP3/0 EP2 24C3/8(12),0.070,product.product_uom_unit,5291009,True,scenario.product_price_category_gma,scenario.product_5291009,product.product_uom_unit
"PRACTICRYL 910 USP4/0 EP1,5 19C3/8(12)",0.070,product.product_uom_unit,5291013,True,scenario.product_price_category_gma,scenario.product_5291013,product.product_uom_unit
PRACTIGUT CATGUT CH USP0 EP4 100M,0.260,product.product_uom_unit,0320138,True,,scenario.product_0320138,product.product_uom_unit
PRACTIGUT CATGUT CH USP1 EP5 75m,0.240,product.product_uom_unit,0320140,True,,scenario.product_0320140,product.product_uom_unit
PRACTIGUT CATGUT CH USP2 EP6 50M,0.270,product.product_uom_unit,0320167,True,,scenario.product_0320167,product.product_uom_unit
"PRACTIGUT CATGUT CH USP2/0 EP3,5 100M",0.250,product.product_uom_unit,0320137,True,,scenario.product_0320137,product.product_uom_unit
PRACTIGUT CATGUT CH USP3 EP7 50M,0.270,product.product_uom_unit,0320244,True,,scenario.product_0320244,product.product_uom_unit
PRACTIGUT CATGUT CH USP3/0 EP3 100M,0.250,product.product_uom_unit,5320136,True,,scenario.product_5320136,product.product_uom_unit
PRACTIGUT CATGUT CH USP4 EP8 30M,0.270,product.product_uom_unit,0320366,True,,scenario.product_0320366,product.product_uom_unit
PRACTIGUT CATGUT PL USP2 EP6 50M,0.270,product.product_uom_unit,0320168,True,,scenario.product_0320168,product.product_uom_unit
"PRACTIGUT CATGUT PL USP2/0 EP3,5 100M",0,product.product_uom_unit,5290609,True,,scenario.product_5290609,product.product_uom_unit
PRACTIGUT CATGUT PL USP3 EP7 50M,0.270,product.product_uom_unit,0320245,True,,scenario.product_0320245,product.product_uom_unit
PRACTIGUT CATGUT PL USP4 EP8 30M,0.260,product.product_uom_unit,0320368,True,,scenario.product_0320368,product.product_uom_unit
"PRACTIGUT SUPRAMID USP0 EP3,5 100M",0,product.product_uom_unit,0320124,True,,scenario.product_0320124,product.product_uom_unit
PRACTIGUT SUPRAMID USP2/0 EP3 100m,0,product.product_uom_unit,0320125,True,,scenario.product_0320125,product.product_uom_unit
PRACTIGUT SUPRAMID USP3 EP6 50m +ALCOOL,0.250,product.product_uom_unit,5039011,True,,scenario.product_5039011,product.product_uom_unit
PRACTIGUT SUPRAMID USP3 EP6 50m SEC,0.140,product.product_uom_unit,0320123,True,,scenario.product_0320123,product.product_uom_unit
"PRACTILAC USP0 EP3,5 15m",0.150,product.product_uom_unit,5039021,True,,scenario.product_5039021,product.product_uom_unit
PRACTILAC USP1 EP4 50m,0.160,product.product_uom_unit,5039022,True,,scenario.product_5039022,product.product_uom_unit
PRACTILAC USP2 EP5 50m,0.160,product.product_uom_unit,5039023,True,,scenario.product_5039023,product.product_uom_unit
PRACTILAC USP2/0 EP3 15m,0.150,product.product_uom_unit,5039020,True,,scenario.product_5039020,product.product_uom_unit
PRACTILAC USP3/0 EP2 15m,0.140,product.product_uom_unit,5039025,True,,scenario.product_5039025,product.product_uom_unit
"PRACTIMONO USP0 EP3,5 15m",0,product.product_uom_unit,5039818,True,,scenario.product_5039818,product.product_uom_unit
"PRACTIMONO USP0 EP3,5 36C1/2(12)",0.070,product.product_uom_unit,5039816,True,scenario.product_price_category_gma,scenario.product_5039816,product.product_uom_unit
PRACTIMONO USP1 EP4 50m,0.140,product.product_uom_unit,5039000,True,,scenario.product_5039000,product.product_uom_unit
PRACTIMONO USP2 EP5 50M,0.140,product.product_uom_unit,6039006,True,,scenario.product_6039006,product.product_uom_unit
PRACTIMONO USP2/0 EP3 15m,0,product.product_uom_unit,5039003,True,,scenario.product_5039003,product.product_uom_unit
PRACTIMONO USP2/0 EP3 24C3/8(12),0.070,product.product_uom_unit,5039817,True,scenario.product_price_category_gma,scenario.product_5039817,product.product_uom_unit
PRACTIMONO USP3/0 EP2 24C3/8(12),0.070,product.product_uom_unit,5039810,True,scenario.product_price_category_gma,scenario.product_5039810,product.product_uom_unit
PRACTISORB USP2/0 EP3 24C3/8 (12),0.070,product.product_uom_unit,5031111,True,scenario.product_price_category_gma,scenario.product_5031111,product.product_uom_unit
PRACTISORB USP2/0 EP3 26C1/2(12),0.070,product.product_uom_unit,5031104,True,scenario.product_price_category_gma,scenario.product_5031104,product.product_uom_unit
