"id","name","item_ids/applied_on","item_ids/date_end","item_ids/fixed_price","item_ids/min_quantity","item_ids/percent_price","item_ids/price_category_id/id","item_ids/price_discount","item_ids/product_id/id","item_ids/categ_id/id","item_ids/product_tmpl_id/id","item_ids/sequence","item_ids/date_start","item_ids/compute_price"
"scenario.product_pricelist_pb1","Prix Brut 1","Product","","65.0","1","0.0","","0.0","","","scenario.product_6508231","5","","Fix Price"
"","","Product","","32.99","1","0.0","","0.0","","","test_product_600189","5","","Fix Price"
"","","Product","","249.99","1","0.0","","0.0","","","test_product_1001510","5","","Fix Price"
"","","Global","","250.0","1","0.0","","0.0","","","","5","","Fix Price"
"scenario.product_pricelist_pb2","Prix Brut 2","Product","","50.0","1","0.0","","0.0","","","scenario.product_6508231","5","","Fix Price"
"","","Product","","27.85","1","0.0","","0.0","","","test_product_600189","5","","Fix Price"
"","","Product","","199.99","1","0.0","","0.0","","","test_product_1001510","5","","Fix Price"
"","","Global","","200.0","1","0.0","","0.0","","","","5","","Fix Price"
"scenario.product_pricelist_supplier","Promotion fournisseurs","Product","","0.0","5","2.0","","0.0","","","test_product_6888469","5","","Percentage (discount)"
"",""," Product Category","2016-08-31","0.0","1","10.0","","0.0","","__init.product_categ_ali","","5","2016-07-01","Percentage (discount)"
"scenario.product_pricelist_alcyon","Remises Alcyon","Price Category","","0.0","1","2.0","scenario.product_price_category_a","0.0","","","","5","","Percentage (discount)"
"","","Price Category","","0.0","1","5.0","scenario.product_price_category_b","0.0","","","","5","","Percentage (discount)"
"","","Price Category","","0.0","1","10.0","scenario.product_price_category_c","0.0","","","","5","","Percentage (discount)"
