id,default_code,name,weight,volume,type
scenario.product_8494183,8494183,||| AD CANIN/FELIN 156GR                ,3,0,product
scenario.product_7437065,7437065,||| DD CANIN 2KG SAUMON                 ,2,5.3766,product
scenario.product_7437071,7437071,DD CANIN 5KG SAUMON                     ,5,12728,product
scenario.product_7437088,7437088,||| DD CANIN 14KG SAUMON                ,14,31.88652,product
scenario.product_7437036,7437036,DD CANIN 2KG CANARD                     ,2,5.3766,product
scenario.product_7437042,7437042,DD CANIN 5KG CANARD                     ,5,12728,product
scenario.product_7437059,7437059,||| DD CANIN 14KG CANARD                ,14,31.88652,product
scenario.product_8455562,8455562,||| ND CANIN 415GR                      ,0,0,product
scenario.product_8494208,8494208,||| CD CANIN 415GR                      ,0,0,product
scenario.product_8494214,8494214,||| DD CANIN AGNEAU/RIZ 415GR           ,0,0,product
scenario.product_8452871,8452871,||| DD CANIN POISSON/RIZ 415GR          ,0,0,product
scenario.product_8494237,8494237,||| HD CANIN 415GR                      ,0,0,product
scenario.product_8494243,8494243,||| ID CANIN 415GR                      ,0,0,product
scenario.product_8494266,8494266,||| KD CANIN 415GR                      ,0,0,product
scenario.product_8494349,8494349,||| PD CANIN 415GR                      ,0,0,product
scenario.product_8452090,8452090,||| FELINE SENIOR 400GR                 ,0,0,product
scenario.product_7314032,7314032,||| FELINE SENIOR POULET CAISSE DE 8X500,0,0,product
scenario.product_7314003,7314003,FELINE SENIOR  2KG POULET               ,2,5.3766,product
scenario.product_8041547,8041547,||| STERILISATEUR POUPINEL BINDER 28l 2 ,0,0,product
scenario.product_7314026,7314026,FELINE SENIOR  5KG POULET               ,5,12728,product
scenario.product_8494355,8494355,||| RD CANIN 400GR                      ,4.8,0,product
scenario.product_8494361,8494361,||| SD CANIN 415GR                      ,0,0,product
scenario.product_8494384,8494384,||| UD CANIN 415GR                      ,0,0,product
scenario.product_8494390,8494390,||| WD CANIN 415GR                      ,0,0,product
scenario.product_7196555,7196555,CD CANIN 5KG                            ,5,12728,product
scenario.product_7196590,7196590,||| DD CANIN 5KG OEUF                   ,5,12728,product
scenario.product_7249257,7249257,||| DD CANIN 14KG OEUF                  ,14,31.88652,product
scenario.product_7196621,7196621,HD CANIN 5KG                            ,5,12728,product
scenario.product_7196650,7196650,ID CANIN  5KG                           ,5,12728,product
scenario.product_7196704,7196704,KD CANIN 5KG                            ,5,12728,product
scenario.product_7196733,7196733,||| PD CANIN 5KG                        ,5,12728,product
scenario.product_7196779,7196779,||| RD CANIN 5KG                        ,5.09,11.16512,product
scenario.product_7196822,7196822,UD CANIN  5KG                           ,5,12728,product
scenario.product_7249300,7249300,||| UD CANIN 14 KG                      ,14,31.88652,product
scenario.product_7196851,7196851,||| WD CANIN  5KG                       ,5,0,product
scenario.product_7249240,7249240,||| CD CANIN 14KG                       ,14,31.88652,product
scenario.product_7249263,7249263,||| ID CANIN 14KG                       ,14,31.88652,product
scenario.product_8454083,8454083,||| ID FELIN 156GR                      ,0,0,product
scenario.product_7416689,7416689,||| ID FELIN  2KG                       ,2.06,5.56467,product
scenario.product_7416695,7416695,ID FELIN 5KG                            ,5,12728,product
scenario.product_7249286,7249286,||| KD CANIN 14KG                       ,14,31.88652,product
scenario.product_7380460,7380460,||| RD CANIN 14KG                       ,14,31.88652,product
scenario.product_7196348,7196348,FELINE KITTEN 5KG POULET                ,5,12728,product
scenario.product_7196443,7196443,FELINE ADULT 5KG POULET                 ,5,12728,product
scenario.product_7196466,7196466,FELINE ADULT 10KG POULET                ,10,23478,product
scenario.product_7464642,7464642,FELINE LIGHT ADULT 10KG POULET          ,10,21.6672,product
