categ_id;id;type;default_code;name;categ_id;
Aliments;test_product_loc_159800;product;159800;SHN DOG MINI STARTER  1KG;scenario.supplier_68325;ROYAL CANIN  *;AF06C500
Aliments;test_product_loc_159820;product;159820;SHN DOG MINI STARTER 3KG;scenario.supplier_68325;ROYAL CANIN  *;AHO1A420
Aliments;test_product_loc_159830;product;159830;SHN DOG MINI STARTER 8;5KG;scenario.supplier_68325;ROYAL CANIN  *;AI12A530
Aliments;test_product_loc_159860;product;159860;SHN DOG MEDIUM STARTER  1KG;scenario.supplier_68325;ROYAL CANIN  *;AL08A260
Aliments;test_product_loc_159870;product;159870;SHN DOG MEDIUM STARTER  4KG;scenario.supplier_68325;ROYAL CANIN  *;AK02C170
Aliments;test_product_loc_159880;product;159880;SHN DOG MEDIUM STARTER 12KG;scenario.supplier_68325;ROYAL CANIN  *;AI07A280
Aliments;test_product_loc_159910;product;159910;SHN DOG MAXI STARTER  1KG;scenario.supplier_68325;ROYAL CANIN  *;AI07A280
Aliments;test_product_loc_159920;product;159920;SHN DOG MAXI STARTER  4KG;scenario.supplier_68325;ROYAL CANIN  *;AK06C720
Aliments;test_product_loc_159930;product;159930;SHN DOG MAXI STARTER 15KG;scenario.supplier_68325;ROYAL CANIN  *;AG10A630
Aliments;test_product_loc_159970;product;159970;SHN DOG GIANT STARTER  4KG;scenario.supplier_68325;ROYAL CANIN  *;AG10A630
Aliments;test_product_loc_159980;product;159980;SHN DOG GIANT STARTER 15KG;scenario.supplier_68325;ROYAL CANIN  *;AN05A180
Aliments;test_product_loc_1160402;product;1160402;SPORTINGLIFE TRAIL 4300 15KG;scenario.supplier_68325;ROYAL CANIN  *;AI12A602
Aliments;test_product_loc_1160452;product;1160452;SPORTINGLIFE ENDURANCE 4800 15KG;scenario.supplier_68325;ROYAL CANIN  *;AH07A152
Aliments;test_product_loc_1180053;product;1180053;GERMAN SHEPHERD JUNIOR 3KG;scenario.supplier_68325;ROYAL CANIN  *;AH07A152
Aliments;test_product_loc_1180059;product;1180059;GERMAN SHEPHERD JUNIOR 12KG;scenario.supplier_68325;ROYAL CANIN  *;AI13A159
Aliments;test_product_loc_1180062;product;1180062;GERMAN SHEPHERD 12KG;scenario.supplier_68325;ROYAL CANIN  *;AF10A562
Aliments;test_product_loc_1180072;product;1180072;LABRADOR RET 12KG;scenario.supplier_68325;ROYAL CANIN  *;AH04A372
Aliments;test_product_loc_1180086;product;1180086;LABRADOR RET  JUNIOR 12KG;scenario.supplier_68325;ROYAL CANIN  *;AM06A586
Aliments;test_product_loc_1190302;product;1190302;SHN DOG BABYDOG MILK 2KG;scenario.supplier_68325;ROYAL CANIN  *;AF02B702
Aliments;test_product_loc_1190310;product;1190310;SHN DOG STARTER MOUSSE 190GR;scenario.supplier_68325;ROYAL CANIN  *;AH07B310
Aliments;test_product_loc_1190340;product;1190340;SHN DOG BABYDOG MILK  400GR;scenario.supplier_68325;ROYAL CANIN  *;AD11B240

