product_tmpl_id/id,name/id,id
scenario.product_0021830_product_template,scenario.supplier_32420,scenario.supplierinfo_32420-0021830
scenario.product_3241019_product_template,scenario.supplier_32420,scenario.supplierinfo_32420-3241019
scenario.product_7750013_product_template,scenario.supplier_60201,scenario.supplierinfo_60201-7750013
scenario.product_6020117_product_template,scenario.supplier_60201,scenario.supplierinfo_60201-6020117
scenario.product_5039027_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5039027
scenario.product_5039010_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5039010
scenario.product_5039009_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5039009
scenario.product_5039032_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5039032
scenario.product_5039013_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5039013
scenario.product_5039031_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5039031
scenario.product_5180316_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5180316
scenario.product_6040020_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6040020
scenario.product_6040040_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6040040
scenario.product_6040014_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6040014
scenario.product_6040010_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6040010
scenario.product_6040030_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6040030
scenario.product_6040013_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6040013
scenario.product_6040011_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6040011
scenario.product_6406912_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6406912
scenario.product_6406913_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6406913
scenario.product_6400021_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6400021
scenario.product_6400012_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6400012
scenario.product_5949003_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5949003
scenario.product_0949002_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-0949002
scenario.product_0949001_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-0949001
scenario.product_5039105_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5039105
scenario.product_5903204_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5903204
scenario.product_5039147_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5039147
scenario.product_5039035_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5039035
scenario.product_6039005_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6039005
scenario.product_5039702_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5039702
scenario.product_5039701_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5039701
scenario.product_5039717_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5039717
scenario.product_6039100_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6039100
scenario.product_5039719_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-5039719
scenario.product_6039000_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6039000
scenario.product_6039002_product_template,scenario.supplier_60390,scenario.supplierinfo_60390-6039002
