id,lang,name,street2,street,zip,city,phone,fax,company_type,supplier,customer
scenario.supplier_32410,fr_BE,DIETETIC LABS,,Rue Z.Gramme 58,4280,HANNUT,019/51.61.03,19516103,company,TRUE,FALSE
scenario.supplier_68250,fr_BE,HILL'S PET PRODUCTS BENELUX,,Boulevard du Souverain 165,1160,BRUXELLES,02/646.29.00,26463555,company,TRUE,FALSE
scenario.supplier_60390,fr_BE,AIP DEVELOPPEMENT,,Rue des Artisans 2,4877,OLNE,04/2272423,,company,TRUE,FALSE
scenario.supplier_60400,fr_BE,DECHRA VETERINARY PRODUCTS *,,Achterstenhoek 48,2275,LILLE,014/443670,14443679,company,TRUE,FALSE
scenario.supplier_60402,fr_BE,AIR LIQUIDE MEDICAL,,Quai des Vennes 8,4020,LIEGE,04/3498989,22519374,company,TRUE,FALSE
scenario.supplier_60405,fr_BE,ABBOT *,,Rue du Bosquet 2,1348,OTTIGNIES,010/475311,10475505,company,TRUE,FALSE
scenario.supplier_60407,fr_BE,AESCULAAP   *,,Slachthuisstraat 68,2300,TURNHOUT,014/401900,14401902,company,TRUE,FALSE
scenario.supplier_60410,fr_BE,AGRI PRODUKTEN POUWER,,Léopoldsplaats 10/4,2000,ANTWERPEN,31488452136,31488453349,company,TRUE,FALSE
scenario.supplier_60430,fr_BE,ADITECO (DE TURCK DIRK).,,Wontergemstraat 82,8720,DENTERGEM,051/570626,51570625,company,TRUE,FALSE
scenario.supplier_60450,fr_BE,AGRITRONICS INTERNATIONAL,,Rue du Warichet 2,5081,MEUX,081/569456,81569232,company,TRUE,FALSE
scenario.supplier_61400,fr_BE,APEX MATERIEL MEDICAL,,Quai d'Aa 1 Bp 1 k,1070,BRUXELLES,02/5213753,25216984,company,TRUE,FALSE
scenario.supplier_61520,fr_BE,CAREFUSION,(anc.CARDINAL HEALTH),Leuvensesteenweg 248/D,1800,Vilvoorde,02/2673899,02/2679921,company,TRUE,FALSE
scenario.supplier_61653,fr_BE,APPLIED FIBEROPTICS INC.,,Technology Park Road 64,0,STURBRIDGE MA01566-1262,001/5088852356,15088857659,company,TRUE,FALSE
scenario.supplier_61700,fr_BE,NOVARTIS CONSUMER HEALTH NV,,BOITE POSTALE 3025,4800,DA BREDA,02/4632390,32275512,company,TRUE,FALSE
scenario.supplier_61780,fr_BE,CID LINES,,Waterpoortstraat 2,8900,IEPER,057/217877,57217879,company,TRUE,FALSE
scenario.supplier_61970,fr_BE,ADVANCED-VETERINARY-SYSTEMS,,Rue H.J. Coenen 2,1160,AUDERGHEM,02/7710336,27710356,company,TRUE,FALSE
scenario.supplier_62000,fr_BE,FOURNISSEURS OCCASIONS,,,4000,LIEGE,,,company,TRUE,FALSE
scenario.supplier_62580,fr_BE,BAXTER,,Boulevard d'Angleterre, 2-4,1420,Médicament                    ,02/3868870,company,TRUE,FALSE
scenario.supplier_62600,fr_BE,BAYER S.A.,,J.E. Mommaertslaan 14,1831,DIEGEM (MACHELEN),02/5356649,25356519,company,TRUE,FALSE
scenario.supplier_62700,fr_BE,NUMERIS BENELUX,,Zne PME les Locomotives,7800,ATH,068/841212,68841213,company,TRUE,FALSE
scenario.supplier_62750,fr_BE,BOEHRINGER INGELHEIM *,,ZI de Petit Rechain,4800,VERVIERS,02/7733331,87312197,company,TRUE,FALSE
scenario.supplier_62670,fr_BE,BOUCART MEDICAL,,Avenue Molière 222,1060,BRUXELLES,02/3435001,23432390,company,TRUE,FALSE
scenario.supplier_62770,fr_BE,B.BRAUN MEDICAL,,Woluwelaan 140B,1831,DIEGEM,02/7128650,70223388,company,TRUE,FALSE
scenario.supplier_63347,fr_BE,CHASSOT,,Kiewitstraat 188A,3500,HASSELT,011/236680,11236688,company,TRUE,FALSE
scenario.supplier_63450,fr_BE,BEAPHAR BELGIUM,,Burgemeester Bertenplein 8,8970,POPERINGE,057/333500,57337416,company,TRUE,FALSE
scenario.supplier_63500,fr_BE,CONFORMA,,Zenderstraat 10,9070,BRUXELLES,09/2282000,92282262,company,TRUE,FALSE
scenario.supplier_63502,fr_BE,COLMAN LABORATOIRE,,Rue de la Grande 68-70,7100,LA LOUVIERE,064/224907,64260020,company,TRUE,FALSE
scenario.supplier_63503,nl_BE,CODIFAR *,,Lt K. Caluwaertsstraat 2/4,2160,WOMMELGEM,03/3537126,33540782,company,TRUE,FALSE
scenario.supplier_63505,fr_BE,COMED,,O.L. Vrouwstraat 2,3730,HOESELT,089/510135,89492952,company,TRUE,FALSE
scenario.supplier_63520,fr_BE,NC,,Chaussée de Waremme 100,4530,VILLERS LE BOUILLET,,,company,TRUE,FALSE
scenario.supplier_63540,fr_BE,COX SURGICAL,,Edward Road Coulsdon,CR5 2XA,SURREY,0181/668 2131,1816684196,company,TRUE,FALSE
scenario.supplier_63550,fr_BE,CANTAERT AXEL,,Zwaantjesstraat 42A,9090,MELLE,09/2822444,,company,TRUE,FALSE
scenario.supplier_63590,fr_BE,CREPIN,,,44000,NANTES,0033/240763915,33240594746,company,TRUE,FALSE
scenario.supplier_63600,fr_BE,CALDIC,,Terlochtweg 1,2620,HEMIKSEM,03/8704811,38879020,company,TRUE,FALSE
scenario.supplier_63652,fr_BE,DADE BEHRING,,Rue Verheydestraat 39,1070,BRUXELLES,02/5269182,25269180,company,TRUE,FALSE
