Ste,Et,Cpt gen.,Nat,Auxiliaire,Libelle CG,Libelle(suite),Exer,Pr,Dt piece,Chrono,n[piece,Jrn,Type,Libelle 1,Libelle 2,Et Pce,Nat pie,N[audit,Jrn ref,Refer,Echeance,MR,Nat,Cpt ana,Nat ana -2-,  Compte analytique   rang 2,Nat ana -3-,  Compte analytique   rang 3,Debit,Credit,Solde,Dev,L,L/P,n[conso,Cg c/partie,Cte Auxil c/partie,Reg TVA,Tx TVA,Debit devise,credit devise,Solde Dev.,Dev
1,,400000,C,24,CLIENTS,,2017,0,09/01/2015,487745,5011950,VEM,FACTC,1410290800061,,A,0,,%NB,84662,17/01/2015,DO,,,,,,,"88,85",,"88,85",EUR,,0,0,708000,,,0,"88,85",,"88,85",EUR
1,,400000,C,24,CLIENTS,,2017,0,20/01/2015,488944,5013149,VEM,FACTC,1510290800002,,A,0,,%NB,84662,27/01/2015,DO,,,,,,,"552,02",,"552,02",EUR,,0,0,708000,,,0,"552,02",,"552,02",EUR
1,,400000,C,24,CLIENTS,,2017,0,20/04/2015,500899,5025104,VEM,FACTC,1510290800020,,A,0,,%NB,84662,27/04/2015,DO,,,,,,,"124,66",,"124,66",EUR,,0,0,708000,,,0,"124,66",,"124,66",EUR
1,,400000,C,24,CLIENTS,,2017,0,20/07/2015,512632,5036837,VEM,FACTC,1510290800039,,A,0,,%NB,84662,27/07/2015,DO,,,,,,,"50,17",,"50,17",EUR,,0,0,708000,,,0,"50,17",,"50,17",EUR
1,,400000,C,24,CLIENTS,,2017,0,10/08/2015,515175,5039380,VEM,FACTC,1510290800042,,A,0,,%NB,84663,17/08/2015,DO,,,,,,,"692,83",,"692,83",EUR,,0,0,746992,,,0,"692,83",,"692,83",EUR
1,,400000,C,24,CLIENTS,,2017,0,10/11/2015,526698,1603964,VEM,FACTC,1510290800056,,A,0,,WRF,606637,17/11/2015,DO,,,,,,,"613,29",,"613,29",EUR,,0,0,708000,,,0,"613,29",,"613,29",EUR
1,,400000,C,24,CLIENTS,,2017,0,30/11/2015,529331,1606597,VEM,FACTC,1510290800000,,A,0,,WRF,610868,07/12/2015,DO,,,,,,,"837,76",,"837,76",EUR,,0,0,746992,,,0,"837,76",,"837,76",EUR
1,,400000,C,24,CLIENTS,,2017,0,18/12/2015,532021,1609287,VEM,FACTC,1510290800063,,A,0,,WRF,613092,27/12/2015,DO,,,,,,,"232,98",,"232,98",EUR,,0,0,746992,,,0,"232,98",,"232,98",EUR
1,,400000,C,24,CLIENTS,,2017,0,08/01/2016,534635,1611901,VEM,FACTC,1610290800001,,A,0,,WRF,614638,17/01/2016,DO,,,,,,,"379,07",,"379,07",EUR,,0,0,708000,,,0,"379,07",,"379,07",EUR
1,,400000,C,24,CLIENTS,,2017,0,29/01/2016,537155,1614421,VEM,FACTC,1610290800005,,A,0,,WRF,616190,07/02/2016,DO,,,,,,,"640,65",,"640,65",EUR,,0,0,708000,,,0,"640,65",,"640,65",EUR
1,,400000,C,24,CLIENTS,,2017,0,29/02/2016,541220,1618486,VEM,FACTC,1610290800005,,A,0,,WRF,619347,07/03/2016,DO,,,,,,,"515,82",,"515,82",EUR,,0,0,746992,,,0,"515,82",,"515,82",EUR
1,,400000,C,24,CLIENTS,,2017,0,10/03/2016,542494,1619760,VEM,FACTC,1610290800014,,A,0,,WRF,620114,17/03/2016,DO,,,,,,,"241,25",,"241,25",EUR,,0,0,708000,,,0,"241,25",,"241,25",EUR
1,,400000,C,24,CLIENTS,,2017,0,08/04/2016,546581,1623847,VEM,FACTC,1610290800016,,A,0,,WRF,625151,17/04/2016,DO,,,,,,,"97,7",,"97,7",EUR,,0,0,708000,,,0,"97,7",,"97,7",EUR
1,,400000,C,24,CLIENTS,,2017,0,31/05/2016,553203,1630469,VEM,FACTC,1610290800000,,A,0,,WRF,632484,07/06/2016,DO,,,,,,,"202,47",,"202,47",EUR,,0,0,746992,,,0,"202,47",,"202,47",EUR
1,,400000,C,24,CLIENTS,,2017,0,10/06/2016,554603,1631869,VEM,FACTC,1610290800033,,A,0,,VEM,1631869,17/06/2016,MA,,,,,,,"233,95",,"233,95",EUR,,0,0,708000,,,0,"233,95",,"233,95",EUR
1,,400000,C,212,CLIENTS,,2017,0,30/09/2014,474574,1444304,VEM,FACTC,1410224020914,,A,0,,%NB,86098,07/10/2014,MA,,,,,,,"927,83",,"927,83",EUR,,0,0,708000,,,0,"927,83",,"927,83",EUR
1,,400000,C,212,CLIENTS,,2017,0,10/10/2014,475872,5000082,VEM,FACTC,1410224008814,,A,0,,VEM,5000082,17/10/2014,MA,,,,,,,"763,87",,"763,87",EUR,,0,0,708000,,,0,"763,87",,"763,87",EUR
1,,400000,C,212,CLIENTS,,2017,0,20/10/2014,477223,5001433,VEM,FACTC,1410224011014,,A,0,,VEM,5001433,27/10/2014,MA,,,,,,,"515,81",,"515,81",EUR,,0,0,708000,,,0,"515,81",,"515,81",EUR
1,,400000,C,212,CLIENTS,,2017,0,31/10/2014,479121,5003327,VEM,FACTC,1410224022104,,A,0,,VEM,5003327,07/11/2014,MA,,,,,,,"546,91",,"546,91",EUR,,0,0,708000,,,0,"546,91",,"546,91",EUR
1,,400000,C,212,CLIENTS,,2017,0,20/11/2014,481231,5005437,VEM,FACTC,1410224012114,,A,0,,VEM,5005437,27/11/2014,MA,,,,,,,"530,7",,"530,7",EUR,,0,0,708000,,,0,"530,7",,"530,7",EUR
1,,400000,C,212,CLIENTS,,2017,0,28/11/2014,482509,5006715,VEM,FACTC,1410224022114,,A,0,,VEM,5006715,07/12/2014,MA,,,,,,,"237,2",,"237,2",EUR,,0,0,708000,,,0,"237,2",,"237,2",EUR
1,,400000,C,317,CLIENTS,,2017,0,21/12/2001,289,12072,DOM,PRELC,DOMICILIATION,,A,0,,%NB,85258,21/12/2001,,,,,,,,,"7969,49","-7969,49",EUR,,0,0,401500,CRGBEF,,0,,"7969,49","-7969,49",EUR
1,,400000,C,317,CLIENTS,,2017,0,31/12/2001,3464,3464,AJU,WMDEV,Ajust. multi-de,,A,0,,%NB,85258,27/12/2001,,,,,,,,"7969,49",,"7969,49",EUR,,0,0,400000,317,,0,"7969,51",,"7969,51",EUR
1,,400000,C,317,CLIENTS,,2017,0,15/07/2013,34772,9132952,NCV,AVOIC,.,,A,0,,%NB,85258,27/07/2013,MA,,,,,,,,"98,66","-98,66",EUR,,0,0,700000,,,0,,"98,66","-98,66",EUR
1,,400000,C,317,CLIENTS,,2017,0,18/07/2013,34827,9133007,NCV,AVOIC,.,,A,0,,%NB,85258,27/07/2013,MA,,,,,,,,"8,64","-8,64",EUR,,0,0,708000,,,0,,"8,64","-8,64",EUR
1,,400000,C,317,CLIENTS,,2017,0,18/07/2013,34835,9133015,NCV,AVOIC,3232,,A,0,,%NB,85258,27/07/2013,MA,,,,,,,,"53,19","-53,19",EUR,,0,0,708000,,,0,,"53,19","-53,19",EUR
1,,400000,C,317,CLIENTS,,2017,0,19/07/2013,420566,1335723,VEM,FACTC,0,,A,0,,%NB,85258,27/07/2013,MA,,,,,,,"25988,09",,"25988,09",EUR,,0,0,708000,,,0,"25988,09",,"25988,09",EUR
1,,400000,C,317,CLIENTS,,2017,0,08/08/2013,3525,154,BBL,ODTRE,EXT 154,        25827.62-EUR,A,0,,%NB,85258,08/08/2013,,,,,,,,,"25827,62","-25827,62",EUR,,0,0,550000,,,0,,"25827,62","-25827,62",EUR
1,,400000,C,317,CLIENTS,,2017,0,22/08/2014,39301,9143737,NCV,AVOIC,.,,A,0,,%NB,85258,07/09/2014,MA,,,,,,,,"10,38","-10,38",EUR,,0,0,708000,,,0,,"10,38","-10,38",EUR
1,,400000,C,317,CLIENTS,,2017,0,27/08/2014,39362,9143798,NCV,AVOIC,.,,A,0,,%NB,85258,07/09/2014,MA,,,,,,,,"7,41","-7,41",EUR,,0,0,708000,,,0,,"7,41","-7,41",EUR
1,,400000,C,317,CLIENTS,,2017,0,27/08/2014,39363,9143799,NCV,AVOIC,.,,A,0,,%NB,85258,07/09/2014,MA,,,,,,,,"36,47","-36,47",EUR,,0,0,708000,,,0,,"36,47","-36,47",EUR
1,,400000,C,317,CLIENTS,,2017,0,29/08/2014,39387,9143823,NCV,AVOIC,.,,A,0,,%NB,85258,07/09/2014,MA,,,,,,,,"27,81","-27,81",EUR,,0,0,708000,,,0,,"27,81","-27,81",EUR
1,,400000,C,317,CLIENTS,,2017,0,29/08/2014,39397,9143833,NCV,AVOIC,.,,A,0,,%NB,85258,07/09/2014,MA,,,,,,,,"19,6","-19,6",EUR,,0,0,708000,,,0,,"19,6","-19,6",EUR
1,,400000,C,317,CLIENTS,,2017,0,29/08/2014,470771,1440501,VEM,FACTC,cf22801,,A,0,,%NB,85258,07/09/2014,MA,,,,,,,"7265,79",,"7265,79",EUR,,0,0,708000,,,0,"7265,79",,"7265,79",EUR
1,,400000,C,317,CLIENTS,,2017,0,29/08/2014,470772,1440502,VEM,FACTC,0,,A,0,,%NB,85258,07/09/2014,MA,,,,,,,"46337,95",,"46337,95",EUR,,0,0,708000,,,0,"46337,95",,"46337,95",EUR
1,,400000,C,317,CLIENTS,,2017,0,08/09/2014,39484,9143920,NCV,AVOIC,.,,A,0,,%NB,85258,17/09/2014,MA,,,,,,,,"61,89","-61,89",EUR,,0,0,700000,,,0,,"61,89","-61,89",EUR
1,,400000,C,317,CLIENTS,,2017,0,08/09/2014,39500,9143936,NCV,AVOIC,3002 brodeaux,,A,0,,%NB,85258,17/09/2014,MA,,,,,,,,"37,27","-37,27",EUR,,0,0,708000,,,0,,"37,27","-37,27",EUR
1,,400000,C,317,CLIENTS,,2017,0,10/09/2014,472055,1441785,VEM,FACTC,0,,A,0,,%NB,85258,17/09/2014,MA,,,,,,,"10464,19",,"10464,19",EUR,,0,0,708000,,,0,"10464,19",,"10464,19",EUR
