Ste,Et,Cpt gen.,Nat,Auxiliaire,Libelle CG,Libelle(suite),Exer,Pr,Dt piece,Chrono,n[piece,Jrn,Type,Libelle 1,Libelle 2,Et Pce,Nat pie,N[audit,Jrn ref,Refer,Echeance,MR,Nat,Cpt ana,Nat ana -2-,  Compte analytique   rang 2,Nat ana -3-,  Compte analytique   rang 3,Debit,Credit,Solde,Dev,L,L/P,n[conso,Cg c/partie,Cte Auxil c/partie,Reg TVA,Tx TVA,Debit devise,credit devise,Solde Dev.,Dev
1,,440000,FOU,79462,FOURNISSEURS MARCHANDISES,,2017,0,29/01/2015,71915,442,ACM,FACTF,ISCL07708054,,A,0,,ACM,442,17/11/2014,MA,,,,,,,,"4700,9","-4700,9",EUR,,0,0,604900,,,0,,"4700,9","-4700,9",EUR
1,,440000,FOU,79583,FOURNISSEURS MARCHANDISES,,2017,0,07/04/2014,7402,4070062,NCM,AVOIF,908008135,TELEFLEX,A,0,,NCM,9080081,07/04/2014,SE,,,,,,,"1280,66",,"1280,66",EUR,,0,0,490810,,,0,"1280,66",,"1280,66",EUR
1,,440000,FOU,79583,FOURNISSEURS MARCHANDISES,,2017,0,30/04/2014,66615,553,ACM,FACTF,907094392,,A,0,,ACM,553,07/05/2014,SE,,,,,,,,"1234,93","-1234,93",EUR,,0,0,490810,,,0,,"1234,93","-1234,93",EUR
1,,440000,FOU,82595,FOURNISSEURS MARCHANDISES,,2017,3,31/12/2016,85234,501,ACM,FACTF,27357,,0,0,40,ACM,501,10/01/2017,VM,,,,,,,,"503,8","-503,8",EUR,,0,0,604000,,,0,,"503,8","-503,8",EUR
1,,440000,FOU,82595,FOURNISSEURS MARCHANDISES,,2017,4,06/01/2017,4403,5,BBL,ODTRE,08/20170122/003,918/0027357 001,0,0,40,ACM,501,06/01/2017,,,,,,,,"503,8",,"503,8",EUR,,0,0,550000,,,0,"503,8",,"503,8",EUR
1,,440000,FOU,71409,FOURNISSEURS MARCHANDISES,,2017,12,27/09/2017,4893,196,CRG,ODTRE,2017-52435,674ISABEL 001,1,0,,CRG,196,27/09/2017,,,,,,,,"314,58",,"314,58",EUR,,0,0,550040,,,0,"314,58",,"314,58",EUR
1,,440000,FOU,61599,FOURNISSEURS MARCHANDISES,,2018,1,10/10/2017,564,8010003,NC,AVOIF,133362602,,1,0,,NC,"133,362",10/10/2017,SE,,,,,,,"73,71",,"73,71",EUR,,0,33,604100,,,0,"73,71",,"73,71",EUR
1,,440000,FOU,61800,FOURNISSEURS MARCHANDISES,,2018,1,20/10/2017,90858,147,ACM,FACTF,1046346164,,1,0,,ACM,147,20/11/2017,VM,,,,,,,,"2465,5","-2465,5",EUR,,0,0,604000,,,0,,"2465,5","-2465,5",EUR
1,,440000,FOU,61645,FOURNISSEURS MARCHANDISES,,2018,2,30/11/2017,91905,99,ACM,FACTF,17000808,,1,0,,PCG,27287,08/12/2017,SE,,,,,,,,"2904,53","-2904,53",EUR,,0,0,604000,,,0,,"2904,53","-2904,53",EUR
1,,440000,FOU,61745,FOURNISSEURS MARCHANDISES,,2018,2,28/11/2017,4632,234,BBL,ODTRE,3245 GBP,F[1836 payee 2x,1,0,,BBL,234,28/11/2017,,,,,,,,"3748,92",,"3748,92",EUR,,0,0,550000,,,0,"3748,92",,"3748,92",EUR
1,,440000,FOU,61800,FOURNISSEURS MARCHANDISES,,2018,2,13/11/2017,4621,223,BBL,ODTRE,REF000000000000,37979,1,0,,ACM,147,13/11/2017,,,,,,,,"2465,5",,"2465,5",EUR,,0,0,550000,,,0,"2465,5",,"2465,5",EUR
1,,440000,FOU,61645,FOURNISSEURS MARCHANDISES,,2018,3,22/12/2017,92103,30,ACM,FACTF,17000972,,1,0,,PCG,27287,31/12/2017,SE,,,,,,,,"1108,92","-1108,92",EUR,,0,0,604000,,,0,,"1108,92","-1108,92",EUR
1,,440000,FOU,68301,FOURNISSEURS MARCHANDISES,,2018,3,31/12/2017,92480,243,ACM,FACTF,1600382,,1,0,,PCG,27308,20/04/2018,SE,,,,,,,,"998,25","-998,25",EUR,,0,0,490810,,,0,,"998,25","-998,25",EUR
1,,440000,FOU,61800,FOURNISSEURS MARCHANDISES,,2018,4,09/01/2018,573,8040001,NC,AVOIF,1046394706,NESTLE PURINA PET CA,1,0,,NC,1046394,09/01/2018,VM,,,,,,,"3083,95",,"3083,95",EUR,,0,0,744200,,,0,"3083,95",,"3083,95",EUR
1,,440000,FOU,62758,FOURNISSEURS MARCHANDISES,,2018,4,30/01/2018,4674,21,BBL,ODTRE,2000000060,136 001,1,0,,ACM,296,30/01/2018,,,,,,,,"5792,46",,"5792,46",EUR,,0,0,550000,,,0,"5792,46",,"5792,46",EUR
1,,440000,FOU,62758,FOURNISSEURS MARCHANDISES,,2018,4,30/01/2018,4674,21,BBL,ODTRE,ESCOMPTE OBTENU, EUR0BE,1,0,,ACM,296,30/01/2018,,,,,,,,"29,11",,"29,11",EUR,,0,0,550000,,,0,"29,11",,"29,11",EUR
1,,440000,FOU,62758,FOURNISSEURS MARCHANDISES,,2018,4,31/01/2018,92918,296,ACM,FACTF,5710000136,,1,0,,ACM,296,30/01/2018,SE,,,,,,,,"5821,57","-5821,57",EUR,,0,0,604100,,,0,,"5821,57","-5821,57",EUR
1,,440000,FOU,78650,FOURNISSEURS MARCHANDISES,,2018,4,26/01/2018,92728,246,ACM,FACTF,VE1801080,,1,0,,%NB,86606,21/01/2018,VM,,,,,,,,"24,39","-24,39",EUR,,0,0,490810,,,0,,"24,39","-24,39",EUR
1,,440000,FOU,79105,FOURNISSEURS MARCHANDISES,,2018,4,12/01/2018,10134,8040014,NCM,AVOIF,5120117627,SCS BOEHRINGER INGEL,1,0,,NCM,5120117,12/01/2018,VM,,,,,,,"14617,21",,"14617,21",EUR,,0,0,490810,,,0,"14617,21",,"14617,21",EUR
