"D_No Fournisseur","D_Fournisseur","D_Profession fourn","UTILISATEUR","Temps de revision (jours)","Revision Lundi","Revision Mardi","Revision Mercredi","Revision Jeudi","Revision Vendredi"
"32420","NATURAL ANIMAL FEEDS LTD","Médicament","HEINEVI",1,"X",,"X",,
"32425","NUTRIQUINE S.A.","Médicament","HEINEVI",3,"X",,,"X",
"51100","JGP EURODIFFUSION","Matériel","X",5,,,"X",,
"60201","FOURNISSEUR DIVERS","Autres frais généraux","X",1,"X","X","X","X","X"
"60308","ATELIERS DE BLICQUY","Matériel","X",1,"X",,"X",,
"60312","L'ATELIER MOSAN","Matériel","X",5,"X",,,,
"60390","AIP DEVELOPPEMENT","Fourniture","X",1,"X","X","X","X","X"
"60400","EUROVET *","Médicament","HEINEVI",3,"X",,,"X",
"60402","AIR LIQUIDE MEDICAL","Matériel","X",1,"X",,"X",,
"60405","ABBOT *","Médicament","HEINEVI",1,"X",,"X",,
"60407","AESCULAAP   *","Médicament","HEINEVI",1,"X",,"X",,
"60418","AFUBOX","Matériel","X",3,"X",,,"X",
"60422","EUROVET *","Médicament","HEINEVI",1,"X",,"X",,"X"
"60423","AGFA HEALTHCARE","Matériel","X",1,"X","X","X","X","X"
"60425","AGORA SANA SCRL","Médicament","CHRISTOPHE",3,"X",,,"X",
"60427","ANIMAL BLOOD RESOURCES INT.","Matériel","X",5,,,,"X",
"60428","ADAM EQUIPEMENT CO LTD","Matériel","X",5,,,"X",,
"60430","ADITECO (DE TURCK DIRK).","Matériel","X",5,"X",,,,
"60432","AIR PRODUCTS HEALTHCARE BELG.","Matériel","X",5,"X",,,,
"60433","AGAT MEDICAL","Matériel","X",1,"X","X","X","X","X"
"60434","ABBEYVET EXPORT LLP","Médicament","HEINEVI",5,,,"X",,
"60436","ADAM EQUIPEMENT GMBH","Matériel","X",1,"X","X","X","X","X"
"60437","ALMEVA BV","Matériel","X",1,"x",,,"x",
"60438","AFSCA","Médicament","HEINEVI",1,"x",,,"x",
"60450","AGRITRONICS INTERNATIONAL","Matériel","X",1,"X","X","X","X","X"
"60456","AGRO 2000","Matériel","X",5,,"X",,,
"61400","APEX MATERIEL MEDICAL","Matériel","X",1,"X","X","X","X","X"
"61425","ARHOMANI SPRL","Médicament","HEINEVI",1,,,"x",,
"61520","CAREFUSION","Fourniture","X",1,"X","X","X","X","X"
"61582","ALANINE LABORATORY","Médicament","HEINEVI",5,"x",,,,
"61587","ALCYON FRANCE-SITE LANDERNEAU","Matériel","X",1,"X","X","X","X","X"
"61588","ALCYON FRANCE - SITE LYON","Matériel","X",1,"X","X","X","X","X"
"61593","ANDOVER HEALTHCARE,INC","Matériel","X",1,"X","X","X","X","X"
"61594","ANDERMATT BIOVET AG","Médicament","HEINEVI",3,"X",,,"X",
"61597","ANALYTICON BIOTECHNOLOGIES AG","Matériel","X",5,,,"X",,
"61598","ANGEL CANADA ENTERPRISES LTD","Matériel","X",5,,"X",,,
"61599","ALCYON FRANCE-SITE DE PAU","Matériel","X",5,,,,,"X"
"61606","ANGIOMEDICS","Matériel","X",5,"X",,,,
"61607","ANIMEDICA","Matériel","X",5,,,,,
"61608","ALL-IN-1","Médicament","HEINEVI",1,"X","X","X","X","X"
"61609","AMCON LABORATORIES INC","Matériel","X",5,"X",,,,
"61615","ANTHOGYR","Matériel","X",1,"X","X","X","X","X"
"61645","ASP INTERNATIONAL","Aliment","CHRISTOPHE",3,,"X",,,"X"
"61661","APPLI-K","Matériel","X",1,"X","X","X","X","X"
"61662","APPLE PIE DESIGN","Matériel","X",1,"X","X","X","X","X"
"61668","ALEAMED BVBA","Matériel","X",1,"x",,"x",,"x"
"61700","NOVARTIS CONSUMER HEALTH NV","Médicament","HEINEVI",3,"X",,,"X",
"61712","NIMROD VET FRANCE","Médicament","HEINEVI",5,,,"X",,
"61723","NOBLE LIGHT AB","Matériel","X",5,"X",,,,
"61728","NOOTENS H.","Matériel","X",1,"X","X","X","X","X"
"61740","NEWMED S.R.L","Matériel","X",3,"X",,,"X",
"61755","NSK FRANCE","Matériel","X",5,,,,"X",
"61780","CID LINES","Fourniture","X",1,"X","X","X","X","X"
"61800","NESTLE PURINA PET CARE","Aliment","CHRISTOPHE",5,,,,"X",
"61851","NEW MOSAN","Matériel","X",1,"X","X","X","X","X"
"61920","AUDEVARD S.A.S","Médicament","HEINEVI",3,,"X",,,"X"
"61922","AUV GROOTHANDEL BV","Matériel","CHRISTOPHE",1,"x","x","x","x","x"
"61970","ADVANCED-VETERINARY-SYSTEMS","Médicament","CHRISTOPHE",3,"X",,,"X",
"62000","FOURNISSEURS OCCASIONS","Matériel","X",1,"X","X","X","X","X"
"62579","B A S","Matériel","X",3,"X",,,"X",
"62580","BAXTER","Médicament","X",5,,"X",,,
"62600","BAYER S.A.","Médicament","CHRISTOPHE",3,,"X",,,"X"
"62610","BELMEDIS","Matériel","X",1,"X","X","X","X","X"
"62628","BEPORI BVBA","Matériel","X",5,,"X",,,
"62631","BEMDEN'S (FRANCO BELGE)","Matériel","X",5,,"X",,,
"62643","B-LINE","Matériel","X",3,"X",,,"X",
"62650","SIEMENS MEDICAL SOLUTIONS","Matériel","X",3,"X",,,"X",
"62653","BIC BELGIUM","Matériel","X",1,"X","X","X","X","X"
"62677","BIOZONE EUROPE","Matériel","X",5,,,,"X",
"62678","BIO-ENTERPRISE","Matériel","X",3,"X",,,"X",
"62685","BIOVETA A.S","Matériel","CHRISTOPHE",3,"X",,,"X",
"62765","LAMP","Matériel","X",1,"X","X","X","X","X"
"62770","B.BRAUN MEDICAL","Médicament","X",3,"X",,,"X",
"62779","B.BRAUN VET CARE GMBH","Matériel","X",5,,,"X",,
"62781","BREATHEAZY LTD","Matériel","X",5,,,,,"X"
"62782","BSN MEDICAL","Matériel","CHRISTOPHE",3,,"x",,,"x"
"62784","BRINSEA PRODUCTS LTD","Matériel","X",5,,,,,"X"
"62795","METAGENICS(ANC.BIODYNAMIC","Médicament","HEINEVI",3,"X",,,"X",
"62798","BRUNEEL PRODUCTS","Matériel","X",3,"X",,,"X",
"62850","BURTONS MEDICAL EQUIP LTD","Matériel","X",1,"X","X","X","X","X"
"62900","BECTON DICKINSON BENELUX","Matériel","CHRISTOPHE",2,"X",,"x",,"x"
"63195","ALPHA REPARTITION","Médicament","X",1,"X","X","X","X","X"
"63198","ALSA BOLOGNA",,"X",5,,,,,"X"
"63211","CERVUS-EUROPE(DR P.AUDENAERDE)","Matériel","X",5,,"X",,,
"63240","CENTURION SCIENTIFIC LTD","Matériel","X",5,,"X",,,
"63355","CHEMICALS LAIF SRL","Médicament","HEINEVI",5,"X",,,,
"63450","BEAPHAR BELGIUM","Médicament","CHRISTOPHE",3,,"X",,,"X"
"63502","COLMAN LABORATOIRE","Médicament","CHRISTOPHE",5,,,,"X",
"63503","CODIFAR *","Médicament","HEINEVI",5,,,,,"X"
"63505","COMED","Médicament","HEINEVI",2,"X",,"X",,"X"
"63520","NC","Matériel","X",1,"X","X","X","X","X"
"63529","CA-MI SRL","Matériel","X",3,"X",,,"X",
"63550","CANTAERT AXEL","Matériel","CHRISTOPHE",3,,"X",,,"X"
"63553","CONCEPTO-TECH","Matériel","X",1,"x","x","x","x","x"
"63556","COVARMED BVBA","Matériel","X",1,"X","X","X","X","X"
"63560","COPHANA","Matériel","X",1,"X","X","X","X","X"
"63575","COVERA PACKAGING","Matériel","X",5,"X",,,,
"63596","C&I ENGINEERING","Matériel","X",1,"X","X","X","X","X"
"63598","CFI MAINTENANCE INFORMATIQUE","Matériel","X",5,,,,"X",
