id,name,description
__import__.report_intrastat_code_1012100,1012100,Pure-bred breeding horses
__import__.report_intrastat_code_1012910,1012910,Horses for slaughter
__import__.report_intrastat_code_1012990,1012990,"Live horses (excl. for slaughter, pure-bred for breeding)"
__import__.report_intrastat_code_1013000,1013000,Live asses
__import__.report_intrastat_code_1019000,1019000,Live mules and hinnies
__import__.report_intrastat_code_1022110,1022110,"Pure-bred breeding heifers ""female bovines that have never calved"""
__import__.report_intrastat_code_1022130,1022130,Pure-bred breeding cows (excl. heifers)
__import__.report_intrastat_code_1022190,1022190,Pure-bred cattle for breeding (excl. heifers and cows)
__import__.report_intrastat_code_1022905,1022905,Live cattle of the sub-genus Bibos or Poephagus (excl. pure-bred for breeding)
__import__.report_intrastat_code_1022910,1022910,Live cattle of a weight <= 80 kg (excl. pure-bred for breeding)
__import__.report_intrastat_code_1022921,1022921,"Cattle of a weight > 80 kg but <= 160 kg, for slaughter"
__import__.report_intrastat_code_1022929,1022929,"Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding)"
__import__.report_intrastat_code_1022941,1022941,"Cattle of a weight > 160 kg but <= 300 kg, for slaughter"
__import__.report_intrastat_code_1022949,1022949,"Live cattle of a weight > 160 kg but <= 300 kg (excl. for slaughter, pure-bred for breeding)"
__import__.report_intrastat_code_1022951,1022951,"Heifers ""female bovines that have never calved"" of a weight > 300 kg, for slaughter"
__import__.report_intrastat_code_1022959,1022959,"Live heifers ""female bovines that have never calved"" of a weight > 300 kg (excl. for slaughter and pure-bred for breeding)"
__import__.report_intrastat_code_1022961,1022961,"Cows of a weight > 300 kg, for slaughter (excl. heifers)"
__import__.report_intrastat_code_1022969,1022969,Live cows of a weight > 300 kg (excl. for slaughter and pure-bred for breeding and heifers)
__import__.report_intrastat_code_1022991,1022991,"Cattle of a weight > 300 kg, for slaughter (excl. heifers and cows)"
__import__.report_intrastat_code_1022999,1022999,"Live cattle of a weight > 300 kg (excl. for slaughter, pure-bred for breeding and heifers and cows)"
__import__.report_intrastat_code_1023100,1023100,Pure-bred buffalo for breeding
