id,indicated_price,list_price
__import__.product_1385236,109.25,71.08
__import__.product_4321557,10.95,6.24
__import__.product_4388254,16.21,9.24
__import__.product_5384001,119.93,78.03
__import__.product_6464798,21.13,12.04
__import__.product_6705434,13.05,8.49
__import__.product_6705440,14.86,9.67
__import__.product_6710352,17.42,11.33
__import__.product_6710926,36.24,23.58
__import__.product_6711601,13.73,8.93
__import__.product_6725767,99.01,64.42
__import__.product_6738155,8.27,5.38
__import__.product_6742642,3.73,2.43
__import__.product_6743280,41.36,26.91
__import__.product_6757342,18.88,12.28
__import__.product_6780401,28.90,18.80
__import__.product_6867303,15.27,9.94
__import__.product_6868372,44.88,29.20
__import__.product_6878206,15.22,9.90
__import__.product_6885548,45.73,29.75
__import__.product_6889055,222.18,144.55
__import__.product_6935654,68.44,44.53
__import__.product_6941181,11.17,7.27
__import__.product_6941347,9.46,6.15
__import__.product_6943754,11.28,7.34
__import__.product_6969771,24.44,15.90
__import__.product_6973873,59.68,38.83
__import__.product_6993752,23.90,15.55
__import__.product_6993806,38.66,25.15
__import__.product_7536956,11.23,6.40
__import__.product_7568287,12.28,7.00
__import__.product_7693360,13.13,7.48
__import__.product_7884350,127.97,72.94
__import__.product_7965930,16.70,9.52
__import__.product_8021002,9999999999.99,76.80
__import__.product_8330039,127.16,82.73
__import__.product_9512008,20.16,13.12
__import__.product_9512015,10.45,6.80
__import__.product_9512026,14.42,8.22
__import__.product_9512052,12.93,7.37
__import__.product_9512056,12.68,7.23
