id,indicated_price
__import__.product_0682666,69.20
__import__.product_0682674,45.16
__import__.product_1013390,37.06
__import__.product_1114099,19.02
__import__.product_1658699,53.76
__import__.product_1688803,90.07
__import__.product_2104941,51.46
__import__.product_2124584,152.91
__import__.product_2266781,65.79
__import__.product_2542942,73.36
__import__.product_2561165,86.96
__import__.product_2582740,178.26
__import__.product_2655116,34.11
__import__.product_2655124,16.65
__import__.product_2837078,8.02
__import__.product_2837094,15.50
__import__.product_2860187,115.78
__import__.product_2912517,64.46
__import__.product_2912541,124.12
__import__.product_2931145,27.02
__import__.product_2954386,27.94
__import__.product_3032885,83.93
__import__.product_3048741,33.86
__import__.product_3396751,127.34
__import__.product_3433869,40.00
__import__.product_3433893,72.03
__import__.product_3433901,23.85
__import__.product_3433935,60.66
__import__.product_3433968,29.99
