id,orderpoint_max
__import__.product_0257360,30.000
__import__.product_0600163,2.000
__import__.product_0616300,25.000
__import__.product_1664119,33.000
__import__.product_2553238,5.000
__import__.product_2910339,3.000
__import__.product_3237765,44.000
__import__.product_3597770,110.000
__import__.product_3702297,48.000
__import__.product_5080342,60.000
__import__.product_5159400,150.000
__import__.product_5196993,3.000
__import__.product_5823402,6.000
__import__.product_7197141,86.000
