id,ratio_main_product,list_price,weight,orderpoint_max,medical_device,default_code,storage_temperature_id/id,categ_id/id,unit_in_shrink_wrap,unit_in_box,manufacturer/id,state_id/id,orderpoint_min,veterinary_only,barcode,taxes_id/id,cnk_code,unit_in_pallet,orderpoint_qty_multiple,supplier_taxes_id/id,tracking,active,indicated_price,sale_delay,web_published,name,uom_id/id,ratio_additional_product,create_date,route_ids/id,price_category_id/id,uom_po_id/id
__import__.product_5840345,0,13.07,1.000,0,,5840345,specific_product.product_storage_temperature_ambient,specific_data.product_categ_ali_comp,0,0,__import__.supplier_68403,,0,,,l10n_be.1_attn_VAT-OUT-06-L,,0,0,l10n_be.1_attn_VAT-IN-V81-06,lot,True,23.80,0,True,REDCELL 946ml,product.product_uom_unit,0,2018-05-02,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_5840346,0,29.68,1.200,0,,5840346,specific_product.product_storage_temperature_ambient,specific_data.product_categ_ali_comp,0,0,__import__.supplier_68403,,0,,,l10n_be.1_attn_VAT-OUT-06-L,,0,0,l10n_be.1_attn_VAT-IN-V81-06,lot,True,52.00,0,True,OVARYSTAB 1L,product.product_uom_unit,0,2018-05-02,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_4004130,0,15.04,3.060,500.000,,4004130,specific_product.product_storage_temperature_ambient,specific_data.product_categ_ali_dietetique,0,0,__import__.supplier_78650,,300.000,,,l10n_be.1_attn_VAT-OUT-21-L,,0,1,l10n_be.1_attn_VAT-IN-V81-21,lot,True,27.98,0,True,RENAL CHAT 3x12x85GR POULET (2+1),__setup__.product_uom_boite,0,2018-04-30,purchase.route_warehouse0_buy,specific_product.product_price_category_alg,__setup__.product_uom_boite
__import__.product_4004131,0,17.46,4.000,400.000,,4004131,specific_product.product_storage_temperature_ambient,specific_data.product_categ_ali_dietetique,0,0,__import__.supplier_78650,,200.000,,,l10n_be.1_attn_VAT-OUT-21-L,,0,1,l10n_be.1_attn_VAT-IN-V81-21,lot,True,32.48,0,True,URINARY CHAT S/O 3x12x100GR POULET (2+1),__setup__.product_uom_boite,0,2018-05-02,purchase.route_warehouse0_buy,specific_product.product_price_category_alg,__setup__.product_uom_boite
__import__.product_5331711,0,8.26,0.150,48.000,,5331711,specific_product.product_storage_temperature_ambient,specific_data.product_categ_ali_dietetique,12,12,__import__.supplier_66258,,24.000,,,l10n_be.1_attn_VAT-OUT-21-L,,0,12,l10n_be.1_attn_VAT-IN-V81-21,lot,True,14.50,0,True,EMERAID CARNIVORE 100GR,product.product_uom_unit,0,2018-05-02,purchase.route_warehouse0_buy,specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_5331721,0,8.26,0.150,48.000,,5331721,specific_product.product_storage_temperature_ambient,specific_data.product_categ_ali_dietetique,12,12,__import__.supplier_66258,,24.000,,,l10n_be.1_attn_VAT-OUT-21-L,,0,12,l10n_be.1_attn_VAT-IN-V81-21,lot,True,14.50,0,True,EMERAID HERBIVORE 100GR,product.product_uom_unit,0,2018-05-02,purchase.route_warehouse0_buy,specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_5331731,0,8.26,0.150,48.000,,5331731,specific_product.product_storage_temperature_ambient,specific_data.product_categ_ali_dietetique,12,12,__import__.supplier_66258,,24.000,,,l10n_be.1_attn_VAT-OUT-21-L,,0,12,l10n_be.1_attn_VAT-IN-V81-21,lot,True,14.50,0,True,EMERAID OMNIVORE 100GR,product.product_uom_unit,0,2018-05-02,purchase.route_warehouse0_buy,specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_5332150,0,3.80,0.300,60.000,,5332150,specific_product.product_storage_temperature_ambient,specific_data.product_categ_ali_dietetique,20,20,__import__.supplier_73642,,30.000,,,l10n_be.1_attn_VAT-OUT-21-L,,0,20,l10n_be.1_attn_VAT-IN-V81-21,lot,True,6.67,0,True,EL PASO NUTRIBERRIES 284GR,product.product_uom_unit,0,2018-05-02,purchase.route_warehouse0_buy,specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_5332350,0,3.80,0.300,60.000,,5332350,specific_product.product_storage_temperature_ambient,specific_data.product_categ_ali_dietetique,20,20,__import__.supplier_73642,,30.000,,,l10n_be.1_attn_VAT-OUT-21-L,,0,20,l10n_be.1_attn_VAT-IN-V81-21,lot,True,6.67,0,True,GARDEN VEGGIE PARROT 284GR,product.product_uom_unit,0,2018-05-02,purchase.route_warehouse0_buy,specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_5332650,0,3.80,0.350,60.000,,5332650,specific_product.product_storage_temperature_ambient,specific_data.product_categ_ali_dietetique,20,20,__import__.supplier_73642,,30.000,,,l10n_be.1_attn_VAT-OUT-21-L,,0,20,l10n_be.1_attn_VAT-IN-V81-21,lot,True,6.67,0,True,NUTRIBERRIES TROP PARROT 300GR,product.product_uom_unit,0,2018-05-02,purchase.route_warehouse0_buy,specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_5332850,0,3.80,0.300,60.000,,5332850,specific_product.product_storage_temperature_ambient,specific_data.product_categ_ali_dietetique,20,20,__import__.supplier_73642,,30.000,,,l10n_be.1_attn_VAT-OUT-21-L,,0,20,l10n_be.1_attn_VAT-IN-V81-21,lot,True,6.67,0,True,SUNNY ORCHARD NUTRIBERRIES PARROT 284GR,product.product_uom_unit,0,2018-05-02,purchase.route_warehouse0_buy,specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_5336030,0,2.54,0.250,100.000,,5336030,specific_product.product_storage_temperature_ambient,specific_data.product_categ_ali_dietetique,20,20,__import__.supplier_73642,,50.000,,,l10n_be.1_attn_VAT-OUT-21-L,,0,20,l10n_be.1_attn_VAT-IN-V81-21,lot,True,4.45,0,True,AVICAKES CLASSIC PARROT 230GR,product.product_uom_unit,0,2018-05-02,purchase.route_warehouse0_buy,specific_product.product_price_category_gma,product.product_uom_unit
