id,bin_location_id/id
__import__.product_stock_bin_0026963,__import__.location_loc_GB13C2
__import__.product_stock_bin_0037077,__import__.location_loc_GB01C1
__import__.product_stock_bin_0040097,__import__.location_loc_GB18B4
__import__.product_stock_bin_0041921,__import__.location_loc_GB09A2
__import__.product_stock_bin_0045518,__import__.location_loc_GB10B2
__import__.product_stock_bin_0045666,__import__.location_loc_GB29A7
__import__.product_stock_bin_0048173,__import__.location_loc_GB09E2
__import__.product_stock_bin_0048181,__import__.location_loc_GG09D6
__import__.product_stock_bin_0063784,__import__.location_loc_GB25E9
__import__.product_stock_bin_0063792,__import__.location_loc_GB25B8
__import__.product_stock_bin_0064014,__import__.location_loc_GA07D1
__import__.product_stock_bin_0064015,__import__.location_loc_GA05A4
__import__.product_stock_bin_0067306,__import__.location_loc_GB22C2
__import__.product_stock_bin_0076901,__import__.location_loc_GB26D2
__import__.product_stock_bin_0079327,__import__.location_loc_GB05C3
__import__.product_stock_bin_0079459,__import__.location_loc_GB09D4
__import__.product_stock_bin_0085456,__import__.location_loc_GB13D1
__import__.product_stock_bin_0086132,__import__.location_loc_GG10C2
__import__.product_stock_bin_0095695,__import__.location_loc_GB02D4
__import__.product_stock_bin_0098467,__import__.location_loc_GB05A6
__import__.product_stock_bin_0104299,__import__.location_loc_GG05C7
__import__.product_stock_bin_0112573,__import__.location_loc_GB13D2
__import__.product_stock_bin_0118018,__import__.location_loc_GB24A4
__import__.product_stock_bin_0136465,__import__.location_loc_GG03B1
__import__.product_stock_bin_0250019,__import__.location_loc_GG08D3
__import__.product_stock_bin_0250555,__import__.location_loc_GB14C3
__import__.product_stock_bin_0250563,__import__.location_loc_GB09A6
__import__.product_stock_bin_0254680,__import__.location_loc_GG09B3
__import__.product_stock_bin_0254698,__import__.location_loc_GG09E5
__import__.product_stock_bin_0254722,__import__.location_loc_GG09A6
__import__.product_stock_bin_0289009,__import__.location_loc_GB09D1
__import__.product_stock_bin_0296442,__import__.location_loc_GG09B4
__import__.product_stock_bin_0317339,__import__.location_loc_GB13D8
__import__.product_stock_bin_0317347,__import__.location_loc_GG20C1
__import__.product_stock_bin_0320125,__import__.location_loc_GG23C5
__import__.product_stock_bin_0369124,__import__.location_loc_GB25B5
__import__.product_stock_bin_0386920,__import__.location_loc_GB09E4
__import__.product_stock_bin_0386938,__import__.location_loc_GB08B4
__import__.product_stock_bin_0391946,__import__.location_loc_GG02C3
__import__.product_stock_bin_0394569,__import__.location_loc_GG06C2
__import__.product_stock_bin_0398131,__import__.location_loc_GB21C6
__import__.product_stock_bin_0428060,__import__.location_loc_GB28C2
__import__.product_stock_bin_0458273,__import__.location_loc_GB10D2
__import__.product_stock_bin_0458281,__import__.location_loc_GB10B5
__import__.product_stock_bin_0470021,__import__.location_loc_GB17D1
__import__.product_stock_bin_0470039,__import__.location_loc_GB01D6
__import__.product_stock_bin_0481358,__import__.location_loc_GB01D5
__import__.product_stock_bin_0493288,__import__.location_loc_GG13E3
__import__.product_stock_bin_0497487,__import__.location_loc_GB25A6
__import__.product_stock_bin_0616300,__import__.location_loc_GB25A8
__import__.product_stock_bin_0624825,__import__.location_loc_GB17B5
__import__.product_stock_bin_0633135,__import__.location_loc_GG03C1
__import__.product_stock_bin_0660944,__import__.location_loc_GB13A3
__import__.product_stock_bin_0663054,__import__.location_loc_GB12D6
__import__.product_stock_bin_0668210,__import__.location_loc_GB08D2
__import__.product_stock_bin_0676015,__import__.location_loc_GB09B8
__import__.product_stock_bin_0676023,__import__.location_loc_GB09E7
__import__.product_stock_bin_0682666,__import__.location_loc_GB21A2
__import__.product_stock_bin_0801787,__import__.location_loc_GA05B5
__import__.product_stock_bin_0814681,__import__.location_loc_GB10A1
__import__.product_stock_bin_0826768,__import__.location_loc_GG19A2
__import__.product_stock_bin_0833582,__import__.location_loc_GG13C3
__import__.product_stock_bin_0842450,__import__.location_loc_GG03E6
__import__.product_stock_bin_0843136,__import__.location_loc_GB05E4
__import__.product_stock_bin_0864058,__import__.location_loc_GB05E7
__import__.product_stock_bin_0864066,__import__.location_loc_GB01E8
__import__.product_stock_bin_0868059,__import__.location_loc_GB09D8
__import__.product_stock_bin_0868547,__import__.location_loc_GB05C5
__import__.product_stock_bin_0877332,__import__.location_loc_GB13B2
__import__.product_stock_bin_0877340,__import__.location_loc_GB09A3
__import__.product_stock_bin_0877373,__import__.location_loc_GB13C1
__import__.product_stock_bin_0882936,__import__.location_loc_GB10A3
__import__.product_stock_bin_0892570,__import__.location_loc_GB05A2
__import__.product_stock_bin_0897090,__import__.location_loc_GB25A9
__import__.product_stock_bin_0949002,__import__.location_loc_GA07D3
__import__.product_stock_bin_1000751,__import__.location_loc_GB05E1
__import__.product_stock_bin_1001916,__import__.location_loc_GG09E4
__import__.product_stock_bin_1003920,__import__.location_loc_GG23C4
__import__.product_stock_bin_1003930,__import__.location_loc_GG04D6
__import__.product_stock_bin_1004070,__import__.location_loc_GG08B5
__import__.product_stock_bin_1004090,__import__.location_loc_GG22D3
__import__.product_stock_bin_1004110,__import__.location_loc_GB30B2
__import__.product_stock_bin_1004120,__import__.location_loc_GG04D3
__import__.product_stock_bin_1009809,__import__.location_loc_GB17E4
__import__.product_stock_bin_1010300,__import__.location_loc_GG05E2
__import__.product_stock_bin_1010310,__import__.location_loc_GG09C8
__import__.product_stock_bin_1010320,__import__.location_loc_GG05D9
__import__.product_stock_bin_1013150,__import__.location_loc_GB24A5
__import__.product_stock_bin_1013168,__import__.location_loc_GB08B1
__import__.product_stock_bin_1013390,__import__.location_loc_GB21B5
__import__.product_stock_bin_1013481,__import__.location_loc_GB24B4
__import__.product_stock_bin_1013549,__import__.location_loc_GB05C6
__import__.product_stock_bin_1021350,__import__.location_loc_GB18B2
