id,price
__import__.supplierinfo_67530-5157397,11.16
__import__.supplierinfo_67530-5192346,12.55
__import__.supplierinfo_67530-5335019,2.94
__import__.supplierinfo_67530-8003624,2.32
__import__.supplierinfo_67530-8003630,2.48
__import__.supplierinfo_67530-8003676,2.74
__import__.supplierinfo_67530-8036138,862.78
__import__.supplierinfo_67530-8036434,127.39
__import__.supplierinfo_67530-8190402,9.15
__import__.supplierinfo_67530-8346465,972.10
__import__.supplierinfo_74154-5015017,4.96
__import__.supplierinfo_74154-5015019,4.96
__import__.supplierinfo_74218-5080505,65.00
__import__.supplierinfo_74218-8021002,38.40
__import__.supplierinfo_77602-5384001,78.03
__import__.supplierinfo_77618-5760305,45.52
__import__.supplierinfo_77618-5760306,45.52
__import__.supplierinfo_77618-5760307,47.17
__import__.supplierinfo_77618-5760308,46.70
__import__.supplierinfo_77618-5760309,47.65
__import__.supplierinfo_77618-5760310,50.73
__import__.supplierinfo_77618-5760311,41.26
__import__.supplierinfo_77618-5760312,41.26
__import__.supplierinfo_77618-5760313,36.42
__import__.supplierinfo_77618-5760314,36.42
__import__.supplierinfo_77618-5760315,41.51
__import__.supplierinfo_77618-5760316,44.10
__import__.supplierinfo_77618-5760317,44.58
__import__.supplierinfo_77618-5760318,47.17
__import__.supplierinfo_77618-5760319,12.38
__import__.supplierinfo_77618-5760320,12.38
__import__.supplierinfo_77618-5760321,13.65
__import__.supplierinfo_77618-5760322,13.65
__import__.supplierinfo_77618-5760323,11.46
__import__.supplierinfo_77618-5760324,38.18
__import__.supplierinfo_77618-5760325,11.39
__import__.supplierinfo_77618-5760326,37.94
__import__.supplierinfo_77618-5760327,15.50
__import__.supplierinfo_77618-5760328,51.67
__import__.supplierinfo_77618-5760329,15.50
__import__.supplierinfo_77618-5760330,51.67
__import__.supplierinfo_77618-5760331,48.83
__import__.supplierinfo_77618-5760332,48.35
__import__.supplierinfo_77618-5760333,47.88
__import__.supplierinfo_77618-5760336,28.98
__import__.supplierinfo_77618-5760337,30.74
__import__.supplierinfo_77618-5760338,28.98
__import__.supplierinfo_77618-5760339,30.74
__import__.supplierinfo_77618-5760340,93.08
__import__.supplierinfo_77618-5760341,116.70
__import__.supplierinfo_77618-5760346,35.51
__import__.supplierinfo_77618-5760347,36.41
__import__.supplierinfo_77618-5760348,41.48
__import__.supplierinfo_77618-5760349,47.17
__import__.supplierinfo_77618-5760350,10.83
__import__.supplierinfo_77618-5760354,32.38
__import__.supplierinfo_77618-5760360,51.28
__import__.supplierinfo_77618-5760362,51.54
__import__.supplierinfo_77618-5760363,49.59
__import__.supplierinfo_77618-5760364,51.54
__import__.supplierinfo_77618-5760365,49.59
__import__.supplierinfo_77618-5760366,51.28
__import__.supplierinfo_77618-5760367,49.59
__import__.supplierinfo_77618-5760370,59.37
__import__.supplierinfo_77618-5760371,62.87
__import__.supplierinfo_77618-5760391,51.28
__import__.supplierinfo_77618-5760393,49.59
__import__.supplierinfo_77618-5760397,55.10
