id,alcyon_category_id/id,category_id/id
__import__.customer_1333,,__setup__.customer_category_autres
__import__.customer_1341,specific_partner.partner_category_veterinary,
__import__.customer_1560,specific_partner.partner_category_veterinary,__setup__.customer_category_petits_animaux
__import__.customer_2334,,__setup__.customer_category_universite
__import__.customer_2401,specific_partner.partner_category_veterinary,
__import__.customer_2460,specific_partner.partner_category_veterinary,
__import__.customer_2541,,__setup__.customer_category_autres
__import__.customer_2575,,__setup__.customer_category_sous_veto
__import__.customer_294,specific_partner.partner_category_callcenter,
__import__.customer_3244,specific_partner.partner_category_student,
__import__.customer_3284,specific_partner.partner_category_veterinary,__setup__.customer_category_petits_animaux
__import__.customer_3660,specific_partner.partner_category_veterinary,
__import__.customer_379,specific_partner.partner_category_student,
__import__.customer_3967,specific_partner.partner_category_veterinary,__setup__.customer_category_grands_animaux
__import__.customer_3987,specific_partner.partner_category_veterinary,
__import__.customer_4279,,__setup__.customer_category_autres
__import__.customer_4420,specific_partner.partner_category_veterinary,"__setup__.customer_category_petits_animaux,__setup__.customer_category_equins,__setup__.customer_category_grands_animaux"
__import__.customer_5046,specific_partner.partner_category_callcenter,"__setup__.customer_category_petits_animaux,__setup__.customer_category_equins,__setup__.customer_category_grands_animaux"
__import__.customer_5133,specific_partner.partner_category_student,"__setup__.customer_category_petits_animaux,__setup__.customer_category_equins"
__import__.customer_5155,specific_partner.partner_category_student,
__import__.customer_532,specific_partner.partner_category_veterinary,"__setup__.customer_category_petits_animaux,__setup__.customer_category_clinique"
__import__.customer_5510,specific_partner.partner_category_veterinary,"__setup__.customer_category_petits_animaux,__setup__.customer_category_clinique"
__import__.customer_5512,specific_partner.partner_category_veterinary,__setup__.customer_category_petits_animaux
__import__.customer_5522,specific_partner.partner_category_veterinary,"__setup__.customer_category_petits_animaux,__setup__.customer_category_enseignant"
__import__.customer_5538,specific_partner.partner_category_veterinary,__setup__.customer_category_petits_animaux
__import__.customer_600,specific_partner.partner_category_veterinary,__setup__.customer_category_equins
__import__.customer_619,specific_partner.partner_category_veterinary,__setup__.customer_category_petits_animaux
__import__.customer_6799,specific_partner.partner_category_veterinary,
__import__.customer_694,specific_partner.partner_category_veterinary,
__import__.customer_7000,specific_partner.partner_category_veterinary,__setup__.customer_category_petits_animaux
__import__.customer_7145,specific_partner.partner_category_student,
__import__.customer_7196,specific_partner.partner_category_veterinary,__setup__.customer_category_petits_animaux
__import__.customer_7312,specific_partner.partner_category_customerexport,
__import__.customer_7348,specific_partner.partner_category_veterinary,__setup__.customer_category_petits_animaux
__import__.customer_7385,specific_partner.partner_category_student,__setup__.customer_category_petits_animaux
__import__.customer_7407,specific_partner.partner_category_veterinary,"__setup__.customer_category_petits_animaux,__setup__.customer_category_equins"
__import__.customer_7579,specific_partner.partner_category_veterinary,"__setup__.customer_category_petits_animaux,__setup__.customer_category_enseignant"
__import__.customer_7684,specific_partner.partner_category_customerexport,
__import__.customer_7768,specific_partner.partner_category_veterinary,
__import__.customer_7931,specific_partner.partner_category_student,
__import__.customer_7952,specific_partner.partner_category_veterinary,
__import__.customer_8134,specific_partner.partner_category_veterinary,"__setup__.customer_category_petits_animaux,__setup__.customer_category_equins,__setup__.customer_category_grands_animaux"
__import__.customer_8218,specific_partner.partner_category_veterinary,
__import__.customer_8287,specific_partner.partner_category_veterinary,
__import__.customer_8288,specific_partner.partner_category_veterinary,__setup__.customer_category_enseignant
__import__.customer_8300,specific_partner.partner_category_student,
__import__.customer_831,specific_partner.partner_category_veterinary,
__import__.customer_8350,specific_partner.partner_category_veterinary,
__import__.customer_8351,specific_partner.partner_category_veterinary,
__import__.customer_8369,specific_partner.partner_category_veterinary,
__import__.customer_8394,specific_partner.partner_category_student,
__import__.customer_8408,,__setup__.customer_category_autres
__import__.customer_8497,specific_partner.partner_category_student,
__import__.customer_8537,specific_partner.partner_category_veterinary,
__import__.customer_8553,specific_partner.partner_category_veterinary,__setup__.customer_category_petits_animaux
__import__.customer_8562,specific_partner.partner_category_veterinary,
__import__.customer_8564,,__setup__.customer_category_autres
__import__.customer_8565,specific_partner.partner_category_veterinary,"__setup__.customer_category_petits_animaux,__setup__.customer_category_equins,__setup__.customer_category_grands_animaux"
__import__.customer_8688,specific_partner.partner_category_veterinary,
__import__.customer_8700,specific_partner.partner_category_veterinary,"__setup__.customer_category_petits_animaux,__setup__.customer_category_equins"
__import__.customer_8711,specific_partner.partner_category_veterinary,__setup__.customer_category_petits_animaux
__import__.customer_8737,specific_partner.partner_category_veterinary,
__import__.customer_8754,specific_partner.partner_category_student,"__setup__.customer_category_petits_animaux,__setup__.customer_category_grands_animaux"
__import__.customer_8831,specific_partner.partner_category_student,
__import__.customer_8981,specific_partner.partner_category_veterinary,
__import__.customer_8984,specific_partner.partner_category_student,
__import__.customer_9115,specific_partner.partner_category_veterinary,
__import__.customer_9213,specific_partner.partner_category_student,
__import__.customer_9222,specific_partner.partner_category_student,
__import__.customer_9250,specific_partner.partner_category_veterinary,
__import__.customer_9251,specific_partner.partner_category_student,
__import__.customer_999004002,specific_partner.partner_category_veterinary,
