id,alcyon_category_id/id
__import__.customer_1049,specific_partner.partner_category_student
__import__.customer_1059,specific_partner.partner_category_student
__import__.customer_1159,specific_partner.partner_category_student
__import__.customer_1195,specific_partner.partner_category_student
__import__.customer_1203,specific_partner.partner_category_student
__import__.customer_124,specific_partner.partner_category_pharmacy
__import__.customer_1276,specific_partner.partner_category_pharmacy
__import__.customer_1329,specific_partner.partner_category_student
__import__.customer_1351,specific_partner.partner_category_student
__import__.customer_1380,specific_partner.partner_category_student
__import__.customer_1440,specific_partner.partner_category_student
__import__.customer_1503,specific_partner.partner_category_student
__import__.customer_1556,specific_partner.partner_category_student
__import__.customer_1703,specific_partner.partner_category_student
__import__.customer_1749,specific_partner.partner_category_student
__import__.customer_182,specific_partner.partner_category_student
__import__.customer_1839,specific_partner.partner_category_student
__import__.customer_2218,specific_partner.partner_category_student
__import__.customer_2220,specific_partner.partner_category_student
__import__.customer_2249,specific_partner.partner_category_student
__import__.customer_225,specific_partner.partner_category_student
__import__.customer_229,specific_partner.partner_category_student
__import__.customer_2302,specific_partner.partner_category_student
__import__.customer_2325,specific_partner.partner_category_student
__import__.customer_2355,specific_partner.partner_category_student
__import__.customer_2424,specific_partner.partner_category_student
__import__.customer_2430,specific_partner.partner_category_student
__import__.customer_2488,specific_partner.partner_category_pharmacy
__import__.customer_2558,specific_partner.partner_category_student
__import__.customer_2569,specific_partner.partner_category_student
__import__.customer_2574,specific_partner.partner_category_student
__import__.customer_2609,specific_partner.partner_category_student
__import__.customer_2844,specific_partner.partner_category_student
__import__.customer_2857,specific_partner.partner_category_student
__import__.customer_2932,specific_partner.partner_category_student
__import__.customer_3219,specific_partner.partner_category_student
__import__.customer_3250,specific_partner.partner_category_student
__import__.customer_3340,specific_partner.partner_category_student
__import__.customer_3423,specific_partner.partner_category_student
__import__.customer_3445,specific_partner.partner_category_student
__import__.customer_3467,specific_partner.partner_category_student
__import__.customer_3513,specific_partner.partner_category_student
__import__.customer_3582,specific_partner.partner_category_student
__import__.customer_3642,specific_partner.partner_category_student
__import__.customer_3719,specific_partner.partner_category_student
__import__.customer_3744,specific_partner.partner_category_student
__import__.customer_3745,specific_partner.partner_category_student
__import__.customer_3817,specific_partner.partner_category_student
__import__.customer_4146,specific_partner.partner_category_student
__import__.customer_4160,specific_partner.partner_category_student
__import__.customer_4169,specific_partner.partner_category_student
__import__.customer_4188,specific_partner.partner_category_student
__import__.customer_4212,specific_partner.partner_category_student
__import__.customer_4222,specific_partner.partner_category_student
__import__.customer_4252,specific_partner.partner_category_pharmacy
__import__.customer_4315,specific_partner.partner_category_student
__import__.customer_4405,specific_partner.partner_category_customerexport
__import__.customer_4430,specific_partner.partner_category_student
__import__.customer_4456,specific_partner.partner_category_student
__import__.customer_4527,specific_partner.partner_category_student
__import__.customer_4529,specific_partner.partner_category_student
__import__.customer_4616,specific_partner.partner_category_customerexport
__import__.customer_4624,specific_partner.partner_category_student
__import__.customer_4633,specific_partner.partner_category_student
__import__.customer_4641,specific_partner.partner_category_student
__import__.customer_4698,specific_partner.partner_category_student
__import__.customer_4705,specific_partner.partner_category_student
__import__.customer_4724,specific_partner.partner_category_student
__import__.customer_4728,specific_partner.partner_category_student
__import__.customer_4736,specific_partner.partner_category_student
__import__.customer_4757,specific_partner.partner_category_student
__import__.customer_4764,specific_partner.partner_category_student
__import__.customer_4797,specific_partner.partner_category_student
__import__.customer_4802,specific_partner.partner_category_student
__import__.customer_4839,specific_partner.partner_category_student
__import__.customer_4857,specific_partner.partner_category_student
__import__.customer_4888,specific_partner.partner_category_student
__import__.customer_4931,specific_partner.partner_category_student
__import__.customer_4962,specific_partner.partner_category_student
__import__.customer_4982,specific_partner.partner_category_student
__import__.customer_4992,specific_partner.partner_category_student
__import__.customer_5004,specific_partner.partner_category_student
__import__.customer_5009,specific_partner.partner_category_student
__import__.customer_5010,specific_partner.partner_category_student
__import__.customer_5013,specific_partner.partner_category_student
__import__.customer_5019,specific_partner.partner_category_student
__import__.customer_5025,specific_partner.partner_category_student
__import__.customer_5048,specific_partner.partner_category_student
__import__.customer_5077,specific_partner.partner_category_student
__import__.customer_5106,specific_partner.partner_category_student
__import__.customer_5120,specific_partner.partner_category_student
__import__.customer_5174,specific_partner.partner_category_student
__import__.customer_5240,specific_partner.partner_category_student
__import__.customer_5352,specific_partner.partner_category_student
__import__.customer_5376,specific_partner.partner_category_student
__import__.customer_5423,specific_partner.partner_category_student
__import__.customer_5424,specific_partner.partner_category_student
__import__.customer_5435,specific_partner.partner_category_student
__import__.customer_5571,specific_partner.partner_category_student
__import__.customer_5641,specific_partner.partner_category_student
__import__.customer_5691,specific_partner.partner_category_student
__import__.customer_5730,specific_partner.partner_category_student
__import__.customer_5762,specific_partner.partner_category_student
__import__.customer_5768,specific_partner.partner_category_pharmacy
__import__.customer_5806,specific_partner.partner_category_student
__import__.customer_5814,specific_partner.partner_category_student
__import__.customer_5818,specific_partner.partner_category_student
__import__.customer_5820,specific_partner.partner_category_student
__import__.customer_5828,specific_partner.partner_category_student
__import__.customer_5894,specific_partner.partner_category_student
__import__.customer_5896,specific_partner.partner_category_student
__import__.customer_5902,specific_partner.partner_category_customerexport
__import__.customer_5923,specific_partner.partner_category_student
