id,category_id/id
__import__.customer_1742,__setup__.customer_category_divers
__import__.customer_2365,__setup__.customer_category_autres
__import__.customer_2436,__setup__.customer_category_autres
__import__.customer_2573,__setup__.customer_category_divers
__import__.customer_2602,__setup__.customer_category_autres
__import__.customer_2628,__setup__.customer_category_divers
__import__.customer_2887,__setup__.customer_category_divers
__import__.customer_3044,__setup__.customer_category_life
__import__.customer_3261,__setup__.customer_category_divers
__import__.customer_3539,__setup__.customer_category_divers
__import__.customer_362,__setup__.customer_category_divers
__import__.customer_4692,__setup__.customer_category_sous_veto
__import__.customer_5134,__setup__.customer_category_divers
__import__.customer_5298,__setup__.customer_category_divers
__import__.customer_5382,__setup__.customer_category_universite
__import__.customer_5464,__setup__.customer_category_life
__import__.customer_5551,__setup__.customer_category_life
__import__.customer_5559,__setup__.customer_category_life
__import__.customer_7616,__setup__.customer_category_sous_veto
__import__.customer_7752,"__setup__.customer_category_equins,__setup__.customer_category_autres"
__import__.customer_7769,__setup__.customer_category_sous_veto
__import__.customer_7784,__setup__.customer_category_autres
__import__.customer_7815,__setup__.customer_category_autres
__import__.customer_8463,__setup__.customer_category_life
__import__.customer_881,__setup__.customer_category_divers
