id,cnk_code,orderpoint_max,length,width,depth,default_code,orderpoint_min
__import__.product_0026963,0026963,270.000,5.50,5.50,11.30,0026963,140.000
__import__.product_0029132,0029132,904.000,5.60,5.60,10.50,0029132,300.000
__import__.product_0037028,0037028,876.000,5.20,5.20,14.70,0037028,258.000
__import__.product_0063784,0063784,400.000,11.20,11.20,2.60,0063784,200.000
__import__.product_0064725,0064725,182.000,3.70,3.70,10.60,0064725,49.000
__import__.product_0068536,0068536,2.000,6.00,4.20,7.20,0068536,1.000
__import__.product_0082420,0082420,20.000,9.80,7.10,2.00,0082420,9.000
__import__.product_0083873,0083873,151.000,13.60,10.30,10.10,0083873,41.000
__import__.product_0135996,0135996,535.000,6.70,6.70,19.20,0135996,210.000
__import__.product_0136465,0136465,120.000,5.50,5.50,10.40,0136465,54.000
__import__.product_0136499,0136499,246.000,6.70,6.70,19.10,0136499,73.000
__import__.product_0136945,0136945,1015.000,6.50,6.50,19.20,0136945,272.000
__import__.product_0254698,0254698,431.000,17.80,4.50,4.10,0254698,186.000
__import__.product_0289009,0289009,51.000,6.60,6.60,14.50,0289009,34.000
__import__.product_0317347,0317347,210.000,3.30,3.30,7.20,0317347,62.000
__import__.product_0384511,0384511,48.000,12.20,11.20,2.50,0384511,24.000
__import__.product_0384537,0384537,556.000,4.30,4.30,15.80,0384537,189.000
__import__.product_0428060,0428060,160.000,4.70,4.70,8.80,0428060,67.000
__import__.product_0436717,0436717,50.000,4.70,4.70,8.40,0436717,20.000
__import__.product_0481739,0481739,25.000,0,0,0,0481739,12.000
__import__.product_0491357,0491357,4547.000,6.60,6.60,13.60,0491357,2600.000
__import__.product_0616300,0616300,25.000,5.00,5.00,13.80,0616300,10.000
__import__.product_0660944,0660944,188.000,9.70,6.90,1.70,0660944,56.000
__import__.product_0682674,0682674,19.000,4.70,4.70,8.80,0682674,5.000
__import__.product_0837484,0837484,207.000,4.60,4.70,8.80,0837484,56.000
__import__.product_0864710,0864710,230.000,6.60,6.60,19.10,0864710,68.000
__import__.product_0874131,0874131,32.000,6.50,6.50,22.00,0874131,10.000
__import__.product_0877373,0877373,350.000,3.30,3.60,6.70,0877373,200.000
__import__.product_0877936,0877936,4.000,9.90,4.30,6.40,0877936,2.000
__import__.product_0882936,0882936,4.000,3.30,3.30,7.20,0882936,2.000
