id,cnk_code,weight,orderpoint_max,length,width,depth,default_code,orderpoint_min
__import__.product_0041921,0041921,0.73,51.000,11.30,11.30,15.40,0041921,13.000
__import__.product_0042028,0042028,0.03,269.000,4.60,2.50,6.40,0042028,120.000
__import__.product_0045518,0045518,0.09,33.000,6.60,4.40,10.30,0045518,10.000
__import__.product_0048173,0048173,0.24,291.000,5.10,5.20,14.00,0048173,78.000
__import__.product_0048181,0048181,1.20,28.000,8.90,7.70,21.00,0048181,8.000
__import__.product_0079327,0079327,0.67,60.000,10.00,6.00,15.00,0079327,21.000
__import__.product_0079459,0079459,0.26,32.000,5.20,5.20,11.50,0079459,12.000
__import__.product_0083253,0083253,6.38,9.000,19.10,15.70,24.40,0083253,3.000
__import__.product_0084665,0084665,0.03,1000.000,3.80,3.80,11.20,0084665,515.000
__import__.product_0097576,0097576,0.20,85.000,5.20,5.20,9.70,0097576,25.000
__import__.product_0112573,0112573,0.03,520.000,3.40,3.40,6.70,0112573,140.000
__import__.product_0250555,0250555,0.10,20.000,6.60,4.40,10.30,0250555,6.000
__import__.product_0250563,0250563,0.31,10.000,8.30,4.50,20.20,0250563,3.000
__import__.product_0369124,0369124,0.12,94.000,4.70,4.70,8.70,0369124,26.000
__import__.product_0384503,0384503,0.30,72.000,12.20,11.20,2.50,0384503,48.000
__import__.product_0398131,0398131,0.05,136.000,6.20,3.60,9.30,0398131,40.000
__import__.product_0493288,0493288,0.50,81.000,20.70,17.30,9.30,0493288,24.000
__import__.product_0624825,0624825,1.22,10.000,9.20,9.20,22.70,0624825,3.000
__import__.product_0668210,0668210,0.30,25.000,8.30,4.50,20.30,0668210,15.000
__import__.product_0676023,0676023,0.02,581.000,13.20,5.50,1.90,0676023,200.000
__import__.product_0810879,0810879,1.09,144.000,9.20,9.20,24.50,0810879,35.000
__import__.product_0814681,0814681,0.50,5.000,7.00,7.00,15.00,0814681,2.000
__import__.product_0864058,0864058,0.02,454.000,13.20,5.60,1.90,0864058,122.000
__import__.product_0868059,0112094,0.37,200.000,7.10,7.30,14.50,0868059,100.000
__import__.product_0877332,0877332,1.17,24.000,20.20,6.20,19.40,0877332,10.000
__import__.product_0877340,0877340,1.18,20.000,20.30,6.50,19.50,0877340,6.000
__import__.product_0877365,0877365,0.07,56.000,9.70,6.80,4.90,0877365,20.000
__import__.product_0877894,0877894,0.12,55.000,9.90,4.30,6.40,0877894,17.000
__import__.product_0897090,0897090,0.30,37.000,5.90,5.90,16.80,0897090,11.000
