id,indicated_price,list_price,orderpoint_max,length,width,depth,orderpoint_min
__import__.product_1152891,175.74,114.34,2.000,18.80,13.30,28.70,1.000
__import__.product_1203181,14.40,8.20,68.000,9.80,9.80,11.00,20.000
__import__.product_1388651,26.79,17.43,7.000,8.90,8.90,24.00,3.000
__import__.product_1807090,12.30,8.00,30.000,0,0,0,10.000
__import__.product_1929927,10.00,6.50,4.000,6.70,6.50,21.30,1.000
__import__.product_2372779,25.20,16.40,124.000,5.90,4.00,4.00,30.000
__import__.product_2582757,62.40,40.60,24.000,8.50,11.60,12.50,12.000
__import__.product_2864163,85.00,55.30,50.000,0,0,0,30.000
__import__.product_2959781,93.30,60.70,20.000,0,0,0,6.000
__import__.product_2968022,37.50,24.40,10.000,0,0,0,5.000
__import__.product_3045549,353.20,229.80,2.000,0,0,0,1.000
__import__.product_3085339,211.80,137.80,8.000,0,0,0,3.000
__import__.product_5042503,12.00,8.00,4.000,10.30,10.30,15.00,2.000
__import__.product_5042512,12.00,8.00,2.000,4.40,4.40,13.00,1.000
__import__.product_5042513,12.00,8.00,2.000,4.20,4.20,12.90,1.000
__import__.product_5042533,19.00,11.20,10.000,0,0,0,5.000
__import__.product_5044144,64.40,41.90,2.000,6.40,7.80,13.40,1.000
__import__.product_5164558,22.50,11.70,4.000,0,0,0,2.000
__import__.product_5197001,20.00,10.00,3.000,0,0,0,1.000
__import__.product_5259805,60.00,40.00,8.000,30.00,30.00,22.40,4.000
__import__.product_5259806,12.00,8.00,80.000,4.20,4.50,6.50,30.000
__import__.product_5259807,180.00,120.00,2.000,10.40,10.40,15.10,1.000
__import__.product_5259824,90.00,60.00,2.000,21.00,20.50,15.20,1.000
__import__.product_5259840,12.00,8.00,7.000,4.60,4.60,13.00,3.000
__import__.product_5259843,12.00,8.00,6.000,4.30,4.30,13.20,3.000
__import__.product_5259846,15.00,10.00,12.000,4.70,4.70,12.90,4.000
__import__.product_5259873,24.00,16.00,31.000,5.50,5.50,7.80,11.000
__import__.product_5512016,34.90,22.70,9.000,10.70,10.70,10.00,3.000
__import__.product_5611508,15.00,7.50,10.000,0,0,0,5.000
__import__.product_5611509,29.00,14.50,5.000,0,0,0,2.000
__import__.product_5611510,18.00,9.00,5.000,0,0,0,3.000
__import__.product_5611512,15.00,7.50,5.000,0,0,0,3.000
__import__.product_5611515,13.00,6.50,5.000,0,0,0,3.000
__import__.product_5611518,15.00,7.50,5.000,0,0,0,2.000
__import__.product_5611519,13.00,6.50,5.000,0,0,0,3.000
__import__.product_5611520,30.00,15.00,2.000,0,0,0,1.000
__import__.product_5611522,15.00,7.50,5.000,0,0,0,3.000
__import__.product_5611526,13.00,6.50,5.000,0,0,0,3.000
__import__.product_5611529,13.00,6.50,5.000,0,0,0,3.000
__import__.product_5611530,13.00,6.50,5.000,0,0,0,3.000
__import__.product_5611533,15.00,7.50,5.000,0,0,0,3.000
__import__.product_5611534,15.00,7.50,5.000,0,0,0,3.000
__import__.product_5611539,13.00,6.50,5.000,0,0,0,3.000
__import__.product_5611542,15.00,7.50,5.000,0,0,0,3.000
__import__.product_5611543,15.00,7.50,5.000,0,0,0,3.000
__import__.product_5611544,12.00,6.00,6.000,0,0,0,3.000
__import__.product_5611546,13.00,6.50,5.000,0,0,0,3.000
__import__.product_5611549,15.00,7.50,10.000,0,0,0,5.000
__import__.product_5611552,15.00,7.50,5.000,0,0,0,3.000
__import__.product_5611555,15.00,7.50,5.000,0,0,0,3.000
__import__.product_5611558,13.00,7.50,5.000,0,0,0,3.000
__import__.product_6197006,27.00,14.00,42.000,6.50,6.50,20.50,10.000
__import__.product_6728582,18.60,12.10,7.000,10.00,10.00,22.70,3.000
__import__.product_6971377,29.20,19.00,20.000,4.60,4.60,8.20,6.000
__import__.product_7764054,40.00,26.00,3.000,13.30,13.30,13.10,2.000
__import__.product_7805132,17.20,9.80,2.000,0,0,0,1.000
__import__.product_8225075,4.10,1.10,5.000,0,0,0,2.000
__import__.product_8252712,129.00,79.00,10.000,0,0,0,5.000
__import__.product_9512044,26.50,15.10,13.000,17.40,10.70,6.50,4.000
