id,indicated_price,list_price,weight,depth,width,length
__import__.product_1231206,4.50,2.60,0.50,0,0,0
__import__.product_1232008,43.90,25.40,9.00,0,0,0
__import__.product_1234009,38.90,22.50,8.00,0,0,0
__import__.product_1239413,29.90,17.30,4.00,12.00,24.00,32.00
__import__.product_1239471,9.50,5.50,1.00,0,0,0
__import__.product_1259800,4.50,2.60,0.40,9.00,5.00,17.70
__import__.product_1807500,19.30,11.00,0.10,0,0,0
__import__.product_1809740,115.80,66.00,0.30,0,0,0
__import__.product_1819390,26.50,15.10,0.20,0,0,0
__import__.product_2196701,160.00,105.00,1.50,12.30,16.60,26.50
__import__.product_2197001,84.50,55.00,1.20,12.30,16.80,26.50
__import__.product_2197101,126.00,81.00,2.70,12.30,16.50,26.50
__import__.product_2197401,125.00,82.00,1.50,12.30,16.60,26.50
__import__.product_2509909,378.10,246.00,0.50,7.90,20.40,21.80
__import__.product_2877884,75.00,43.50,13.00,12.00,41.00,64.00
__import__.product_2977270,57.90,33.00,0.20,0,0,0
__import__.product_3055001,571.00,371.50,5.00,0,0,0
__import__.product_3213550,191.20,124.40,0.20,0,0,0
__import__.product_4120005,51.00,27.40,4.50,0,0,0
__import__.product_4180201,9.50,5.10,0.50,0,0,0
__import__.product_4215004,25.50,13.70,4.00,0,0,0
__import__.product_4290232,25.50,13.70,3.00,0,0,0
__import__.product_4500301,8.00,4.30,0.80,26.00,7.00,18.00
__import__.product_4535637,27.20,15.50,0.50,0,0,0
__import__.product_4790105,230.90,141.40,0,0,0,0
__import__.product_5005000,45.40,26.00,5.00,0,0,0
__import__.product_5029225,62.90,36.40,15.00,0,0,0
__import__.product_5039107,11.50,7.50,0,0,0,0
__import__.product_5042516,105.00,70.00,0.60,0,0,0
__import__.product_5042518,165.00,110.00,1.00,0,0,0
__import__.product_5042519,60.00,40.00,1.00,0,0,0
__import__.product_5042527,45.00,30.00,20.00,0,0,0
__import__.product_5042536,42.00,28.00,15.00,0,0,0
__import__.product_5042542,105.00,70.00,0.50,0,0,0
__import__.product_5102000,68.00,39.20,12.50,0,0,0
__import__.product_5103000,56.90,33.50,12.50,0,0,0
__import__.product_5105200,54.90,30.40,5.00,0,0,0
__import__.product_5106200,37.90,20.90,5.00,0,0,0
__import__.product_5117658,74.40,43.00,14.00,11.00,38.00,76.00
__import__.product_5161100,68.50,40.50,12.50,0,0,0
__import__.product_5161200,67.00,39.60,12.50,0,0,0
__import__.product_5161800,63.00,36.90,12.50,0,0,0
__import__.product_5164506,68.00,39.20,12.50,11.00,37.00,73.00
__import__.product_5164525,8.70,5.40,1.20,6.00,15.00,23.00
__import__.product_5164526,8.70,5.40,1.20,6.00,15.00,23.00
__import__.product_5164527,8.70,5.40,1.20,6.00,15.00,23.00
__import__.product_5164528,8.70,5.40,1.20,6.00,15.00,23.00
__import__.product_5165110,79.00,44.50,9.00,0,0,0
__import__.product_5165210,89.00,51.50,9.00,0,0,0
__import__.product_5180021,5.60,3.40,0.80,0,0,0
__import__.product_5180022,5.60,3.40,0.80,0,0,0
__import__.product_5180024,5.60,3.40,0.80,0,0,0
__import__.product_5197000,62.00,38.00,0.50,0,0,0
__import__.product_5197066,65.00,34.00,10.00,0,0,0
__import__.product_5197067,26.00,17.00,0.30,0,0,0
__import__.product_5260039,56.10,32.00,8.00,7.50,38.20,54.60
__import__.product_5260041,49.10,28.00,8.00,7.50,38.20,54.60
__import__.product_5267016,20.00,11.40,0.10,0,0,0
__import__.product_5272214,22.90,13.00,3.00,0,0,0
__import__.product_5272434,57.90,32.90,12.00,0,0,0
__import__.product_5272570,65.90,38.50,14.00,0,0,0
__import__.product_5272705,43.90,23.20,7.00,0,0,0
__import__.product_5272707,41.90,22.70,7.00,0,0,0
__import__.product_5322701,28.60,16.30,0,0,0,0
__import__.product_5354150,89.50,54.00,15.00,0,0,0
__import__.product_5360012,59.50,35.90,12.00,0,0,0
__import__.product_5361012,59.50,35.90,12.00,0,0,0
__import__.product_5361790,10.00,5.70,1.00,0,0,0
__import__.product_5362012,59.50,35.90,12.00,0,0,0
__import__.product_5365274,90.00,54.30,15.00,0,0,0
__import__.product_5368012,59.50,35.90,12.00,0,0,0
__import__.product_5369012,59.50,35.90,12.00,0,0,0
__import__.product_5416395,173.70,99.00,1.00,0,0,0
__import__.product_5422026,43.00,26.20,5.00,0,0,0
__import__.product_5424154,113.20,71.50,10.00,0,0,0
__import__.product_5461253,14.30,7.10,2.50,11.00,23.00,40.00
__import__.product_5461291,33.00,16.90,5.00,34.50,14.00,30.00
__import__.product_5472626,44.00,25.20,20.00,0,0,0
__import__.product_5764019,196.00,127.40,4.00,0,0,0
__import__.product_5764021,14.00,9.10,0.20,0,0,0
__import__.product_5764025,36.00,23.40,1.00,0,0,0
__import__.product_5808966,54.00,30.60,6.50,0,0,0
__import__.product_5821483,74.50,43.10,12.00,0,0,0
__import__.product_5821701,31.80,18.40,3.20,0,0,0
__import__.product_5825225,37.00,21.40,4.00,0,0,0
__import__.product_5840312,35.50,23.10,1.00,0,0,0
__import__.product_5840327,25.60,13.70,0.50,0,0,0
__import__.product_5840329,82.00,44.60,1.00,0,0,0
__import__.product_5840331,35.00,22.70,0.30,0,0,0
__import__.product_5920112,195.20,127.00,0.50,0,0,0
__import__.product_6197031,106.50,63.00,5.00,0,0,0
__import__.product_6294534,19.30,11.00,0.50,0,0,0
__import__.product_6547478,19.30,11.00,0.50,0,0,0
__import__.product_6766996,26.60,17.30,0.10,0,0,0
__import__.product_6777304,195.20,127.00,5.00,0,0,0
__import__.product_6974329,70.70,46.00,0.10,0,0,0
__import__.product_6979350,24.90,16.20,0.10,0,0,0
__import__.product_7249240,84.00,48.60,14.00,11.90,42.60,62.90
__import__.product_7764083,10.50,6.10,0.20,0,0,0
__import__.product_7764976,46.00,29.90,1.10,16.00,12.70,7.50
__import__.product_7910011,107.90,70.20,0.09,5.50,7.10,11.60
__import__.product_8031916,95.00,75.00,0,0,0,0
__import__.product_8071637,1.40,0.80,0,0,0,0
__import__.product_8116854,26.50,15.10,0.10,0,0,0
__import__.product_8117351,38.60,22.00,0.50,0,0,0
__import__.product_8121654,614.80,400.00,0.10,0,0,0
__import__.product_8125273,19.30,11.00,0.10,0,0,0
__import__.product_8134467,79.30,45.20,0.10,0,0,0
__import__.product_8149200,30.90,18.30,3.00,9.00,20.00,24.00
__import__.product_8211340,8.60,4.90,0,0,0,0
__import__.product_8222622,72.60,40.00,0,0,0,0
__import__.product_8227720,1170.60,667.20,0,0,0,0
__import__.product_8250587,11.80,6.50,0,0,0,0
__import__.product_8270119,42.20,23.50,10.00,13.80,40.10,59.90
__import__.product_8425348,0.70,0.40,0,0,0,0
__import__.product_9421100,30.90,18.30,3.00,9.00,20.00,24.00
