id,indicated_price,list_price,weight,orderpoint_max,length,width,depth,orderpoint_min
__import__.product_1097641,37.50,24.40,0.06,83.000,6.20,3.60,9.30,25.000
__import__.product_1201094,17.90,10.20,3.00,40.000,41.00,24.00,11.00,13.000
__import__.product_1205185,8.60,4.90,1.00,15.000,19.50,16.00,25.00,5.000
__import__.product_1362100,28.90,17.10,3.00,5.000,24.00,20.00,9.00,2.000
__import__.product_2171886,73.90,42.60,10.00,8.000,59.00,38.00,10.00,4.000
__import__.product_2171887,65.90,38.10,10.00,8.000,59.00,38.00,10.00,3.000
__import__.product_2171888,73.90,42.60,10.00,10.000,59.00,38.00,10.00,5.000
__import__.product_2171889,73.90,42.60,10.00,7.000,59.00,38.00,10.00,3.000
__import__.product_2171890,73.90,42.60,10.00,8.000,59.00,38.00,10.00,3.000
__import__.product_2171892,73.90,42.60,10.00,5.000,59.00,38.00,10.00,2.000
__import__.product_2172132,65.90,38.10,10.00,8.000,59.00,38.00,10.00,4.000
__import__.product_2373561,16.50,9.50,2.50,17.000,30.00,23.50,9.50,8.000
__import__.product_2388924,16.50,9.50,2.50,4.000,30.00,23.00,9.50,1.000
__import__.product_2488583,26.50,15.30,2.00,10.000,31.00,23.00,9.50,6.000
__import__.product_2726370,17.20,9.80,0.16,200.000,4.00,4.20,17.00,76.000
__import__.product_2732931,88.50,51.20,12.00,25.000,65.00,39.00,11.00,15.000
__import__.product_2732949,88.50,51.20,12.00,3.000,65.00,39.00,11.00,2.000
__import__.product_2732972,88.50,51.20,12.00,55.000,65.00,39.00,11.00,18.000
__import__.product_2877918,15.50,8.90,1.00,7.000,0,0,0,3.000
__import__.product_3016516,147.40,95.90,0.50,35.000,0,0,0,15.000
__import__.product_3083763,58.40,38.00,5.00,30.000,0,0,0,10.000
__import__.product_3162302,147.70,96.10,1.00,12.000,0,0,0,4.000
__import__.product_3256302,280.20,182.30,0.10,42.000,0,0,0,30.000
__import__.product_3439619,35.20,22.90,0.10,10.000,0,0,0,5.000
__import__.product_3582582,30.00,17.10,0.50,48.000,0,0,0,24.000
__import__.product_4180400,42.40,22.80,2.00,20.000,0,0,0,8.000
__import__.product_4180405,76.00,40.80,4.00,9.000,0,0,0,5.000
__import__.product_4500425,62.50,33.60,10.00,62.000,60.00,39.00,12.00,28.000
__import__.product_5005100,44.90,24.00,5.00,4.000,0,0,0,2.000
__import__.product_5006110,35.90,20.50,5.00,4.000,0,0,0,2.000
__import__.product_5042528,12.00,8.00,0.10,2.000,0,0,0,1.000
__import__.product_5105300,47.50,27.30,5.00,2.000,0,0,0,1.000
__import__.product_5106110,37.90,20.90,5.00,2.000,0,0,0,1.000
__import__.product_5124610,30.90,18.30,3.00,3.000,23.00,25.00,10.00,2.000
__import__.product_5161300,73.50,42.50,12.50,8.000,0,0,0,4.000
__import__.product_5161600,61.50,36.20,12.50,3.000,0,0,0,1.000
__import__.product_5163200,52.90,31.40,12.50,12.000,0,0,0,6.000
__import__.product_5164500,68.50,40.50,12.50,12.000,73.00,37.00,11.00,6.000
__import__.product_5164501,67.00,39.60,12.50,44.000,73.00,37.00,11.00,15.000
__import__.product_5164502,73.50,42.50,12.50,98.000,73.00,37.00,11.00,30.000
__import__.product_5164504,61.50,36.20,12.50,35.000,73.00,37.00,11.00,11.000
__import__.product_5164505,65.00,37.50,12.50,43.000,73.00,37.00,11.00,15.000
__import__.product_5164513,40.90,23.40,4.50,17.000,47.00,27.00,10.00,6.000
__import__.product_5164516,42.50,24.60,4.50,42.000,47.00,27.00,10.00,13.000
__import__.product_5164521,13.70,7.60,1.50,6.000,22.00,20.00,8.00,2.000
__import__.product_5164524,51.00,32.50,6.00,13.000,25.00,15.00,25.00,4.000
__import__.product_5164533,56.90,33.50,12.50,10.000,73.00,37.00,11.00,4.000
__import__.product_5164534,56.90,33.50,12.50,22.000,73.00,37.00,11.00,8.000
__import__.product_5164535,52.90,31.40,12.50,97.000,73.00,37.00,11.00,33.000
__import__.product_5164536,55.90,32.90,12.50,18.000,73.00,37.00,11.00,6.000
__import__.product_5164543,13.70,7.60,1.50,12.000,22.00,20.00,8.00,4.000
__import__.product_5164547,54.00,34.30,6.00,7.000,25.00,15.00,25.00,3.000
__import__.product_5164549,63.00,36.90,12.50,18.000,73.00,37.00,11.00,6.000
__import__.product_5164551,57.00,36.70,6.00,3.000,25.00,15.00,25.00,1.000
__import__.product_5169596,30.90,18.30,3.00,5.000,0,0,0,2.000
__import__.product_5171004,30.90,18.30,3.00,5.000,0,0,0,2.000
__import__.product_5197002,12.00,7.00,1.50,5.000,0,0,0,3.000
__import__.product_5197004,38.00,19.00,0.10,2.000,0,0,0,1.000
__import__.product_5203010,10.00,5.70,1.00,15.000,0,0,0,8.000
__import__.product_5219007,7.50,4.30,0.70,100.000,0,0,0,61.000
__import__.product_5221073,26.50,15.30,2.00,4.000,0,0,0,2.000
__import__.product_5221084,59.00,34.20,6.00,4.000,0,0,0,2.000
__import__.product_5272132,22.90,13.00,3.00,3.000,0,0,0,2.000
__import__.product_5272211,20.90,12.00,3.00,4.000,0,0,0,2.000
__import__.product_5272213,22.90,13.00,3.00,3.000,0,0,0,2.000
__import__.product_5272215,21.90,12.70,3.00,11.000,0,0,0,3.000
__import__.product_5272216,21.90,12.70,3.00,9.000,0,0,0,3.000
__import__.product_5272431,57.90,32.90,12.00,13.000,0,0,0,4.000
__import__.product_5272432,57.90,32.90,12.00,10.000,0,0,0,4.000
__import__.product_5272433,57.90,32.90,12.00,10.000,0,0,0,3.000
__import__.product_5272436,61.90,36.20,14.00,14.000,0,0,0,4.000
__import__.product_5272437,61.90,36.20,14.00,21.000,0,0,0,7.000
__import__.product_5272438,61.90,37.50,14.00,28.000,0,0,0,15.000
__import__.product_5272439,61.90,36.00,14.00,15.000,0,0,0,6.000
__import__.product_5272546,43.90,23.20,7.00,2.000,0,0,0,1.000
__import__.product_5272547,65.90,38.50,14.00,10.000,0,0,0,4.000
__import__.product_5272550,57.90,32.90,12.00,2.000,0,0,0,1.000
__import__.product_5272555,61.90,37.50,14.00,11.000,0,0,0,4.000
__import__.product_5272557,65.90,38.50,14.00,4.000,0,0,0,2.000
__import__.product_5272558,65.90,38.50,14.00,19.000,0,0,0,10.000
__import__.product_5272563,41.90,21.70,7.00,4.000,0,0,0,2.000
__import__.product_5272565,43.90,23.20,7.00,2.000,0,0,0,1.000
__import__.product_5272581,43.90,23.20,7.00,7.000,0,0,0,2.000
__import__.product_5272582,43.90,23.20,7.00,5.000,0,0,0,2.000
__import__.product_5272618,21.90,12.70,3.00,6.000,0,0,0,2.000
__import__.product_5272647,22.90,13.00,3.00,2.000,0,0,0,1.000
__import__.product_5272675,21.90,12.70,3.00,5.000,0,0,0,2.000
__import__.product_5272683,21.90,12.70,3.00,3.000,0,0,0,2.000
__import__.product_5272704,43.90,23.20,7.00,4.000,0,0,0,1.000
__import__.product_5272750,43.90,23.20,7.00,4.000,0,0,0,2.000
__import__.product_5278096,61.90,37.50,14.00,4.000,0,0,0,2.000
__import__.product_5294638,65.90,38.50,14.00,4.000,0,0,0,2.000
__import__.product_5294770,65.90,38.50,14.00,4.000,0,0,0,2.000
