id,indicated_price,list_price,weight,orderpoint_max,length,width,depth
__import__.product_2197301,56.00,37.50,1.50,1.000,26.50,16.20,12.30
__import__.product_5161700,65.00,37.50,12.50,1.000,0,0,0
__import__.product_5163400,55.90,32.90,12.50,1.000,0,0,0
__import__.product_5197008,40.00,22.00,0.10,2.000,0,0,0
__import__.product_5272619,22.90,13.00,3.00,5.000,0,0,0
__import__.product_5272648,20.90,12.00,3.00,4.000,0,0,0
__import__.product_5278095,57.90,32.90,12.00,1.000,0,0,0
__import__.product_5278099,22.90,13.00,3.00,4.000,0,0,0
__import__.product_5365234,90.00,54.30,15.00,1.000,0,0,0
__import__.product_5624905,23.50,15.50,2.50,1.000,0,0,0
__import__.product_5624910,55.60,30.00,2.00,1.000,0,0,0
__import__.product_5764016,40.00,26.00,1.00,1.000,0,0,0
__import__.product_5764113,40.00,26.00,0.20,1.000,0,0,0
__import__.product_8131658,17.90,10.20,0.10,1.000,0,0,0
__import__.product_8335243,164.80,90.80,0,1.000,0,0,0
