id,indicated_price,list_price,weight
__import__.product_5086890,37.90,21.60,
__import__.product_5102208,95.00,75.00,
__import__.product_5301165,292.30,166.60,
__import__.product_5405942,193.00,110.00,
__import__.product_5415146,193.00,110.00,
__import__.product_5500100,2279.10,1299.00,
__import__.product_5903001,110.00,70.50,
__import__.product_5903003,92.00,59.00,
__import__.product_5903104,72.00,48.20,
__import__.product_5903803,89.00,57.10,
__import__.product_8197999,27.20,15.50,
__import__.product_8888011,0.10,0.10,
__import__.product_8888020,0.20,0.20,
__import__.product_8888029,0.50,0.50,
__import__.product_8888036,0.90,0.90,
__import__.product_8888043,1.40,1.40,
