id,indicated_price,orderpoint_max,length,width,depth,default_code,orderpoint_min
__import__.product_0067306,3.90,20.000,15.50,4.80,4.50,0067306,10.000
__import__.product_0130401,9.00,5.000,8.60,6.60,2.80,0130401,2.000
__import__.product_0135194,36.40,24.000,8.90,8.90,22.20,0135194,12.000
__import__.product_0254722,18.90,87.000,5.20,5.20,15.10,0254722,34.000
__import__.product_0383414,119.00,40.000,12.00,11.70,9.30,0383414,20.000
__import__.product_0428315,13.60,8.000,5.80,5.80,16.20,0428315,3.000
__import__.product_0458281,18.80,12.000,9.40,7.70,4.10,0458281,4.000
__import__.product_0671230,10.10,12.000,10.60,9.30,9.00,0671230,6.000
__import__.product_0676643,41.30,120.000,6.60,6.60,14.40,0676643,60.000
__import__.product_0868547,16.80,80.000,9.30,5.90,1.90,0868547,40.000
