id,indicated_price,orderpoint_max,length,width,depth,orderpoint_min
__import__.product_1013549,106.50,32.000,12.70,7.80,15.50,10.000
__import__.product_1073386,132.50,6.000,12.10,11.70,4.70,3.000
__import__.product_1112622,10.90,206.000,15.00,4.80,4.10,56.000
__import__.product_1118983,14.90,144.000,3.70,3.70,11.50,53.000
__import__.product_1120872,370.90,3.000,14.10,14.10,23.60,1.000
__import__.product_1122100,10.50,47.000,4.40,4.40,15.20,14.000
__import__.product_1183375,39.80,212.000,7.20,7.20,13.90,63.000
__import__.product_1202898,16.30,12.000,5.40,9.80,23.20,4.000
__import__.product_1202969,31.80,55.000,6.60,6.60,14.20,30.000
__import__.product_1272574,217.50,4.000,7.40,3.20,5.80,2.000
__import__.product_1283217,50.50,13.000,7.10,7.10,15.30,4.000
__import__.product_1331313,9.30,425.000,5.10,4.00,10.00,126.000
__import__.product_1334821,6.90,6.000,0,0,0,1.000
__import__.product_1357227,20.30,72.000,16.80,10.70,2.60,22.000
__import__.product_1371939,25.20,22.000,4.80,4.80,9.80,10.000
__import__.product_1391614,55.90,7.000,22.90,19.70,31.20,3.000
__import__.product_1398973,191.30,50.000,16.40,8.40,32.50,30.000
__import__.product_1418367,18.90,120.000,5.20,5.20,15.20,60.000
__import__.product_1429935,9.50,2.000,3.50,3.50,11.30,1.000
__import__.product_1445964,27.70,2.000,14.20,30.20,34.80,1.000
__import__.product_1465822,30.90,8.000,7.30,7.30,11.30,3.000
__import__.product_1483965,15.10,24.000,8.20,7.30,2.10,7.000
__import__.product_1553155,14.50,11.000,4.80,4.80,13.20,3.000
__import__.product_1561448,42.70,9.000,7.30,7.00,11.40,3.000
__import__.product_1596816,18.90,131.000,5.30,5.30,15.20,35.000
__import__.product_1632389,7.60,45.000,3.20,3.20,8.70,14.000
__import__.product_1691716,187.80,10.000,5.80,5.80,10.80,8.000
__import__.product_1710227,11.00,12.000,5.10,5.10,18.90,6.000
__import__.product_1800156,261.70,80.000,17.20,8.40,7.60,40.000
__import__.product_2061281,61.00,77.000,11.90,6.80,2.10,23.000
__import__.product_2093391,188.40,50.000,5.40,5.40,8.80,15.000
__import__.product_2247914,137.20,30.000,8.30,8.30,7.50,15.000
__import__.product_2262004,72.00,23.000,5.10,5.10,10.60,8.000
__import__.product_2262020,29.00,16.000,4.30,4.30,18.90,6.000
__import__.product_2262046,54.50,8.000,5.10,5.10,18.40,4.000
__import__.product_2271187,24.20,7.000,6.20,6.20,10.30,3.000
__import__.product_2271203,30.50,10.000,8.40,8.10,13.10,4.000
__import__.product_2271229,18.80,3.000,5.90,5.60,7.90,1.000
__import__.product_2271237,18.70,6.000,4.90,4.90,10.00,3.000
__import__.product_2314433,100.50,110.000,11.40,6.30,3.60,60.000
__import__.product_2342178,418.00,60.000,23.90,12.20,34.90,30.000
__import__.product_2368231,246.80,265.000,7.40,3.70,6.90,71.000
__import__.product_2372837,80.30,52.000,11.00,6.00,3.80,16.000
__import__.product_2382729,15.00,119.000,4.80,4.80,12.80,36.000
__import__.product_2407110,8.20,302.000,15.00,3.50,2.30,81.000
__import__.product_2430205,25.00,161.000,10.90,4.50,2.60,43.000
__import__.product_2433803,15.80,55.000,13.80,9.60,2.30,16.000
__import__.product_2433902,36.20,10.000,19.70,14.90,25.80,3.000
__import__.product_2441350,66.50,480.000,5.50,5.50,11.40,240.000
__import__.product_2446052,445.00,4.000,4.70,4.70,9.30,2.000
__import__.product_2451664,64.50,12.000,3.50,3.50,6.50,4.000
__import__.product_2451672,225.10,23.000,4.20,4.20,8.40,8.000
__import__.product_2458115,51.50,210.000,11.40,6.10,3.60,100.000
__import__.product_2461903,21.40,47.000,11.40,4.90,2.00,14.000
__import__.product_2509818,23.10,123.000,2.00,13.50,5.50,33.000
__import__.product_2518850,57.10,10.000,6.50,6.00,11.00,5.000
__import__.product_2612018,286.30,50.000,7.40,6.00,10.70,25.000
__import__.product_2637577,9.90,100.000,12.00,2.00,8.00,50.000
__import__.product_2650349,41.90,40.000,0,0,0,20.000
__import__.product_2675999,7.90,80.000,8.20,2.00,5.00,40.000
__import__.product_2729317,90.90,6.000,29.00,23.00,39.00,3.000
__import__.product_2737690,25.40,63.000,3.10,5.20,8.60,17.000
__import__.product_2738268,7.60,12.000,5.00,5.00,10.00,3.000
__import__.product_2744506,33.30,18.000,11.00,5.70,2.30,8.000
