id,indicated_price,weight,orderpoint_max,length,width,depth,orderpoint_min
__import__.product_1001916,17.60,0.03,200.000,12.20,11.30,2.50,100.000
__import__.product_1013150,72.80,0.27,44.000,27.00,6.50,2.70,13.000
__import__.product_1027515,30.60,0.10,20.000,18.70,5.60,3.80,10.000
__import__.product_1073360,204.00,0.36,90.000,24.00,11.60,0,50.000
__import__.product_1112655,11.00,0.10,133.000,15.00,4.90,4.10,44.000
__import__.product_1122191,12.10,0.13,119.000,7.00,7.00,9.30,32.000
__import__.product_1163393,17.10,0.04,96.000,12.20,11.20,2.50,48.000
__import__.product_1171487,18.90,0.30,308.000,5.30,5.30,16.70,111.000
__import__.product_1190308,28.60,0.30,3.000,0,0,0,2.000
__import__.product_1190310,2.20,0.20,163.000,7.50,7.50,5.70,63.000
__import__.product_1220284,23.20,3.00,15.000,37.00,29.00,9.00,5.000
__import__.product_1230031,6.90,0.50,5.000,0,0,0,3.000
__import__.product_1239113,7.20,0.50,4.000,21.00,14.00,6.00,2.000
__import__.product_1389741,71.80,0.20,15.000,0,0,0,7.000
__import__.product_1478692,66.50,0.21,146.000,5.60,5.70,10.50,43.000
__import__.product_1510676,35.80,0.06,60.000,17.90,13.50,2.40,32.000
__import__.product_2049146,73.60,0.73,16.000,8.70,8.70,17.20,4.000
__import__.product_2115616,19.90,0.20,140.000,5.20,5.20,9.70,51.000
__import__.product_2217305,175.90,0.20,2.000,5.80,5.50,10.30,1.000
__import__.product_2247856,16.70,0.02,20.000,10.60,9.80,2.10,10.000
__import__.product_2248800,6.30,0.40,48.000,18.50,14.40,7.10,17.000
__import__.product_2252260,18.10,0.05,100.000,23.30,6.30,2.90,50.000
__import__.product_2357465,89.00,12.00,2.000,60.00,37.00,8.00,1.000
__import__.product_2357481,57.00,8.00,36.000,0,0,0,16.000
__import__.product_2357531,17.50,1.80,160.000,12.50,11.50,29.00,68.000
__import__.product_2357648,52.50,7.50,65.000,60.00,37.00,11.00,28.000
__import__.product_2357689,52.50,7.50,34.000,59.00,37.00,9.00,15.000
__import__.product_2357754,41.50,7.50,115.000,59.00,37.00,9.00,49.000
__import__.product_2357788,41.50,7.50,33.000,60.00,37.00,11.00,16.000
__import__.product_2357812,41.50,7.50,2.000,60.00,37.00,11.00,1.000
__import__.product_2357952,18.00,1.50,50.000,29.00,17.00,6.00,40.000
__import__.product_2373553,15.50,2.00,21.000,24.50,23.50,11.50,10.000
__import__.product_2601268,168.20,0.40,5.000,10.60,17.20,11.10,3.000
__import__.product_2605061,42.40,0.05,15.000,3.50,3.50,7.00,8.000
__import__.product_2637593,55.53,0.10,100.000,11.50,5.50,8.00,27.000
__import__.product_2687929,4.50,0.30,150.000,21.00,15.00,6.50,64.000
__import__.product_2690071,10.70,0.20,448.000,5.50,5.50,17.00,200.000
__import__.product_2736072,21.10,2.50,7.000,33.00,19.00,10.00,2.000
__import__.product_2747632,12.00,0.04,32.000,5.00,2.70,24.50,10.000
__import__.product_2769202,22.50,3.00,14.000,37.00,29.00,9.00,7.000
__import__.product_2770307,23.50,3.00,14.000,37.00,29.00,9.00,6.000
__import__.product_2799203,381.10,1.70,9.000,8.10,19.70,12.80,6.000
__import__.product_2853273,266.90,1.24,18.000,7.00,14.50,25.50,6.000
__import__.product_2877702,46.00,7.50,8.000,60.00,37.00,11.00,4.000
