id,indicated_price,weight,orderpoint_max,length,width,depth
__import__.product_1008640,98.70,0,1.000,0,0,0
__import__.product_1021380,82.50,0,1.000,0,0,0
__import__.product_2465011,174.90,5.00,1.000,0,0,0
__import__.product_2659134,8.80,0.20,1.000,0,0,0
__import__.product_5171894,19.90,1.50,6.000,0,0,0
__import__.product_5172061,18.90,1.50,2.000,0,0,0
__import__.product_5259801,125.00,10.00,1.000,32.30,32.50,28.00
__import__.product_5308817,12.00,1.00,4.000,0,0,0
__import__.product_5308818,12.00,1.00,4.000,0,0,0
__import__.product_5308819,12.00,1.00,4.000,0,0,0
__import__.product_5314612,56.50,12.00,1.000,0,0,0
__import__.product_5315112,54.50,12.00,1.000,0,0,0
__import__.product_5461298,4.40,0.50,6.000,26.00,19.00,8.00
__import__.product_5840301,120.70,5.00,1.000,0,0,0
__import__.product_8054219,8.70,0,2.000,0,0,0
__import__.product_8229222,27.90,0,1.000,0,0,0
__import__.product_8229239,27.90,0,1.000,0,0,0
__import__.product_8243618,57.50,0,1.000,0,0,0
