id,indicated_price,weight
__import__.product_1229063,34.90,
__import__.product_1234434,66.50,
__import__.product_2919900,52.40,
__import__.product_2975738,38.40,
__import__.product_5032823,95.00,
__import__.product_5032829,95.00,
__import__.product_5035233,19.60,
__import__.product_5039106,16.50,
__import__.product_5051488,58.90,
__import__.product_5060022,2.70,
__import__.product_5102038,26.20,
__import__.product_5102827,146.20,
__import__.product_5203052,18.80,
__import__.product_5217006,80.50,
__import__.product_5218131,8.30,
__import__.product_5315005,85.70,
__import__.product_5381605,24.60,
__import__.product_5385203,118.40,
__import__.product_5404200,3.70,
__import__.product_5430816,60.40,
__import__.product_5903008,99.00,
__import__.product_5903100,61.00,
__import__.product_5903101,49.00,
__import__.product_5903102,29.00,
__import__.product_5903105,9.00,
__import__.product_5903106,45.00,
__import__.product_5903107,30.00,
__import__.product_5903108,75.00,
__import__.product_5903109,23.00,
__import__.product_5903201,26.00,
__import__.product_5903202,17.50,
__import__.product_5903203,75.00,
__import__.product_5903204,45.00,
__import__.product_5903205,35.00,
__import__.product_5903301,36.40,
__import__.product_5903302,40.00,
__import__.product_5903401,39.50,
__import__.product_5903402,37.40,
__import__.product_5903403,97.00,
__import__.product_5903501,46.50,
__import__.product_5903502,89.00,
__import__.product_5903601,32.00,
__import__.product_5903602,30.00,
__import__.product_5903603,8.20,
__import__.product_5903604,37.80,
__import__.product_5903605,26.00,
__import__.product_5903606,40.00,
__import__.product_5903701,33.60,
__import__.product_5903702,26.00,
__import__.product_5903703,29.00,
__import__.product_5903704,35.00,
__import__.product_5903705,26.00,
__import__.product_5903706,45.00,
__import__.product_5903707,32.00,
__import__.product_5903802,40.00,
__import__.product_5903804,46.00,
__import__.product_5903805,82.00,
__import__.product_8012592,16.00,
__import__.product_8014036,36.60,
__import__.product_8064229,10.60,
__import__.product_8068351,73.70,
__import__.product_8197120,9.60,
__import__.product_8211848,87.30,
__import__.product_8211860,87.30,
__import__.product_8211877,87.30,
__import__.product_8211883,87.30,
__import__.product_8250535,5.70,
__import__.product_8257750,67.80,
__import__.product_8257767,67.80,
__import__.product_8257773,67.80,
__import__.product_8257796,67.80,
__import__.product_8258092,12.90,
__import__.product_8279562,18.30,
__import__.product_8288302,9.60,
__import__.product_8339672,4.60,
__import__.product_8340095,4.60,
__import__.product_8363771,12.20,
__import__.product_8428654,4.60,
