id,length,width,depth,cnk_code,default_code
__import__.product_0016188,0,0,0,0016188,0016188
__import__.product_0040659,0,0,0,0040659,0040659
__import__.product_0046037,0,0,0,0046037,0046037
__import__.product_0047829,0,0,0,0047829,0047829
__import__.product_0048454,0,0,0,0048454,0048454
__import__.product_0055822,0,0,0,0055822,0055822
__import__.product_0057679,0,0,0,0057679,0057679
__import__.product_0059444,5.50,5.50,10.50,0059444,0059444
__import__.product_0099895,0,0,0,0099895,0099895
__import__.product_0102053,0,0,0,0102053,0102053
__import__.product_0103275,0,0,0,0103275,0103275
__import__.product_0108423,0,0,0,0108423,0108423
__import__.product_0114074,0,0,0,0114074,0114074
__import__.product_0120139,0,0,0,0120139,0120139
__import__.product_0125153,0,0,0,0125153,0125153
__import__.product_0130336,0,0,0,0130336,0130336
__import__.product_0135475,0,0,0,0135475,0135475
__import__.product_0137232,0,0,0,0137232,0137232
__import__.product_0137554,0,0,0,0137554,0137554
__import__.product_0137562,0,0,0,0137562,0137562
__import__.product_0137851,0,0,0,0137851,0137851
__import__.product_0154146,0,0,0,0154146,0154146
__import__.product_0226159,0,0,0,0226159,0226159
__import__.product_0284794,0,0,0,0284794,0284794
__import__.product_0290270,24.80,13.90,21.50,0290270,0290270
__import__.product_0446997,0,0,0,0446997,0446997
__import__.product_0458471,0,0,0,0458471,0458471
__import__.product_0476275,0,0,0,0476275,0476275
__import__.product_0487710,0,0,0,0487710,0487710
__import__.product_0636134,0,0,0,0636134,0636134
__import__.product_0669705,0,0,0,0669705,0669705
__import__.product_0813055,0,0,0,0813055,0813055
__import__.product_0835454,0,0,0,0835454,0835454
__import__.product_0845875,0,0,0,0845875,0845875
__import__.product_0856062,0,0,0,0856062,0856062
__import__.product_0860577,0,0,0,0860577,0860577
__import__.product_0862250,0,0,0,0862250,0862250
__import__.product_0868273,0,0,0,0868273,0868273
__import__.product_0869677,0,0,0,0869677,0869677
__import__.product_0869685,0,0,0,0869685,0869685
__import__.product_0892224,0,0,0,0892224,0892224
__import__.product_0894907,0,0,0,0894907,0894907
