id,length,width,depth,list_price,indicated_price
__import__.product_1002336,0,0,0,114.90,176.60
__import__.product_1064732,0,0,0,200.00,350.90
__import__.product_1075696,0,0,0,4.50,7.90
__import__.product_1148972,0,0,0,35.00,53.80
__import__.product_1202405,0,0,0,11.40,20.00
__import__.product_1202662,0,0,0,44.50,68.40
__import__.product_1302199,6.60,6.60,14.30,22.30,36.00
__import__.product_1350602,3.70,3.60,14.30,8.00,12.30
__import__.product_1400099,0,0,0,495.00,9999999999.99
__import__.product_1423806,9.50,9.50,9.90,11.80,20.70
__import__.product_1446152,0,0,0,15.07,26.44
__import__.product_1527744,0,0,0,38000.00,66671.00
__import__.product_1589993,0,0,0,3.30,5.80
__import__.product_1596808,0,0,0,11.00,19.30
__import__.product_1596832,10.80,10.80,2.30,9.30,14.30
__import__.product_1676931,0,0,0,8.00,12.30
__import__.product_1705565,0,0,0,135.00,207.50
__import__.product_1763572,0,0,0,28.00,31.00
__import__.product_1785096,0,0,0,47.00,86.00
__import__.product_2016864,0,0,0,11.40,20.00
__import__.product_2055127,2.80,2.80,5.40,62.20,95.60
__import__.product_2197201,12.80,7.00,17.30,27.00,39.70
__import__.product_2262087,6.50,6.50,11.30,57.00,100.00
__import__.product_2556488,0,0,0,65.60,95.90
__import__.product_2770208,0,0,0,21.40,37.00
__import__.product_2819662,7.20,13.80,9.40,34.20,60.00
__import__.product_2895746,0,0,0,46.00,70.70
__import__.product_3044484,0,0,0,6.70,10.30
__import__.product_3116258,0,0,0,24.40,37.50
__import__.product_3241023,0,0,0,30.50,53.30
__import__.product_4005004,0,0,0,29.30,53.00
__import__.product_4005021,0,0,0,26.60,48.00
__import__.product_4005022,28.30,19.70,11.30,13.70,25.50
__import__.product_4006001,0,0,0,25.50,46.00
__import__.product_4007001,0,0,0,25.50,46.00
__import__.product_4009003,29.60,25.80,13.80,18.00,33.50
__import__.product_4100315,0,0,0,8.10,14.00
__import__.product_4120050,16.00,14.20,7.00,4.30,8.00
__import__.product_4200001,0,0,0,6.50,11.40
__import__.product_4211005,54.60,38.20,9.20,18.80,35.00
__import__.product_4217002,29.40,26.70,15.50,18.00,33.50
