id,length,width,manufacturer/id,list_price,depth
__import__.product_1760109,0,0,__import__.supplier_74166,295.00,0
__import__.product_5020132,0,0,__import__.supplier_74166,22.00,0
__import__.product_5041323,0,0,__import__.supplier_74166,53.00,0
__import__.product_5070015,0,0,__import__.supplier_74166,150.00,0
__import__.product_5918434,0,0,__import__.supplier_74140,175.00,0
__import__.product_5972618,0,0,__import__.supplier_74140,2750.00,0
__import__.product_5972623,0,0,__import__.supplier_74140,2950.00,0
__import__.product_5973625,0,0,__import__.supplier_74140,100.00,0
__import__.product_5973626,0,0,__import__.supplier_74140,3.00,0
__import__.product_5973630,0,0,__import__.supplier_74140,150.00,0
