id,list_price,weight,orderpoint_max,length,width,depth
__import__.product_1016560,197.30,0,1.000,0,0,0
__import__.product_1019380,4.00,0,1.000,0,0,0
__import__.product_1019620,2.60,0,3.000,0,0,0
__import__.product_1019630,2.60,0,3.000,0,0,0
__import__.product_1023420,25.00,0,1.000,0,0,0
__import__.product_1023430,25.00,0,1.000,0,0,0
__import__.product_1023440,25.00,0,1.000,0,0,0
__import__.product_1023450,25.00,0,1.000,0,0,0
__import__.product_1034880,1.00,0,1.000,0,0,0
__import__.product_1050400,55.50,0,5.000,0,0,0
__import__.product_1050410,60.50,0,5.000,0,0,0
__import__.product_1239581,26.90,7.50,1.000,0,0,0
__import__.product_1402593,1209.60,0,1.000,0,0,0
__import__.product_2289312,39.10,1.00,1.000,0,0,0
__import__.product_3507456,17.60,1.00,1.000,0,0,0
__import__.product_4627460,125.00,1.20,1.000,31.00,23.50,11.20
__import__.product_5001003,20.00,0,1.000,0,0,0
__import__.product_5001005,20.00,0,1.000,0,0,0
__import__.product_5020015,485.00,0,1.000,0,0,0
__import__.product_5025320,19.10,0,1.000,0,0,0
__import__.product_5043961,86.30,0,1.000,0,0,0
__import__.product_5045149,275.00,0,1.000,0,0,0
__import__.product_5100311,117.00,0,2.000,0,0,0
__import__.product_5100920,260.00,0,1.000,0,0,0
__import__.product_5101004,20.00,0,1.000,0,0,0
__import__.product_5102144,105.00,0,1.000,0,0,0
__import__.product_5105101,3800.00,0,1.000,0,0,0
__import__.product_5147750,2.60,0,1.000,0,0,0
__import__.product_5147764,2.60,0,1.000,0,0,0
__import__.product_5170045,88.30,0,1.000,0,0,0
__import__.product_5170100,12.50,0,1.000,0,0,0
__import__.product_5180375,399.00,0,1.000,0,0,0
__import__.product_5192035,255.00,5.00,1.000,0,0,0
__import__.product_5211262,80.80,0,1.000,0,0,0
__import__.product_5222020,28.20,0,1.000,0,0,0
__import__.product_5271642,35.30,0,1.000,0,0,0
__import__.product_5280809,15.00,1.00,8.000,0,0,0
__import__.product_5301114,6.50,0,10.000,0,0,0
__import__.product_5301134,43.50,0,1.000,0,0,0
__import__.product_5301139,43.50,0,1.000,0,0,0
__import__.product_5301141,42.00,0,2.000,0,0,0
__import__.product_5301145,42.00,0,2.000,0,0,0
__import__.product_5336162,9.60,0,1.000,0,0,0
__import__.product_5347313,4.00,0,1.000,0,0,0
__import__.product_5508161,256.00,0,1.000,0,0,0
__import__.product_5690604,60.00,1.00,1.000,0,0,0
__import__.product_5729390,15.00,0,1.000,0,0,0
__import__.product_5764208,16.00,1.00,1.000,0,0,0
__import__.product_5764215,6.30,0.10,1.000,0,0,0
__import__.product_5791570,3555.50,0,1.000,0,0,0
__import__.product_6330822,6.30,0,1.000,0,0,0
__import__.product_6502210,399.00,0,1.000,0,0,0
