id,list_price,weight
__import__.product_1006210,495.00,
__import__.product_1026640,5.80,
__import__.product_1527747,1080.00,
__import__.product_2919926,113.20,
__import__.product_4251023,452.20,
__import__.product_4251024,240.00,
__import__.product_5000189,71.10,
__import__.product_5000197,71.10,
__import__.product_5000295,2.50,
__import__.product_5000809,29.00,
__import__.product_5000810,23.50,
__import__.product_5001204,206.80,
__import__.product_5002014,115.00,
__import__.product_5003105,18.10,
__import__.product_5005502,59.00,
__import__.product_5009335,15.00,
__import__.product_5010325,9.50,
__import__.product_5010610,465.00,
__import__.product_5013201,38.00,
__import__.product_5017470,35.00,
__import__.product_5017471,105.00,
__import__.product_5019774,35.00,
__import__.product_5021785,4.00,
__import__.product_5022027,31.50,
__import__.product_5023026,31.50,
__import__.product_5023192,125.00,
__import__.product_5025699,4.00,
__import__.product_5026479,92.00,
__import__.product_5026921,57.00,
__import__.product_5026922,28.60,
__import__.product_5027175,70.40,
__import__.product_5027176,41.60,
__import__.product_5027180,192.00,
__import__.product_5027182,109.00,
__import__.product_5027189,35.80,
__import__.product_5030102,52.80,
__import__.product_5030236,180.00,
__import__.product_5037699,65.00,
__import__.product_5040312,10.00,
__import__.product_5046002,32.50,
__import__.product_5048995,46.50,
__import__.product_5050385,440.00,
__import__.product_5052225,105.60,
__import__.product_5052231,105.60,
__import__.product_5052245,105.60,
__import__.product_5052270,105.60,
__import__.product_5052271,105.60,
__import__.product_5052276,105.60,
__import__.product_5052530,95.00,
__import__.product_5052540,95.00,
__import__.product_5052550,95.00,
__import__.product_5055105,920.00,
__import__.product_5061006,32.00,
__import__.product_5072624,75.00,
__import__.product_5074578,65.70,
__import__.product_5100202,650.00,
__import__.product_5100990,2689.00,
__import__.product_5100995,1475.00,
__import__.product_5102209,75.00,
__import__.product_5102211,75.00,
__import__.product_5102822,75.00,
__import__.product_5104475,215.00,
__import__.product_5106326,97.90,
__import__.product_5106335,295.00,
__import__.product_5108100,257.50,
__import__.product_5110300,12.00,
__import__.product_5110301,38.00,
__import__.product_5110302,38.00,
__import__.product_5110303,38.00,
__import__.product_5110304,38.00,
__import__.product_5110305,38.00,
__import__.product_5110310,12.00,
__import__.product_5110311,38.00,
__import__.product_5110312,38.00,
__import__.product_5110313,38.00,
__import__.product_5110314,38.00,
__import__.product_5110315,38.00,
__import__.product_5110318,61.50,
__import__.product_5110320,12.00,
__import__.product_5110321,38.00,
__import__.product_5110322,38.00,
__import__.product_5110323,38.00,
__import__.product_5110324,38.00,
__import__.product_5110325,38.00,
__import__.product_5110328,61.50,
__import__.product_5110332,38.00,
__import__.product_5110333,38.00,
__import__.product_5110340,12.00,
__import__.product_5110344,38.00,
__import__.product_5110350,12.00,
__import__.product_5110352,38.00,
__import__.product_5110360,12.00,
__import__.product_5110361,38.00,
__import__.product_5110362,38.00,
__import__.product_5110363,38.00,
__import__.product_5110364,38.00,
__import__.product_5110365,38.00,
__import__.product_5110368,61.50,
__import__.product_5110370,12.00,
__import__.product_5110371,38.00,
__import__.product_5110372,38.00,
__import__.product_5110373,38.00,
