id,orderpoint_max,depth,width,length,default_code,orderpoint_min
__import__.product_0011002,4.000,9.50,4.00,4.00,0011002,2.000
__import__.product_0045666,30.000,11.20,14.40,23.00,0045666,19.000
__import__.product_0061887,337.000,11.40,5.50,5.50,0061887,100.000
__import__.product_0064014,24.000,15.20,4.00,4.00,0064014,12.000
__import__.product_0064015,4.000,20.40,5.00,5.00,0064015,2.000
__import__.product_0067330,20.000,4.60,4.70,20.00,0067330,10.000
__import__.product_0067678,12.000,5.50,30.20,5.50,0067678,6.000
__import__.product_0081620,2.000,9.00,10.10,10.10,0081620,1.000
__import__.product_0086132,45.000,6.50,6.50,11.90,0086132,15.000
__import__.product_0095412,7.000,6.70,6.80,11.50,0095412,5.000
__import__.product_0098467,127.000,5.10,5.20,10.00,0098467,34.000
__import__.product_0104299,500.000,1.80,4.70,7.00,0104299,198.000
__import__.product_0109181,16.000,3.00,8.80,14.70,0109181,10.000
__import__.product_0111054,50.000,4.80,5.30,5.30,0111054,25.000
__import__.product_0111591,40.000,4.80,5.00,7.20,0111591,20.000
__import__.product_0111963,40.000,4.80,5.00,10.00,0111963,20.000
__import__.product_0112110,980.000,19.60,6.50,6.50,0112110,263.000
__import__.product_0117994,36.000,5.80,5.90,5.90,0117994,12.000
__import__.product_0118018,225.000,3.30,5.90,5.90,0118018,75.000
__import__.product_0118034,36.000,6.00,13.30,20.20,0118034,12.000
__import__.product_0125732,884.000,3.80,5.50,23.20,0125732,261.000
__import__.product_0132324,69.000,6.30,6.50,6.90,0132324,23.000
__import__.product_0136481,214.000,19.10,6.50,6.50,0136481,58.000
__import__.product_0175471,5.000,12.20,13.10,27.70,0175471,3.000
__import__.product_0175497,2.000,12.30,18.20,28.40,0175497,1.000
__import__.product_0180810,20.000,6.70,6.70,7.50,0180810,10.000
__import__.product_0180836,12.000,6.70,6.80,9.50,0180836,6.000
__import__.product_0181396,2.000,29.00,9.50,10.30,0181396,1.000
__import__.product_0183137,4.000,7.50,7.90,10.70,0183137,2.000
__import__.product_0192294,6.000,7.60,8.90,18.30,0192294,3.000
__import__.product_0250019,10.000,14.20,19.20,20.50,0250019,5.000
__import__.product_0257360,30.000,7.20,4.20,4.20,0257360,20.000
__import__.product_0296442,102.000,6.40,9.00,11.80,0296442,30.000
__import__.product_0296467,16.000,6.40,8.90,11.70,0296467,5.000
__import__.product_0315127,20.000,6.70,3.60,3.60,0315127,10.000
__import__.product_0320123,15.000,3.60,12.70,18.00,0320123,5.000
__import__.product_0320138,2.000,18.00,3.50,12.50,0320138,1.000
__import__.product_0320167,20.000,3.60,12.70,18.00,0320167,20.000
__import__.product_0320244,25.000,3.60,12.80,18.00,0320244,10.000
__import__.product_0320245,5.000,3.50,12.80,17.90,0320245,5.000
__import__.product_0320366,25.000,3.60,12.80,18.00,0320366,10.000
__import__.product_0391151,50.000,9.00,15.50,41.00,0391151,25.000
__import__.product_0391946,120.000,10.00,10.00,16.00,0391946,60.000
__import__.product_0430398,10.000,9.00,4.40,4.40,0430398,5.000
__import__.product_0458265,6.000,4.00,7.70,9.40,0458265,3.000
__import__.product_0458273,18.000,9.40,7.70,4.10,0458273,5.000
__import__.product_0458299,18.000,0,7.70,9.30,0458299,6.000
__import__.product_0481358,440.000,3.90,14.00,19.00,0481358,220.000
__import__.product_0481366,50.000,4.80,18.00,25.50,0481366,25.000
__import__.product_0495036,10.000,8.70,9.20,9.20,0495036,5.000
__import__.product_0498444,10.000,12.20,12.50,32.20,0498444,3.000
__import__.product_0499270,20.000,0,0,0,0499270,10.000
__import__.product_0600163,2.000,14.90,8.10,8.10,0600163,2.000
__import__.product_0663054,2.000,24.50,9.10,9.10,0663054,1.000
__import__.product_0667139,2.000,14.20,21.10,21.30,0667139,1.000
__import__.product_0675934,10.000,14.00,11.00,21.00,0675934,5.000
__import__.product_0685909,109.000,13.80,5.40,5.40,0685909,30.000
__import__.product_0801571,8.000,5.30,5.50,8.70,0801571,4.000
__import__.product_0801787,12.000,25.20,5.80,5.80,0801787,6.000
__import__.product_0802181,4.000,12.70,15.40,20.50,0802181,2.000
__import__.product_0802389,20.000,5.30,5.50,6.70,0802389,10.000
__import__.product_0804215,20.000,4.60,5.30,5.30,0804215,10.000
__import__.product_0816322,28.000,14.30,30.10,37.10,0816322,14.000
__import__.product_0816892,4.000,4.80,15.00,18.60,0816892,2.000
__import__.product_0816918,4.000,8.70,15.00,18.40,0816918,2.000
__import__.product_0816926,4.000,10.90,15.30,18.40,0816926,2.000
__import__.product_0817015,80.000,2.00,5.80,5.80,0817015,40.000
__import__.product_0817031,80.000,5.70,5.70,5.90,0817031,30.000
__import__.product_0817189,4.000,5.30,5.50,10.80,0817189,2.000
__import__.product_0819375,4.000,25.10,24.00,28.90,0819375,2.000
__import__.product_0825661,15.000,8.60,5.70,8.50,0825661,5.000
__import__.product_0825679,9.000,8.70,8.70,10.80,0825679,3.000
__import__.product_0825687,8.000,0,0,0,0825687,4.000
__import__.product_0826768,6.000,0.80,14.10,20.00,0826768,3.000
__import__.product_0830216,20.000,5.90,7.30,7.30,0830216,10.000
__import__.product_0833574,125.000,9.80,5.20,5.20,0833574,37.000
__import__.product_0836627,68.000,5.80,2.90,2.90,0836627,25.000
__import__.product_0843136,360.000,4.90,9.70,13.40,0843136,107.000
__import__.product_0865600,15.000,5.70,6.10,9.30,0865600,5.000
__import__.product_0870071,64.000,33.00,6.50,12.80,0870071,32.000
__import__.product_0870360,8.000,14.10,30.00,37.40,0870360,4.000
__import__.product_0949001,30.000,17.30,4.70,4.70,0949001,9.000
