id,orderpoint_min,list_price,weight,orderpoint_max
__import__.product_1038030,1.000,370.00,,2.000
__import__.product_5010165,10.000,0.50,,20.000
__import__.product_5010169,10.000,1.00,,20.000
__import__.product_5020865,2.000,36.20,,4.000
__import__.product_5045147,1.000,240.00,,2.000
__import__.product_5157764,5.000,28.00,,10.000
__import__.product_5157766,10.000,32.00,,20.000
__import__.product_5230478,1.000,16.60,,5.000
__import__.product_5250021,1.000,32.00,,5.000
__import__.product_5913510,5.000,128.00,,10.000
__import__.product_7920149,25.000,109.70,,50.000
__import__.product_8097045,5.000,8.00,,10.000
__import__.product_8350828,1.000,1.80,,5.000
