id,orderpoint_min,weight,orderpoint_max
__import__.product_1063650,4.000,,6.000
__import__.product_5000191,1.000,,11.000
__import__.product_5000820,1.000,,6.000
__import__.product_5010218,8.000,,41.000
__import__.product_5014424,12.000,,24.000
__import__.product_5014443,6.000,,36.000
__import__.product_5014444,5.000,,36.000
__import__.product_5017950,10.000,,20.000
__import__.product_5021217,2.000,,5.000
__import__.product_5021219,1.000,,2.000
__import__.product_5021232,2.000,,5.000
__import__.product_5025118,3.000,,6.000
__import__.product_5025526,2.000,,4.000
__import__.product_5049207,2.000,,4.000
__import__.product_5210443,12.000,,24.000
__import__.product_5430808,3.000,,7.000
__import__.product_5610573,1.000,,2.000
__import__.product_5691165,1.000,,24.000
__import__.product_5859760,5.000,,10.000
__import__.product_5920061,5.000,,10.000
__import__.product_5920561,1.000,,2.000
__import__.product_5924060,2.000,,4.000
__import__.product_8064264,14.000,,28.000
__import__.product_8185565,2.000,,4.000
__import__.product_8337213,1.000,,2.000
__import__.product_8375774,6.000,,12.000
__import__.product_8375840,1.000,,2.000
