id,weight,orderpoint_max,depth,width,length,orderpoint_min
__import__.product_1007290,0,2,0,0,0,1
__import__.product_1023320,0,4,0,0,0,2
__import__.product_2363919,0.05,400,7,3.8,6.7,200
__import__.product_5050192,0,2,0,0,0,1
__import__.product_5200000,0,160,0,0,0,80
__import__.product_8006077,0,15,0,0,0,10
__import__.product_8006083,0,10,0,0,0,5
__import__.product_8006108,0,10,0,0,0,5
__import__.product_8006114,0,10,0,0,0,5
__import__.product_8017690,0,6,0,0,0,3
__import__.product_8020427,0,3,0,0,0,2
__import__.product_8032034,0,12,0,0,0,2
__import__.product_8076675,0,8,0,0,0,3
__import__.product_8217710,0,2,0,0,0,1
__import__.product_8222591,0,2,0,0,0,1
__import__.product_8274694,0,7,0,0,0,2
__import__.product_8285551,0,45,0,0,0,30
