id,weight,orderpoint_max,length,width,depth,default_code,orderpoint_min
__import__.product_0095695,0.46,70.000,6.60,6.60,14.20,0095695,30.000
__import__.product_0159820,3.00,23.000,31.00,26.00,11.00,0159820,10.000
__import__.product_0159830,8.50,6.000,55.00,38.00,9.50,0159830,3.000
__import__.product_0159860,1.00,4.000,26.00,17.50,6.70,0159860,2.000
__import__.product_0159880,12.00,12.000,73.00,39.00,12.00,0159880,7.000
__import__.product_0159930,15.00,10.000,73.00,39.00,11.50,0159930,5.000
__import__.product_0192295,0.10,4.000,16.20,12.50,4.40,0192295,2.000
__import__.product_0386938,0.04,23.000,12.20,5.30,4.00,0386938,7.000
__import__.product_0391383,0.30,18.000,35.20,10.50,9.70,0391383,9.000
__import__.product_0430397,0.03,55.000,3.20,3.20,6.90,0430397,25.000
__import__.product_0470021,0.20,164.000,5.20,5.20,9.80,0470021,60.000
__import__.product_0470039,0.43,600.000,6.60,6.60,14.30,0470039,300.000
__import__.product_0633135,0.03,427.000,18.70,7.60,1.90,0633135,115.000
__import__.product_0660945,0.02,200.000,9.70,6.90,1.70,0660945,72.000
__import__.product_0660946,0.15,81.000,5.50,5.50,11.30,0660946,24.000
__import__.product_0661132,0.21,100.000,5.60,5.60,10.50,0661132,60.000
__import__.product_0675551,0,3.000,0,0,0,0675551,2.000
__import__.product_0675561,0,7.000,0,0,0,0675561,6.000
__import__.product_0677401,0.04,152.000,24.70,5.30,2.70,0677401,45.000
__import__.product_0816900,0.20,4.000,18.40,15.00,6.70,0816900,2.000
__import__.product_0842450,0.06,132.000,3.50,3.50,9.10,0842450,36.000
__import__.product_0842534,1.13,160.000,8.70,8.70,24.00,0842534,100.000
