id,weight,orderpoint_max
__import__.product_1010820,,1.000
__import__.product_1032230,,1.000
__import__.product_1040060,,1.000
__import__.product_1040960,,1.000
__import__.product_5006220,,1.000
__import__.product_5027953,,1.000
__import__.product_5078003,,1.000
__import__.product_5078004,,1.000
__import__.product_5140046,,1.000
__import__.product_5175144,,1.000
__import__.product_5203041,,1.000
__import__.product_5211199,,1.000
__import__.product_5211263,,1.000
__import__.product_5250175,,1.000
__import__.product_5250255,,1.000
__import__.product_5326225,,1.000
__import__.product_5326226,,1.000
__import__.product_5326227,,1.000
__import__.product_5326230,,1.000
__import__.product_5326232,,1.000
__import__.product_5326233,,1.000
__import__.product_5410006,,1.000
__import__.product_5470021,,1.000
__import__.product_5470051,,1.000
__import__.product_5470060,,1.000
__import__.product_5470062,,1.000
__import__.product_5470064,,1.000
__import__.product_5470066,,1.000
__import__.product_5470068,,1.000
__import__.product_5470070,,1.000
__import__.product_5470072,,1.000
__import__.product_5650520,,1.000
__import__.product_5650545,,1.000
__import__.product_5845794,,1.000
__import__.product_5845840,,1.000
__import__.product_5848974,,1.000
__import__.product_5910515,,2.000
__import__.product_5921605,,1.000
