id,width,depth,length,default_code,indicated_price
__import__.product_0000001,0,0,0,0000001,1.00
__import__.product_0000004,0,0,0,0000004,24.60
__import__.product_0000010,0,0,0,0000010,4.00
__import__.product_0001257,0,0,0,0001257,41.50
__import__.product_0004551,0,0,0,0004551,41.60
__import__.product_0004590,0,0,0,0004590,65.20
__import__.product_0012641,0,0,0,0012641,7.70
__import__.product_0016261,0,0,0,0016261,86.50
__import__.product_0016501,0,0,0,0016501,3.60
__import__.product_0019455,0,0,0,0019455,18.30
__import__.product_0020915,0,0,0,0020915,46.50
__import__.product_0024319,0,0,0,0024319,46.50
__import__.product_0025817,0,0,0,0025817,6.10
__import__.product_0026518,0,0,0,0026518,5.30
__import__.product_0026724,16.70,15.20,18.00,0026724,45.00
__import__.product_0028555,0,0,0,0028555,35.60
__import__.product_0029643,0,0,0,0029643,105.70
__import__.product_0033910,0,0,0,0033910,6.00
__import__.product_0034009,0,0,0,0034009,5.30
__import__.product_0036707,0,0,0,0036707,5.70
__import__.product_0039248,0,0,0,0039248,3.20
__import__.product_0039347,0,0,0,0039347,4.30
__import__.product_0041020,0,0,0,0041020,5.30
__import__.product_0042150,0,0,0,0042150,7.80
__import__.product_0042671,0,0,0,0042671,10.50
__import__.product_0045000,0,0,0,0045000,4.00
__import__.product_0047530,0,0,0,0047530,4.20
__import__.product_0047555,0,0,0,0047555,5.80
__import__.product_0047738,0,0,0,0047738,4.40
__import__.product_0048728,0,0,0,0048728,5.20
__import__.product_0049236,0,0,0,0049236,120.10
__import__.product_0052407,0,0,0,0052407,9.10
__import__.product_0052613,0,0,0,0052613,5.90
__import__.product_0053330,0,0,0,0053330,4.50
__import__.product_0054379,6.50,4.60,11.60,0054379,55.70
__import__.product_0054759,0,0,0,0054759,10.00
__import__.product_0055095,0,0,0,0055095,7.50
__import__.product_0056259,0,0,0,0056259,13.80
__import__.product_0057500,0,0,0,0057500,3.10
__import__.product_0059675,0,0,0,0059675,24.50
__import__.product_0066266,0,0,0,0066266,13.40
__import__.product_0071506,6.50,14.30,6.50,0071506,14.30
__import__.product_0073296,0,0,0,0073296,29.60
__import__.product_0074492,0,0,0,0074492,4.90
__import__.product_0075911,0,0,0,0075911,9.30
__import__.product_0079491,0,0,0,0079491,5.80
__import__.product_0083063,0,0,0,0083063,5.40
__import__.product_0083774,4.80,8.40,4.80,0083774,13.60
__import__.product_0092247,0,0,0,0092247,6.50
__import__.product_0093138,0,0,0,0093138,24.10
__import__.product_0094052,0,0,0,0094052,6.40
__import__.product_0095091,0,0,0,0095091,4.40
__import__.product_0097519,0,0,0,0097519,5.60
__import__.product_0103416,0,0,0,0103416,2.10
__import__.product_0104786,0,0,0,0104786,3.40
__import__.product_0105320,0,0,0,0105320,5.80
__import__.product_0105965,0,0,0,0105965,5.40
__import__.product_0107532,0,0,0,0107532,11.70
__import__.product_0107813,0,0,0,0107813,7.20
__import__.product_0109207,0,0,0,0109207,2.50
__import__.product_0112490,0,0,0,0112490,5.70
__import__.product_0112946,0,0,0,0112946,20.30
__import__.product_0114561,0,0,0,0114561,8.60
__import__.product_0117093,0,0,0,0117093,7.50
__import__.product_0117770,0,0,0,0117770,20.80
__import__.product_0117800,0,0,0,0117800,5.50
__import__.product_0120584,0,0,0,0120584,4.90
__import__.product_0125997,0,0,0,0125997,139.00
__import__.product_0126000,0,0,0,0126000,3.20
__import__.product_0126797,0,0,0,0126797,4.50
__import__.product_0127870,0,0,0,0127870,6.80
__import__.product_0128488,0,0,0,0128488,4.00
__import__.product_0129007,0,0,0,0129007,6.70
__import__.product_0129098,0,0,0,0129098,4.60
__import__.product_0129114,0,0,0,0129114,5.70
__import__.product_0129460,0,0,0,0129460,7.00
__import__.product_0129593,0,0,0,0129593,5.80
__import__.product_0130294,0,0,0,0130294,7.70
__import__.product_0131680,0,0,0,0131680,2.80
__import__.product_0132472,0,0,0,0132472,3.90
__import__.product_0132647,0,0,0,0132647,12.10
__import__.product_0133835,0,0,0,0133835,10.00
__import__.product_0134593,0,0,0,0134593,1.80
__import__.product_0164665,0,0,0,0164665,4.10
__import__.product_0165266,0,0,0,0165266,1.00
__import__.product_0179009,0,0,0,0179009,25.00
__import__.product_0191056,0,0,0,0191056,25.50
__import__.product_0198325,0,0,0,0198325,3.10
__import__.product_0226258,0,0,0,0226258,4.50
__import__.product_0259754,0,0,0,0259754,19.50
__import__.product_0261339,0,0,0,0261339,18.30
__import__.product_0263772,0,0,0,0263772,12.50
__import__.product_0269746,0,0,0,0269746,36.30
__import__.product_0275370,0,0,0,0275370,67.40
__import__.product_0282897,0,0,0,0282897,7.60
__import__.product_0286799,0,0,0,0286799,5.90
__import__.product_0291948,0,0,0,0291948,3.40
__import__.product_0304204,0,0,0,0304204,14.90
__import__.product_0311753,0,0,0,0311753,19.00
__import__.product_0324079,0,0,0,0324079,6.20
__import__.product_0324905,0,0,0,0324905,35.70
__import__.product_0382440,0,0,0,0382440,16.50
__import__.product_0393231,0,0,0,0393231,20.80
__import__.product_0399907,0,0,0,0399907,37.90
__import__.product_0434274,0,0,0,0434274,6.10
__import__.product_0439224,0,0,0,0439224,14.00
__import__.product_0449942,0,0,0,0449942,59.80
__import__.product_0456749,0,0,0,0456749,3.90
__import__.product_0457739,0,0,0,0457739,9.00
__import__.product_0457846,0,0,0,0457846,7.50
__import__.product_0457911,0,0,0,0457911,7.20
__import__.product_0458182,0,0,0,0458182,9.00
__import__.product_0458331,0,0,0,0458331,8.00
__import__.product_0458356,5.60,24.20,5.60,0458356,23.40
__import__.product_0458448,0,0,0,0458448,14.50
__import__.product_0458455,0,0,0,0458455,9.00
__import__.product_0459008,0,0,0,0459008,5.40
__import__.product_0459271,0,0,0,0459271,7.50
__import__.product_0461202,0,0,0,0461202,8.00
__import__.product_0461582,0,0,0,0461582,9.00
__import__.product_0465674,0,0,0,0465674,6.50
__import__.product_0465831,0,0,0,0465831,8.00
__import__.product_0466243,0,0,0,0466243,19.50
__import__.product_0466391,0,0,0,0466391,8.00
__import__.product_0467571,0,0,0,0467571,8.00
__import__.product_0468371,0,0,0,0468371,9.00
__import__.product_0481598,4.60,3.60,5.00,0481598,8.90
__import__.product_0492066,0,0,0,0492066,8.80
__import__.product_0497388,0,0,0,0497388,31.80
__import__.product_0600809,0,0,0,0600809,8.10
__import__.product_0607309,0,0,0,0607309,12.00
__import__.product_0609537,0,0,0,0609537,34.70
__import__.product_0613364,0,0,0,0613364,8.60
__import__.product_0631470,0,0,0,0631470,59.00
__import__.product_0635730,0,0,0,0635730,30.40
__import__.product_0639730,0,0,0,0639730,54.60
__import__.product_0660464,0,0,0,0660464,23.20
__import__.product_0662163,0,0,0,0662163,12.90
__import__.product_0662197,0,0,0,0662197,5.00
__import__.product_0662505,0,0,0,0662505,17.40
__import__.product_0665372,0,0,0,0665372,18.10
__import__.product_0670380,0,0,0,0670380,7.10
__import__.product_0671297,0,0,0,0671297,5.40
__import__.product_0676726,2.30,5.30,2.30,0676726,12.50
__import__.product_0677526,8.60,11.00,8.60,0677526,10.20
__import__.product_0679266,0,0,0,0679266,5.70
__import__.product_0683748,0,0,0,0683748,6.30
__import__.product_0683755,0,0,0,0683755,6.30
__import__.product_0685313,0,0,0,0685313,7.30
__import__.product_0724849,0,0,0,0724849,5.10
__import__.product_0803619,0,0,0,0803619,26.10
__import__.product_0805440,0,0,0,0805440,5.80
__import__.product_0808444,0,0,0,0808444,12.50
__import__.product_0809996,0,0,0,0809996,20.70
__import__.product_0812289,0,0,0,0812289,6.40
__import__.product_0812479,0,0,0,0812479,8.90
__import__.product_0827329,0,0,0,0827329,8.50
__import__.product_0830141,0,0,0,0830141,2.80
__import__.product_0833582,5.20,9.70,5.20,0833582,8.10
__import__.product_0838326,0,0,0,0838326,27.60
__import__.product_0838797,0,0,0,0838797,40.40
__import__.product_0846089,0,0,0,0846089,17.80
__import__.product_0846097,0,0,0,0846097,23.40
__import__.product_0846311,0,0,0,0846311,4.60
__import__.product_0852251,0,0,0,0852251,5.80
__import__.product_0854349,0,0,0,0854349,6.30
__import__.product_0859074,3.90,8.50,6.10,0859074,11.50
__import__.product_0862433,0,0,0,0862433,23.00
__import__.product_0862436,0,0,0,0862436,125.10
__import__.product_0865212,0,0,0,0865212,4.10
__import__.product_0889014,0,0,0,0889014,10.00
__import__.product_0892448,0,0,0,0892448,6.50
__import__.product_0893891,0,0,0,0893891,11.40
__import__.product_0895540,0,0,0,0895540,31.50
