id,width,depth,length,default_code,weight
__import__.product_0011003,16.00,10.00,19.00,0011003,0.90
__import__.product_0032052,5.20,9.70,5.20,0032052,0.20
__import__.product_0048843,8.30,14.00,8.30,0048843,0.80
__import__.product_0052621,6.70,12.30,6.70,0052621,0.20
__import__.product_0080770,5.00,9.50,5.00,0080770,0.13
__import__.product_0080788,6.70,20.10,6.70,0080788,0.59
__import__.product_0081646,10.10,8.90,10.10,0081646,0.30
__import__.product_0095703,4.30,4.30,8.30,0095703,0.06
__import__.product_0098855,5.20,9.70,5.20,0098855,0.20
__import__.product_0117481,5.20,9.70,5.20,0117481,0.20
__import__.product_0124289,5.10,9.80,5.10,0124289,0.20
__import__.product_0159910,0,0,0,0159910,1.00
__import__.product_0159960,0,0,0,0159960,1.00
__import__.product_0159980,39.00,11.50,73.00,0159980,15.00
__import__.product_0275685,7.00,17.20,12.70,0275685,1.30
__import__.product_0385799,20.50,24.00,24.00,0385799,0.50
__import__.product_0391136,17.50,16.20,20.50,0391136,0.50
__import__.product_0399915,9.00,5.70,13.40,0399915,1.10
__import__.product_0422027,0,0,0,0422027,4.00
__import__.product_0433656,9.20,22.80,9.20,0433656,0.90
__import__.product_0445098,3.80,7.30,4.00,0445098,0.04
__import__.product_0481697,5.70,10.40,5.70,0481697,0.10
__import__.product_0483040,5.20,9.90,5.20,0483040,0.20
__import__.product_0487751,6.70,12.20,6.70,0487751,0.20
__import__.product_0496886,11.50,7.30,15.30,0496886,0.20
__import__.product_0661851,0,0,0,0661851,0
__import__.product_0724443,10.70,4.20,25.00,0724443,0.30
__import__.product_0724567,9.50,3.60,24.50,0724567,0.30
__import__.product_0724682,14.10,6.00,29.60,0724682,1.10
__import__.product_0724732,15.10,5.40,27.80,0724732,1.10
__import__.product_0735084,22.00,22.00,28.50,0735084,12.00
__import__.product_0802330,38.50,25.50,23.50,0802330,7.30
__import__.product_0814582,5.20,9.70,5.20,0814582,0.20
__import__.product_0874024,5.20,9.70,5.20,0874024,0.20
__import__.product_0881151,9.70,11.60,9.70,0881151,0.30
__import__.product_0884007,5.20,9.90,5.20,0884007,0.20
__import__.product_0884056,5.20,9.90,5.20,0884056,0.20
