id,width,depth,length,default_code
__import__.product_0000002,0,0,0,0000002
__import__.product_0000003,0,0,0,0000003
__import__.product_0000005,0,0,0,0000005
__import__.product_0000006,0,0,0,0000006
__import__.product_0000007,0,0,0,0000007
__import__.product_0000008,0,0,0,0000008
__import__.product_0000009,0,0,0,0000009
__import__.product_0000940,0,0,0,0000940
__import__.product_0000941,0,0,0,0000941
__import__.product_0001258,0,0,0,0001258
__import__.product_0001259,0,0,0,0001259
__import__.product_0010101,0,0,0,0010101
__import__.product_0010384,0,0,0,0010384
__import__.product_0010683,0,0,0,0010683
__import__.product_0010684,0,0,0,0010684
__import__.product_0010685,0,0,0,0010685
__import__.product_0011000,6.50,15.40,6.50,0011000
__import__.product_0011001,5.00,9.60,5.00,0011001
__import__.product_0011004,0,0,0,0011004
__import__.product_0011005,3.40,10.50,3.40,0011005
__import__.product_0011007,3.40,8.00,3.40,0011007
__import__.product_0011008,2.60,8.50,2.60,0011008
__import__.product_0011009,3.90,12.10,3.90,0011009
__import__.product_0011010,0,0,0,0011010
__import__.product_0011111,0,0,0,0011111
__import__.product_0012138,0,0,0,0012138
__import__.product_0012146,0,0,0,0012146
__import__.product_0012872,0,0,0,0012872
__import__.product_0012910,16.70,15.10,18.00,0012910
__import__.product_0012930,0,0,0,0012930
__import__.product_0013992,0,0,0,0013992
__import__.product_0014258,0,0,0,0014258
__import__.product_0014290,5.40,5.40,9.00,0014290
__import__.product_0014738,0,0,0,0014738
__import__.product_0014845,0,0,0,0014845
__import__.product_0015032,0,0,0,0015032
__import__.product_0015040,0,0,0,0015040
__import__.product_0015073,0,0,0,0015073
__import__.product_0015735,0,0,0,0015735
__import__.product_0016097,0,0,0,0016097
__import__.product_0016311,0,0,0,0016311
__import__.product_0016634,0,0,0,0016634
__import__.product_0016832,0,0,0,0016832
__import__.product_0016980,0,0,0,0016980
__import__.product_0017000,0,0,0,0017000
__import__.product_0017004,0,0,0,0017004
__import__.product_0017005,0,0,0,0017005
__import__.product_0017301,0,0,0,0017301
__import__.product_0017566,0,0,0,0017566
__import__.product_0018028,0,0,0,0018028
__import__.product_0018105,0,0,0,0018105
__import__.product_0018234,0,0,0,0018234
__import__.product_0018291,0,0,0,0018291
__import__.product_0018507,0,0,0,0018507
__import__.product_0018572,0,0,0,0018572
__import__.product_0018614,0,0,0,0018614
__import__.product_0018671,0,0,0,0018671
__import__.product_0018911,0,0,0,0018911
__import__.product_0019190,0,0,0,0019190
__import__.product_0019554,0,0,0,0019554
__import__.product_0019786,0,0,0,0019786
__import__.product_0020008,0,0,0,0020008
__import__.product_0020113,11.70,15.60,11.70,0020113
__import__.product_0020212,17.00,15.10,18.30,0020212
__import__.product_0020214,0,0,0,0020214
__import__.product_0020400,0,0,0,0020400
__import__.product_0020410,0,0,0,0020410
__import__.product_0020412,0,0,0,0020412
__import__.product_0020537,0,0,0,0020537
__import__.product_0020717,0,0,0,0020717
__import__.product_0020724,0,0,0,0020724
__import__.product_0020939,0,0,0,0020939
__import__.product_0021006,0,0,0,0021006
__import__.product_0021253,0,0,0,0021253
__import__.product_0021516,16.60,15.20,18.00,0021516
__import__.product_0021519,0,0,0,0021519
__import__.product_0021667,0,0,0,0021667
__import__.product_0021830,0,0,0,0021830
__import__.product_0021915,0,0,0,0021915
__import__.product_0022018,8.00,13.20,8.50,0022018
__import__.product_0022204,0,0,0,0022204
__import__.product_0022205,0,0,0,0022205
__import__.product_0022214,0,0,0,0022214
__import__.product_0022216,0,0,0,0022216
__import__.product_0022232,0,0,0,0022232
__import__.product_0022269,0,0,0,0022269
__import__.product_0022277,0,0,0,0022277
__import__.product_0022897,0,0,0,0022897
__import__.product_0023452,0,0,0,0023452
__import__.product_0023810,11.90,15.50,11.90,0023810
__import__.product_0023916,0,0,0,0023916
__import__.product_0024166,0,0,0,0024166
__import__.product_0024292,19.90,15.00,21.90,0024292
__import__.product_0024326,8.00,13.20,8.50,0024326
__import__.product_0024333,11.80,15.50,11.80,0024333
__import__.product_0024392,0,0,0,0024392
__import__.product_0024414,0,0,0,0024414
__import__.product_0024715,0,0,0,0024715
__import__.product_0024935,0,0,0,0024935
__import__.product_0025163,0,0,0,0025163
__import__.product_0025323,11.80,15.60,11.80,0025323
__import__.product_0025420,0,0,0,0025420
__import__.product_0025514,0,0,0,0025514
__import__.product_0025593,0,0,0,0025593
__import__.product_0025700,0,0,0,0025700
__import__.product_0025825,0,0,0,0025825
__import__.product_0025916,0,0,0,0025916
__import__.product_0026245,0,0,0,0026245
__import__.product_0026328,0,0,0,0026328
__import__.product_0026336,0,0,0,0026336
__import__.product_0027400,0,0,0,0027400
__import__.product_0027617,0,0,0,0027617
__import__.product_0027716,0,0,0,0027716
__import__.product_0027720,10.50,20.70,13.90,0027720
__import__.product_0027748,5.50,3.60,16.50,0027748
__import__.product_0027771,0,0,0,0027771
__import__.product_0027904,0,0,0,0027904
__import__.product_0028829,0,0,0,0028829
__import__.product_0029025,0,0,0,0029025
__import__.product_0029058,0,0,0,0029058
