id,width,depth,length,indicated_price,orderpoint_max
__import__.product_1202404,16.00,27.00,29.00,16.40,1.000
__import__.product_2737583,7.00,15.60,8.30,355.70,1.000
__import__.product_2923902,0,0,0,61.90,1.000
__import__.product_2926269,0,0,0,203.40,1.000
__import__.product_5192043,0,0,0,49.60,1.000
__import__.product_5192044,0,0,0,49.60,1.000
__import__.product_5250099,0,0,0,10.50,4.000
__import__.product_5259879,0,0,0,90.00,1.000
__import__.product_5305073,0,0,0,9999999999.99,1.000
__import__.product_5319300,14.00,18.00,15.00,110.40,1.000
__import__.product_5436012,19.80,14.10,19.80,126.60,1.000
__import__.product_6547461,5.40,20.90,13.80,28.00,1.000
__import__.product_7764040,4.70,9.90,8.10,7.20,1.000
