id,width,depth,length,indicated_price
__import__.product_1000215,0,0,0,10.40
__import__.product_1005140,0,0,0,23.60
__import__.product_1012921,0,0,0,351.80
__import__.product_1027530,0,0,0,31.80
__import__.product_1033414,5.60,1.90,11.70,6.70
__import__.product_1050270,0,0,0,16.00
__import__.product_1064997,0,0,0,6.30
__import__.product_1065085,0,0,0,8.90
__import__.product_1086081,0,0,0,12.70
__import__.product_1089028,0,0,0,17.30
__import__.product_1091586,5.50,5.40,12.90,104.90
__import__.product_1092766,0,0,0,20.00
__import__.product_1103902,0,0,0,5.90
__import__.product_1115559,6.60,1.50,10.00,32.20
__import__.product_1120906,0,0,0,632.40
__import__.product_1142132,0,0,0,97.40
__import__.product_1144049,0,0,0,141.30
__import__.product_1144055,12.60,3.50,15.50,141.30
__import__.product_1148402,0,0,0,156.20
__import__.product_1154044,12.60,3.50,15.50,141.30
__import__.product_1154052,12.60,3.50,15.50,141.30
__import__.product_1159342,0,0,0,6.00
__import__.product_1163849,4.50,20.40,7.50,21.20
__import__.product_1172758,0,0,0,76.20
__import__.product_1174663,0,0,0,181.90
__import__.product_1175595,0,0,0,6.00
__import__.product_1178847,0,0,0,8.00
__import__.product_1180009,0,0,0,45.50
__import__.product_1180082,5.70,24.00,5.70,24.30
__import__.product_1198050,0,0,0,8.40
__import__.product_1200815,0,0,0,34.60
__import__.product_1203116,0,0,0,16.80
__import__.product_1204890,0,0,0,14.70
__import__.product_1208651,0,0,0,8.90
__import__.product_1209105,0,0,0,17.00
__import__.product_1232651,0,0,0,65.00
__import__.product_1233030,0,0,0,34.70
__import__.product_1238088,5.20,15.10,5.20,13.60
__import__.product_1238674,0,0,0,18.00
__import__.product_1246271,6.80,13.00,6.80,9.70
__import__.product_1248640,0,0,0,9.40
__import__.product_1251909,0,0,0,6.10
__import__.product_1257153,5.70,1.60,13.40,30.20
__import__.product_1259985,3.80,3.00,15.70,4.90
__import__.product_1263011,0,0,0,5.30
__import__.product_1263326,0,0,0,5.30
__import__.product_1265925,8.00,7.80,17.40,74.80
__import__.product_1271063,0,0,0,199.10
__import__.product_1276906,0,0,0,5.80
__import__.product_1277348,0,0,0,11.20
__import__.product_1285402,6.00,6.00,11.50,4.20
__import__.product_1291027,0,0,0,20.90
__import__.product_1300565,0,0,0,81.20
__import__.product_1301217,0,0,0,30.60
__import__.product_1302173,0,0,0,16.90
__import__.product_1303361,0,0,0,35.20
__import__.product_1307933,0,0,0,8.00
__import__.product_1320670,0,0,0,15.00
__import__.product_1320860,0,0,0,9.10
__import__.product_1326149,0,0,0,9.40
__import__.product_1349281,0,0,0,9.40
__import__.product_1351692,0,0,0,19.00
__import__.product_1351725,0,0,0,7.50
__import__.product_1372432,13.10,15.40,31.70,1038.60
__import__.product_1374065,0,0,0,9.00
__import__.product_1380112,0,0,0,5.70
__import__.product_1380633,0,0,0,48.60
__import__.product_1383850,0,0,0,6.20
__import__.product_1384262,0,0,0,6.20
__import__.product_1385186,0,0,0,14.10
__import__.product_1388701,0,0,0,17.60
__import__.product_1391705,0,0,0,5.50
__import__.product_1391713,0,0,0,5.40
__import__.product_1400340,0,0,0,5.20
__import__.product_1401000,0,0,0,9999999999.99
__import__.product_1401082,0,0,0,27.40
__import__.product_1405008,0,0,0,318.10
__import__.product_1410059,0,0,0,13.80
__import__.product_1411453,4.70,10.50,4.70,492.60
__import__.product_1414457,0,0,0,16.40
__import__.product_1414929,5.80,2.20,10.70,9.60
__import__.product_1416726,6.10,5.90,13.00,21.30
__import__.product_1418334,0,0,0,6.40
__import__.product_1424126,0,0,0,5.90
__import__.product_1426568,0,0,0,8.20
__import__.product_1430024,0,0,0,63.80
__import__.product_1431170,0,0,0,23.30
__import__.product_1435742,0,0,0,13.90
__import__.product_1444488,0,0,0,15.80
__import__.product_1446913,0,0,0,10.90
__import__.product_1449842,0,0,0,10.90
__import__.product_1457845,0,0,0,13.40
__import__.product_1459809,0,0,0,5.40
__import__.product_1460005,0,0,0,9.00
__import__.product_1460286,0,0,0,8.00
__import__.product_1463637,0,0,0,9.50
__import__.product_1463868,0,0,0,30.60
__import__.product_1464064,0,0,0,18.90
__import__.product_1468164,0,0,0,17.10
__import__.product_1477801,10.00,9.00,10.00,12.00
__import__.product_1483916,0,0,0,7.60
__import__.product_1487560,0,0,0,24.60
__import__.product_1502905,0,0,0,4.50
__import__.product_1505012,0,0,0,167.00
__import__.product_1505015,0,0,0,70.00
__import__.product_1507656,0,0,0,4.30
__import__.product_1519065,16.30,15.80,24.50,90.00
__import__.product_1519099,15.80,12.80,20.30,90.00
__import__.product_1527050,0,0,0,3.10
__import__.product_1534601,0,0,0,49.70
__import__.product_1539261,0,0,0,265.30
__import__.product_1540731,0,0,0,8.00
__import__.product_1541556,0,0,0,11.20
__import__.product_1544170,0,0,0,31.70
__import__.product_1549591,5.00,11.10,5.00,126.30
__import__.product_1552017,0,0,0,5.80
__import__.product_1553981,0,0,0,5.80
__import__.product_1554690,0,0,0,8.50
__import__.product_1561265,0,0,0,14.10
__import__.product_1572502,0,0,0,12.40
__import__.product_1573534,0,0,0,226.00
__import__.product_1574771,0,0,0,6.70
__import__.product_1583988,0,0,0,17.50
__import__.product_1610294,5.70,4.60,11.00,112.10
__import__.product_1614882,0,0,0,316.00
__import__.product_1615541,0,0,0,29.50
__import__.product_1621085,0,0,0,7.50
__import__.product_1625433,0,0,0,7.00
__import__.product_1632223,0,0,0,13.00
__import__.product_1639624,0,0,0,4.00
__import__.product_1654490,0,0,0,229.00
__import__.product_1656446,10.80,0.70,12.80,5.70
__import__.product_1658392,0,0,0,11.70
__import__.product_1661727,0,0,0,14.90
__import__.product_1679000,0,0,0,24.60
__import__.product_1690916,0,0,0,13.00
__import__.product_1695691,0,0,0,9.90
__import__.product_1695733,0,0,0,15.60
__import__.product_1705482,0,0,0,59.50
__import__.product_1709831,5.50,10.00,5.30,55.10
__import__.product_1712355,0,0,0,27.00
__import__.product_1717941,0,0,0,106.30
__import__.product_1722727,0,0,0,19.50
__import__.product_1723543,0,0,0,15.30
__import__.product_1727395,0,0,0,7.70
__import__.product_1735141,0,0,0,29.90
__import__.product_1748946,0,0,0,16.00
__import__.product_1762855,0,0,0,9.20
__import__.product_1777242,0,0,0,37.00
__import__.product_1779065,0,0,0,7.10
__import__.product_1783976,0,0,0,15.00
__import__.product_1783984,0,0,0,25.00
__import__.product_1785104,0,0,0,99.00
__import__.product_1786151,0,0,0,15.50
__import__.product_1786573,0,0,0,15.50
__import__.product_1786664,0,0,0,60.00
__import__.product_1786755,0,0,0,17.00
__import__.product_1786938,0,0,0,15.00
__import__.product_1786946,0,0,0,63.00
__import__.product_1787183,0,0,0,18.00
__import__.product_1787969,0,0,0,16.00
__import__.product_1788181,0,0,0,16.00
__import__.product_1788272,0,0,0,28.00
__import__.product_1788496,0,0,0,15.50
__import__.product_1788553,0,0,0,15.50
__import__.product_1788595,0,0,0,27.80
__import__.product_1788678,0,0,0,16.00
__import__.product_1788801,0,0,0,27.50
__import__.product_1789056,0,0,0,17.50
__import__.product_1789122,0,0,0,16.00
__import__.product_1789924,0,0,0,15.50
__import__.product_1790716,0,0,0,27.00
__import__.product_1790724,0,0,0,113.50
__import__.product_1791086,0,0,0,63.00
__import__.product_1791516,0,0,0,15.50
__import__.product_1791649,0,0,0,17.50
__import__.product_1791656,0,0,0,72.00
__import__.product_1791664,0,0,0,15.00
__import__.product_1792324,0,0,0,29.70
__import__.product_1792332,0,0,0,113.50
__import__.product_1792647,0,0,0,15.50
__import__.product_1792654,0,0,0,63.00
__import__.product_1792696,0,0,0,63.00
__import__.product_1792720,0,0,0,15.50
__import__.product_1792753,0,0,0,122.00
__import__.product_1792985,0,0,0,30.00
__import__.product_1793082,0,0,0,15.50
__import__.product_1793421,0,0,0,18.00
__import__.product_1794072,0,0,0,29.70
__import__.product_1794080,0,0,0,113.50
__import__.product_1794577,0,0,0,27.80
__import__.product_1794916,0,0,0,17.50
__import__.product_1794924,0,0,0,74.50
__import__.product_1794999,0,0,0,15.50
__import__.product_1795152,0,0,0,15.50
__import__.product_1795335,0,0,0,82.40
__import__.product_1795350,0,0,0,34.00
__import__.product_1795368,0,0,0,151.00
__import__.product_1795491,0,0,0,27.50
__import__.product_1795509,0,0,0,115.00
__import__.product_1801160,0,0,0,14.90
__import__.product_1801170,0,0,0,16.60
__import__.product_1807210,0,0,0,28.30
__import__.product_2000700,0,0,0,73.30
__import__.product_2025799,0,0,0,19.30
__import__.product_2026524,0,0,0,10.60
__import__.product_2042406,0,0,0,39.80
__import__.product_2045789,0,0,0,111.00
__import__.product_2048254,0,0,0,5.70
__import__.product_2051274,7.20,3.60,11.30,22.10
__import__.product_2051928,0,0,0,6.80
__import__.product_2052561,0,0,0,2.50
__import__.product_2056877,0,0,0,30.90
__import__.product_2062347,0,0,0,12.20
__import__.product_2068419,0,0,0,28.50
__import__.product_2068583,0,0,0,10.60
__import__.product_2096485,0,0,0,8.30
__import__.product_2098051,0,0,0,101.20
__import__.product_2120202,0,0,0,7.00
__import__.product_2151264,0,0,0,23.00
__import__.product_2167385,7.80,14.90,7.80,58.20
__import__.product_2170892,0,0,0,211.00
__import__.product_2171825,0,0,0,7.50
__import__.product_2177772,19.00,25.00,15.00,76.50
__import__.product_2179463,0,0,0,17.90
__import__.product_2183010,0,0,0,16.50
__import__.product_2183416,6.60,1.60,7.30,12.90
__import__.product_2187995,0,0,0,123.30
__import__.product_2196801,16.60,12.30,26.50,81.10
__import__.product_2203156,18.60,10.40,19.80,65.30
__import__.product_2203453,0,0,0,44.70
__import__.product_2221802,4.60,1.70,10.50,11.70
__import__.product_2241164,5.20,2.10,8.20,4.60
__import__.product_2251957,5.40,5.30,13.50,19.60
__import__.product_2262012,7.30,13.20,7.30,77.00
__import__.product_2262103,6.00,11.10,6.00,88.00
__import__.product_2262137,5.90,11.00,5.90,54.00
__import__.product_2265809,0,0,0,49.00
__import__.product_2266799,10.70,3.50,20.00,11.10
__import__.product_2267284,0,0,0,18.00
__import__.product_2269868,11.70,15.00,11.70,36.10
__import__.product_2271179,5.50,7.90,5.90,17.80
__import__.product_2311381,0,0,0,148.50
__import__.product_2315083,0,0,0,9999999999.99
__import__.product_2372761,6.00,3.90,11.00,44.30
__import__.product_2378040,13.10,2.50,14.50,31.90
__import__.product_2399228,0,0,0,83.50
__import__.product_2413474,0,0,0,10.00
__import__.product_2413599,0,0,0,4.80
__import__.product_2520732,5.00,11.00,2.20,6.90
__import__.product_2550598,0,0,0,40.00
__import__.product_2550606,8.50,23.00,8.50,5.00
__import__.product_2577203,5.20,8.30,5.20,138.70
__import__.product_2604429,12.60,17.30,7.00,19.10
__import__.product_2617264,18.70,11.70,9.10,176.10
__import__.product_2676484,14.00,29.50,20.00,106.60
__import__.product_2687044,0,0,0,15.40
__import__.product_2687994,1.70,8.30,11.80,15.30
__import__.product_2700672,4.30,8.10,4.10,57.30
__import__.product_2717452,9.00,16.00,17.00,225.50
__import__.product_2746352,0,0,0,59.50
__import__.product_2763555,13.90,9.50,9.40,108.00
__import__.product_2769301,0,0,0,35.00
__import__.product_2801579,0,0,0,69.50
__import__.product_2801595,0,0,0,69.50
__import__.product_2815243,5.40,10.40,5.40,24.70
__import__.product_2828457,5.20,8.20,5.20,75.30
__import__.product_2837102,0,0,0,263.20
__import__.product_2882165,5.00,8.40,5.00,48.70
__import__.product_2888592,5.70,11.60,5.70,35.90
__import__.product_2908994,0,0,0,11.50
__import__.product_2909018,11.80,2.90,9.20,19.80
__import__.product_2920148,10.40,13.70,23.40,163.00
__import__.product_2920403,13.60,25.50,12.30,211.00
__import__.product_2925873,0,0,0,189.50
__import__.product_2930097,5.70,10.70,5.70,35.80
__import__.product_2954519,0,0,0,4.60
__import__.product_2954576,0,0,0,9.90
__import__.product_2975712,0,0,0,38.40
__import__.product_2975852,0,0,0,38.40
__import__.product_2982288,0,0,0,377.00
__import__.product_2995231,0,0,0,149.20
__import__.product_3004454,0,0,0,15.00
__import__.product_3004462,0,0,0,15.00
__import__.product_3006796,0,0,0,7.10
__import__.product_3007481,5.00,11.00,5.00,7.20
__import__.product_3012252,0,0,0,15.00
__import__.product_3015401,0,0,0,15.50
__import__.product_3015402,0,0,0,16.40
__import__.product_3044658,0,0,0,11.30
__import__.product_3044682,0,0,0,51.10
__import__.product_3050481,14.30,7.20,15.80,132.60
__import__.product_3051208,0,0,0,19.00
__import__.product_3068731,0,0,0,67.00
__import__.product_3102750,0,0,0,26.20
__import__.product_3109899,0,0,0,490.60
__import__.product_3194503,0,0,0,15.30
__import__.product_3251874,0,0,0,15.50
__import__.product_3254293,0,0,0,2.60
__import__.product_3287265,0,0,0,14.40
__import__.product_3319886,0,0,0,35.90
__import__.product_3532300,27.20,14.00,27.80,25.90
__import__.product_3549953,0,0,0,18.90
__import__.product_3561360,0,0,0,21.10
__import__.product_4000502,19.70,11.30,28.30,25.00
__import__.product_4000510,0,0,0,55.00
__import__.product_4000750,0,0,0,6.30
__import__.product_4000864,26.20,14.50,30.10,41.50
__import__.product_4000901,0,0,0,6.40
__import__.product_4000902,19.60,11.70,21.00,19.00
__import__.product_4000961,0,0,0,6.40
__import__.product_4000962,0,0,0,16.00
__import__.product_4000964,26.20,14.50,30.10,41.50
__import__.product_4001102,0,0,0,14.20
__import__.product_4001104,0,0,0,31.20
__import__.product_4001110,0,0,0,60.20
__import__.product_4001150,0,0,0,5.40
__import__.product_4001201,0,0,0,1.00
__import__.product_4002102,0,0,0,14.20
__import__.product_4002104,0,0,0,31.20
__import__.product_4002110,0,0,0,60.20
__import__.product_4002150,0,0,0,5.40
__import__.product_4003210,0,0,0,60.20
__import__.product_4005020,19.20,12.80,26.40,28.00
__import__.product_4005024,26.70,15.50,29.40,39.00
__import__.product_4006002,19.60,11.70,21.00,19.50
__import__.product_4006004,26.60,14.00,31.40,36.50
__import__.product_4006101,14.20,6.80,16.00,6.50
__import__.product_4006102,19.60,11.70,21.00,20.50
__import__.product_4007002,19.60,11.70,21.00,19.50
__import__.product_4007004,26.60,14.00,31.40,36.50
__import__.product_4007101,14.20,6.80,16.00,6.50
__import__.product_4007102,19.60,11.70,21.00,20.50
__import__.product_4008002,19.60,11.70,21.00,19.50
__import__.product_4008004,26.60,14.00,31.40,36.50
__import__.product_4009002,19.60,11.70,21.00,19.50
__import__.product_4100350,0,0,0,5.00
__import__.product_4100404,0,0,0,31.00
__import__.product_4120003,19.70,11.30,28.30,30.50
__import__.product_4130040,0,0,0,4.40
__import__.product_4140101,0,0,0,8.50
__import__.product_4160002,19.60,11.70,21.00,19.00
__import__.product_4160004,26.60,14.00,31.40,38.00
__import__.product_4160040,14.20,6.80,16.00,6.00
__import__.product_4170002,19.60,11.70,21.00,22.00
