id,width,depth,length,orderpoint_max
__import__.product_1007310,0,0,0,1.000
__import__.product_1009590,0,0,0,1.000
__import__.product_1009600,0,0,0,1.000
__import__.product_1009610,0,0,0,1.000
__import__.product_1023340,0,0,0,1.000
__import__.product_1023880,0,0,0,1.000
__import__.product_1041050,0,0,0,1.000
__import__.product_1048236,0,0,0,36.000
__import__.product_1069152,0,0,0,2.000
__import__.product_1129006,4.40,9.00,4.40,1.000
__import__.product_1336890,0,0,0,1.000
__import__.product_1405069,0,0,0,1.000
__import__.product_1505007,10.20,9.10,15.50,1.000
__import__.product_1660380,4.60,8.20,4.60,1.000
__import__.product_1731488,7.90,10.20,2.20,1.000
__import__.product_1731496,10.20,9.10,15.50,1.000
__import__.product_1820470,0,0,0,2.000
__import__.product_2092658,4.00,8.90,4.00,1.000
__import__.product_2322634,9.00,23.00,9.00,1.000
__import__.product_2413367,0,0,0,1.000
__import__.product_2413375,0,0,0,1.000
__import__.product_2413391,0,0,0,2.000
__import__.product_2433886,6.70,19.50,6.70,12.000
__import__.product_2471241,0,0,0,1.000
__import__.product_2542217,0,0,0,1.000
__import__.product_2650372,0,0,0,1.000
__import__.product_2713998,8.50,24.00,8.50,1.000
__import__.product_2737674,7.00,1.90,15.40,1.000
__import__.product_2927879,0,0,0,1.000
__import__.product_2995140,0,0,0,1.000
__import__.product_3045572,13.40,5.30,3.30,1.000
__import__.product_3276664,0,0,0,1.000
__import__.product_3308764,0,0,0,1.000
__import__.product_3324647,0,0,0,2.000
__import__.product_3541380,0,0,0,1.000
__import__.product_4657500,0,0,0,2.000
__import__.product_4665120,0,0,0,2.000
__import__.product_4896714,18.80,4.90,7.50,1.000
__import__.product_5000035,0,0,0,1.000
__import__.product_5000115,5.90,6.30,14.00,1.000
__import__.product_5000825,0,0,0,1.000
__import__.product_5000830,0,0,0,1.000
__import__.product_5000831,0,0,0,1.000
__import__.product_5000834,0,0,0,1.000
__import__.product_5000838,0,0,0,1.000
__import__.product_5000839,0,0,0,1.000
__import__.product_5002526,22.00,16.00,30.70,1.000
__import__.product_5010004,0,0,0,1.000
__import__.product_5010006,0,0,0,1.000
__import__.product_5010021,0,0,0,1.000
__import__.product_5010022,0,0,0,1.000
