id,width,depth,length,orderpoint_min,orderpoint_max
__import__.product_1007350,0,0,0,1.000,2.000
__import__.product_1010620,0,0,0,2.000,3.000
__import__.product_1010630,0,0,0,2.000,3.000
__import__.product_1010640,0,0,0,2.000,3.000
__import__.product_1010660,0,0,0,2.000,5.000
__import__.product_1013127,26.90,24.80,28.00,15.000,40.000
__import__.product_1013143,26.80,24.80,28.20,20.000,66.000
__import__.product_1013168,4.30,7.60,4.30,71.000,241.000
__import__.product_1013192,17.00,14.80,21.00,55.000,185.000
__import__.product_1013432,8.70,0,11.70,60.000,110.000
__import__.product_1013465,4.40,4.50,11.70,41.000,116.000
__import__.product_1021906,5.60,1.90,13.20,22.000,80.000
__import__.product_1021914,5.50,1.90,13.10,9.000,29.000
__import__.product_1023310,0,0,0,2.000,2.000
__import__.product_1036706,5.30,3.10,17.30,9.000,30.000
__import__.product_1038439,3.50,7.20,7.20,2.000,4.000
__import__.product_1038454,7.20,6.00,7.20,5.000,10.000
__import__.product_1040230,0,0,0,2.000,5.000
__import__.product_1053611,0,0,0,1.000,5.000
__import__.product_1064484,4.30,0,9.90,288.000,872.000
__import__.product_1067768,5.60,11.50,5.60,20.000,68.000
__import__.product_1069101,12.20,6.60,13.90,2.000,5.000
__import__.product_1070499,3.60,8.00,3.60,31.000,106.000
__import__.product_1071125,4.40,3.00,16.80,48.000,96.000
__import__.product_1073188,6.90,20.70,6.90,2.000,4.000
__import__.product_1073352,11.70,4.70,24.00,10.000,15.000
__import__.product_1073378,11.60,4.70,12.10,5.000,10.000
__import__.product_1073394,11.60,4.70,12.10,10.000,20.000
__import__.product_1074194,5.00,18.00,5.00,120.000,242.000
__import__.product_1074269,6.90,20.80,6.90,2.000,4.000
__import__.product_1074467,7.80,1.90,10.30,10.000,17.000
__import__.product_1074566,7.80,2.00,10.20,5.000,18.000
__import__.product_1077486,8.40,23.00,8.40,3.000,11.000
__import__.product_1091719,4.00,12.50,4.90,4.000,14.000
__import__.product_1091727,3.20,12.70,4.60,7.000,15.000
__import__.product_1112515,4.70,1.90,7.00,22.000,79.000
__import__.product_1112523,4.70,1.90,7.00,10.000,35.000
__import__.product_1114099,4.80,10.70,5.90,108.000,367.000
__import__.product_1118876,3.60,6.90,3.60,3.000,6.000
__import__.product_1120898,20.00,13.40,20.00,1.000,4.000
__import__.product_1122118,7.10,1.70,10.20,200.000,450.000
__import__.product_1122126,7.20,1.70,7.40,200.000,400.000
__import__.product_1124940,7.90,18.20,7.90,96.000,357.000
__import__.product_1126093,27.00,25.80,28.50,8.000,16.000
