id,width,depth,length,weight,orderpoint_max
__import__.product_1003890,0,0,0,0,1.000
__import__.product_1004100,0,0,0,0,1.000
__import__.product_1004110,0,0,0,0,1.000
__import__.product_1004130,0,0,0,0,1.000
__import__.product_1004140,0,0,0,0,1.000
__import__.product_1007230,0,0,0,0,1.000
__import__.product_1007250,0,0,0,0,1.000
__import__.product_1007320,0,0,0,0,1.000
__import__.product_1007340,0,0,0,0,1.000
__import__.product_1010600,0,0,0,0,1.000
__import__.product_1017990,0,0,0,0,1.000
__import__.product_1021350,0,0,0,0,1.000
__import__.product_1021360,0,0,0,0,1.000
__import__.product_1021370,0,0,0,0,1.000
__import__.product_1021390,0,0,0,0,1.000
__import__.product_1023220,0,0,0,0,1.000
__import__.product_1023230,0,0,0,0,1.000
__import__.product_1024170,0,0,0,0,1.000
__import__.product_1030250,0,0,0,0,1.000
__import__.product_1034940,0,0,0,0,1.000
__import__.product_1060600,0,0,0,0,1.000
__import__.product_1200583,0,0,0,10.00,1.000
__import__.product_1336528,0,0,0,0,2.000
__import__.product_1384726,0,0,0,0.20,1.000
__import__.product_2358042,37.00,11.00,60.00,7.50,1.000
__import__.product_2564748,29.60,31.90,29.60,10.00,1.000
__import__.product_2769103,18.00,8.00,20.20,1.00,4.000
__import__.product_2877975,0,0,0,0.90,3.000
__import__.product_2878023,0,0,0,0.90,8.000
__import__.product_2943256,4.70,11.40,9.60,0.10,1.000
__import__.product_3071669,0,0,0,5.00,1.000
__import__.product_3276672,0,0,0,0.10,1.000
__import__.product_3308723,0,0,0,0.10,1.000
__import__.product_3381282,0,0,0,2.00,1.000
__import__.product_3381308,0,0,0,2.00,1.000
__import__.product_3606720,0,0,0,0.30,1.000
__import__.product_3676368,0,0,0,0.20,1.000
__import__.product_4007121,14.00,6.00,19.00,0.40,12.000
__import__.product_4160121,14.00,6.00,19.00,0.40,12.000
__import__.product_4175100,25.00,10.00,23.00,3.00,2.000
__import__.product_5008115,0,0,0,0,1.000
__import__.product_5025329,0,0,0,0,2.000
__import__.product_5027525,0,0,0,0,10.000
__import__.product_5049212,13.50,29.50,19.10,4.40,1.000
__import__.product_5050192,0,0,0,0,1.000
__import__.product_5063952,0,0,0,0,1.000
__import__.product_5078032,0,0,0,0,1.000
__import__.product_5100765,0,0,0,0,75.000
__import__.product_5106307,0,0,0,0,1.000
__import__.product_5118515,10.10,10.50,20.50,0.40,20.000
__import__.product_5120024,0,0,0,0.50,1.000
__import__.product_5155804,0,0,0,0,1.000
__import__.product_5157398,0,0,0,0,2.000
__import__.product_5163210,0,0,0,3.00,1.000
__import__.product_5163410,0,0,0,3.00,1.000
__import__.product_5170107,0,0,0,0,1.000
__import__.product_5190231,0,0,0,0,1.000
__import__.product_5192042,0,0,0,1.20,1.000
__import__.product_5192262,0,0,0,5.00,1.000
__import__.product_5192710,11.00,44.00,28.00,3.00,4.000
__import__.product_5211260,0,0,0,0,1.000
__import__.product_5227280,0,0,0,0,1.000
__import__.product_5228000,0,0,0,0,1.000
__import__.product_5230351,0,0,0,0,1.000
__import__.product_5230661,0,0,0,0,1.000
__import__.product_5248609,0,0,0,0,1.000
__import__.product_5250003,0,0,0,0,1.000
__import__.product_5250004,0,0,0,0,1.000
__import__.product_5263556,0,0,0,3.00,3.000
__import__.product_5270208,0,0,0,10.00,1.000
__import__.product_5275600,0,0,0,0,1.000
__import__.product_5289917,0,0,0,0,1.000
__import__.product_5299906,0,0,0,0,1.000
__import__.product_5306300,0,0,0,0,1.000
__import__.product_5310123,0,0,0,0,2.000
__import__.product_5311003,0,0,0,3.00,1.000
__import__.product_5312003,0,0,0,3.00,1.000
__import__.product_5397502,0,0,0,0,1.000
__import__.product_5397503,0,0,0,0,1.000
__import__.product_5398495,0,0,0,0,1.000
__import__.product_5426243,0,0,0,0,1.000
__import__.product_5431500,11.50,6.00,33.30,0.20,4.000
__import__.product_5436830,0,0,0,0,1.000
__import__.product_5470750,0,0,0,0,1.000
__import__.product_5472686,0,0,0,15.00,1.000
__import__.product_5764207,0,0,0,1.00,1.000
__import__.product_5792022,6.50,13.70,6.50,0.40,1.000
__import__.product_5800011,0,0,0,0,1.000
__import__.product_5810228,0,0,0,1.50,6.000
__import__.product_5962006,29.00,30.30,40.00,11.00,1.000
__import__.product_6039100,0,0,0,0,5.000
__import__.product_6600834,28.20,24.20,29.70,10.40,1.000
__import__.product_6600845,28.90,24.00,29.10,5.40,1.000
__import__.product_7264788,0,0,0,1.20,1.000
__import__.product_7547090,0,0,0,2.00,6.000
__import__.product_7796462,30.00,41.00,30.00,12.00,1.000
__import__.product_7974455,0,0,0,0,1.000
__import__.product_8001298,0,0,0,0,1.000
__import__.product_8001766,0,0,0,0,1.000
__import__.product_8001973,0,0,0,0,1.000
__import__.product_8002429,0,0,0,0,1.000
__import__.product_8006775,4.00,15.00,4.00,0.40,1.000
__import__.product_8007036,0,0,0,0,1.000
__import__.product_8007208,0,0,0,0,1.000
__import__.product_8007645,0,0,0,0,1.000
__import__.product_8008136,0,0,0,0,1.000
__import__.product_8014757,0,0,0,0,1.000
__import__.product_8017715,0,0,0,0,1.000
__import__.product_8018301,0,0,0,0,1.000
__import__.product_8018502,0,0,0,0,1.000
__import__.product_8018519,0,0,0,0,2.000
__import__.product_8018525,0,0,0,0,2.000
__import__.product_8018548,0,0,0,0,2.000
__import__.product_8018637,0,0,0,0,2.000
__import__.product_8018689,0,0,0,0,2.000
__import__.product_8019016,0,0,0,0,2.000
__import__.product_8019737,0,0,0,0,1.000
__import__.product_8020255,0,0,0,0,2.000
__import__.product_8020410,0,0,0,0,1.000
__import__.product_8020456,0,0,0,0,1.000
__import__.product_8020605,0,0,0,0,1.000
__import__.product_8021645,0,0,0,0,1.000
__import__.product_8021970,0,0,0,0,1.000
__import__.product_8021987,0,0,0,0,1.000
__import__.product_8021993,0,0,0,0,1.000
__import__.product_8022018,0,0,0,0,2.000
__import__.product_8022604,0,0,0,0,1.000
__import__.product_8024394,0,0,0,0,1.000
__import__.product_8025330,0,0,0,0,1.000
__import__.product_8025689,0,0,0,0,1.000
__import__.product_8025979,0,0,0,0,1.000
__import__.product_8027168,0,0,0,0,1.000
__import__.product_8027174,0,0,0,0,1.000
__import__.product_8027300,0,0,0,0,1.000
__import__.product_8028618,0,0,0,0,1.000
__import__.product_8029842,0,0,0,0,1.000
__import__.product_8029902,0,0,0,0,1.000
__import__.product_8030035,0,0,0,0,1.000
__import__.product_8030041,0,0,0,0,1.000
__import__.product_8030064,0,0,0,0,1.000
__import__.product_8030124,0,0,0,0,1.000
__import__.product_8030130,0,0,0,0,1.000
__import__.product_8030147,0,0,0,0,1.000
__import__.product_8030561,0,0,0,0,1.000
__import__.product_8034317,0,0,0,0,1.000
__import__.product_8035251,0,0,0,0,1.000
__import__.product_8035268,0,0,0,0,1.000
__import__.product_8035274,0,0,0,0,1.000
__import__.product_8036339,0,0,0,0,1.000
__import__.product_8036374,0,0,0,0,2.000
__import__.product_8036411,0,0,0,0,1.000
__import__.product_8036428,0,0,0,0,1.000
__import__.product_8036581,0,0,0,0,1.000
__import__.product_8039496,0,0,0,0,1.000
__import__.product_8040140,0,0,0,0,1.000
__import__.product_8040393,0,0,0,0,1.000
__import__.product_8040542,0,0,0,0,1.000
__import__.product_8043084,0,0,0,0,1.000
__import__.product_8043836,34.00,0.10,59.50,1.60,1.000
__import__.product_8045025,0,0,0,0,1.000
__import__.product_8045143,0,0,0,0,2.000
__import__.product_8045551,0,0,0,0,1.000
__import__.product_8051244,0,0,0,0,1.000
__import__.product_8052574,0,0,0,0,1.000
__import__.product_8054544,0,0,0,0,1.000
__import__.product_8055578,0,0,0,0,1.000
__import__.product_8058364,0,0,0,0,1.000
__import__.product_8059286,0,0,0,0,1.000
__import__.product_8059524,0,0,0,0,2.000
__import__.product_8059889,0,0,0,0,1.000
__import__.product_8060415,0,0,0,0,1.000
__import__.product_8062012,0,0,0,0,1.000
__import__.product_8062503,0,0,0,0,1.000
__import__.product_8062733,0,0,0,0,1.000
__import__.product_8063193,0,0,0,0,1.000
__import__.product_8068977,0,0,0,0,1.000
__import__.product_8068983,0,0,0,0,1.000
__import__.product_8070483,0,0,0,0,1.000
__import__.product_8070514,0,0,0,0,1.000
__import__.product_8072648,0,0,0,0,1.000
__import__.product_8076712,0,0,0,0,1.000
__import__.product_8116104,0,0,0,0.40,1.000
__import__.product_8120761,0,0,0,5.00,12.000
__import__.product_8127208,0,0,0,0.70,12.000
__import__.product_8168443,0,0,0,0,1.000
__import__.product_8181320,0,0,0,0,1.000
__import__.product_8185358,0,0,0,0,1.000
__import__.product_8188977,0,0,0,0,1.000
__import__.product_8189043,0,0,0,0,1.000
__import__.product_8190402,0,0,0,0,1.000
__import__.product_8190454,0,0,0,0,1.000
__import__.product_8193369,0,0,0,0,1.000
__import__.product_8194044,0,0,0,0,1.000
