id,width,depth,list_price,length,orderpoint_max
__import__.product_1004190,0,0,20.00,0,1.000
__import__.product_1004350,0,0,26.00,0,1.000
__import__.product_1006630,0,0,842.40,0,1.000
__import__.product_1007110,0,0,22.00,0,1.000
__import__.product_1009740,0,0,134.10,0,1.000
__import__.product_1016510,0,0,235.00,0,1.000
__import__.product_1034990,0,0,338.00,0,1.000
__import__.product_1038990,0,0,616.00,0,1.000
__import__.product_1402594,0,0,1404.00,0,1.000
__import__.product_1806360,0,0,32.00,0,12.000
__import__.product_2232230,0,0,43.00,0,1.000
__import__.product_2318491,0,0,14.50,0,1.000
__import__.product_2900173,0,0,873.60,0,1.000
__import__.product_4301300,0,0,1821.00,0,1.000
__import__.product_4459534,0,0,193.50,0,1.000
__import__.product_5000142,0,0,9.10,0,1.000
__import__.product_5001001,0,0,20.00,0,1.000
__import__.product_5001075,0,0,26.00,0,1.000
__import__.product_5001076,0,0,26.00,0,1.000
__import__.product_5002015,0,0,8.20,0,2.000
__import__.product_5009330,0,0,15.00,0,1.000
__import__.product_5010003,0,0,67.80,0,1.000
__import__.product_5010040,0,0,57.50,0,1.000
__import__.product_5013017,0,0,37.50,0,1.000
__import__.product_5017696,0,0,19.20,0,1.000
__import__.product_5020478,0,0,20.90,0,1.000
__import__.product_5023094,0,0,2.50,0,1.000
__import__.product_5029016,0,0,16.10,0,2.000
__import__.product_5031044,0,0,139.00,0,1.000
__import__.product_5031940,0,0,98.50,0,1.000
__import__.product_5032421,0,0,62.50,0,1.000
__import__.product_5039704,0,0,29.90,0,1.000
__import__.product_5052035,0,0,2.50,0,1.000
__import__.product_5052036,0,0,2.50,0,1.000
__import__.product_5060115,0,0,16.20,0,1.000
__import__.product_5077046,6.70,3.50,16.00,6.70,1.000
__import__.product_5080461,9.00,21.50,32.00,9.00,1.000
__import__.product_5082203,0,0,27.00,0,1.000
__import__.product_5082204,0,0,27.00,0,1.000
__import__.product_5091916,0,0,31.50,0,1.000
__import__.product_5100105,0,0,40.00,0,1.000
__import__.product_5101002,0,0,20.00,0,1.000
__import__.product_5101519,0,0,26.80,0,1.000
__import__.product_5104005,0,0,25.00,0,1.000
__import__.product_5104012,0,0,12.00,0,1.000
__import__.product_5104013,0,0,12.00,0,1.000
__import__.product_5104016,0,0,23.00,0,1.000
__import__.product_5105624,0,0,105.00,0,1.000
__import__.product_5105627,0,0,105.00,0,1.000
__import__.product_5105630,0,0,105.00,0,1.000
__import__.product_5105803,0,0,117.00,0,1.000
__import__.product_5105806,0,0,117.00,0,1.000
__import__.product_5105809,0,0,117.00,0,1.000
__import__.product_5105829,0,0,105.00,0,1.000
__import__.product_5105835,0,0,105.00,0,1.000
__import__.product_5105839,0,0,105.00,0,1.000
__import__.product_5168070,0,0,2625.00,0,1.000
__import__.product_5180037,0,0,70.00,0,2.000
__import__.product_5203001,0,0,7.50,0,1.000
__import__.product_5211212,0,0,6.20,0,1.000
__import__.product_5227970,0,0,5.40,0,1.000
__import__.product_5230642,0,0,7.20,0,1.000
__import__.product_5241100,0,0,188.00,0,1.000
__import__.product_5244012,0,0,650.00,0,1.000
__import__.product_5244016,0,0,80.00,0,1.000
__import__.product_5246000,0,0,144.00,0,5.000
__import__.product_5250100,0,0,38.30,0,1.000
__import__.product_5260575,0,0,239.70,0,1.000
__import__.product_5271028,0,0,16.00,0,1.000
__import__.product_5271047,0,0,22.00,0,1.000
__import__.product_5271146,0,0,20.00,0,1.000
__import__.product_5271305,0,0,16.00,0,1.000
__import__.product_5271309,0,0,29.00,0,1.000
__import__.product_5273288,0,0,103.30,0,1.000
__import__.product_5273695,0,0,3.10,0,20.000
__import__.product_5278082,0,0,13.90,0,2.000
__import__.product_5300100,0,0,8000.00,0,1.000
__import__.product_5300613,0,0,2600.00,0,1.000
__import__.product_5300741,0,0,2600.00,0,1.000
__import__.product_5302253,0,0,10.00,0,1.000
__import__.product_5338680,0,0,21.50,0,1.000
__import__.product_5342100,0,0,44.00,0,1.000
__import__.product_5421930,0,0,19.50,0,2.000
__import__.product_5427500,0,0,19.00,0,10.000
__import__.product_5429040,0,0,15.00,0,1.000
__import__.product_5439192,0,0,59.00,0,1.000
__import__.product_5439193,0,0,37.00,0,2.000
__import__.product_5445303,0.30,0.30,10.90,79.30,1.000
__import__.product_5445304,0.40,0.40,10.90,80.00,1.000
__import__.product_5445306,0.60,0.60,10.90,80.00,1.000
__import__.product_5445307,0.70,0.70,10.90,80.00,1.000
__import__.product_5446053,0,0,47.00,0,2.000
__import__.product_5447111,18.30,4.30,15.30,18.20,2.000
__import__.product_5473652,1.20,0.10,8.40,100.00,10.000
__import__.product_5473653,1.50,0.10,8.40,102.00,1.000
__import__.product_5611001,0,0,68.00,0,1.000
__import__.product_5620888,70.00,180.00,9000.00,70.00,1.000
__import__.product_5650128,5.00,7.80,62.00,13.00,1.000
__import__.product_5660310,9.20,6.00,13.30,13.50,1.000
__import__.product_5710012,0,0,9.50,0,157.000
__import__.product_5717560,0,0,22.00,0,1.000
__import__.product_5722050,0,0,290.00,0,1.000
__import__.product_5742906,0,0,26.40,0,1.000
__import__.product_5749402,0,0,3650.00,0,1.000
__import__.product_5749403,0,0,4500.00,0,1.000
__import__.product_5760347,0,0,41.90,0,1.000
__import__.product_5794181,0,0,8.50,0,1.000
__import__.product_5800012,0,0,85.50,0,1.000
__import__.product_5800021,0,0,457.90,0,1.000
__import__.product_5851318,0,0,14.70,0,1.000
__import__.product_5900613,0,0,2600.00,0,1.000
__import__.product_5900742,0,0,2600.00,0,1.000
__import__.product_5900950,0,0,13400.00,0,1.000
__import__.product_5900999,0,0,700.00,0,1.000
__import__.product_5913419,0,0,117.70,0,1.000
__import__.product_5913502,12.20,17.20,41.20,3.00,2.000
__import__.product_5920403,0,0,18.00,0,5.000
__import__.product_5920404,0,0,18.00,0,1.000
__import__.product_5942205,0,0,13.50,0,1.000
__import__.product_5948332,0,0,15.00,0,1.000
__import__.product_6355021,0,0,20.10,0,1.000
__import__.product_6446016,17.90,3.00,50.00,24.70,1.000
__import__.product_7145443,0,0,4.80,0,1.000
__import__.product_7429036,0,0,11.00,0,1.000
__import__.product_7466900,0,0,78.00,0,1.000
__import__.product_7467520,0,0,55.00,0,1.000
__import__.product_7517510,0,0,53.00,0,1.000
__import__.product_7922137,5.60,2.60,19.80,5.60,1.000
__import__.product_7927030,12.10,17.20,18.00,3.10,1.000
__import__.product_8029664,2.40,0,4.50,2.40,1.000
__import__.product_8031023,4.40,13.00,62.10,8.20,1.000
__import__.product_8031098,4.60,13.00,86.30,4.60,1.000
__import__.product_8040448,0,0,4.50,0,1.000
__import__.product_8049023,0,0,50.00,0,1.000
__import__.product_8049053,0,0,172.50,0,1.000
__import__.product_8062940,0,0,1.80,0,1.000
__import__.product_8062963,0,0,184.20,0,1.000
__import__.product_8075641,12.60,13.60,181.50,86.00,1.000
__import__.product_8076994,0,0,21.20,0,1.000
__import__.product_8106353,5.30,5.30,15.00,63.50,1.000
__import__.product_8156708,0,0,4.20,0,1.000
__import__.product_8165016,0,0,9.60,0,1.000
__import__.product_8165021,13.00,2.50,9.60,19.00,1.000
__import__.product_8201979,0,0,1785.60,0,1.000
__import__.product_8236481,0,0,35.00,0,1.000
__import__.product_8236498,0,0,35.00,0,1.000
__import__.product_8237121,0,0,4.90,0,1.000
__import__.product_8255254,0,0,63.00,0,1.000
__import__.product_8258264,0,0,17.50,0,1.000
__import__.product_8275044,0,0,12.00,0,1.000
__import__.product_8277267,0,0,120.00,0,1.000
__import__.product_8278781,0,0,8.30,0,1.000
__import__.product_8280832,0,0,15.00,0,1.000
__import__.product_8292396,0,0,75.00,0,1.000
__import__.product_8292479,0,0,75.00,0,1.000
__import__.product_8292781,0,0,6.00,0,5.000
__import__.product_8296738,0,0,26.00,0,1.000
__import__.product_8336573,13.00,2.00,20.10,18.00,2.000
__import__.product_8383667,15.50,5.70,29.40,25.50,1.000
__import__.product_8480152,20.00,46.30,43.90,20.00,1.000
__import__.product_9240240,6.70,3.60,16.00,6.70,4.000
