id,width,depth,list_price,length,weight
__import__.product_1004220,0,0,18.00,0,0
__import__.product_1004240,0,0,18.00,0,0
__import__.product_1009200,0,0,30.40,0,0
__import__.product_1009550,0,0,105.00,0,0
__import__.product_1010350,0,0,51.00,0,0
__import__.product_1012970,5.20,9.70,34.60,5.20,0.20
__import__.product_1018800,0,0,2.60,0,0
__import__.product_1019730,0,0,32.10,0,0
__import__.product_1019870,0,0,32.10,0,0
__import__.product_1020650,0,0,40.00,0,0
__import__.product_1099969,39.30,40.20,38.60,58.90,9.10
__import__.product_1204437,3.90,4.80,111.70,9.00,0.07
__import__.product_1205187,0,0,29.30,0,0.30
__import__.product_1237091,39.00,11.50,41.60,73.00,15.00
__import__.product_1246313,5.20,9.80,7.60,5.20,0.20
__import__.product_1305101,7.50,8.40,3.80,7.50,0.23
__import__.product_1525468,20.50,7.40,24.80,30.00,1.20
__import__.product_1804050,0,0,64.00,0,0.20
__import__.product_1808530,0,0,171.00,0,0.20
__import__.product_1808540,0,0,56.70,0,0.10
__import__.product_1811590,0,0,77.00,0,0.10
__import__.product_1811600,0,0,39.00,0,0.10
__import__.product_1816340,0,0,39.00,0,0.60
__import__.product_1816900,0,0,8.00,0,0.10
__import__.product_1816920,0,0,8.00,0,0.20
__import__.product_1818490,0,0,718.00,0,3.00
__import__.product_1820570,0,0,24.30,0,0.10
__import__.product_2017234,0,0,2.30,0,0.50
__import__.product_2027644,0,0,6.20,0,2.00
__import__.product_2176105,0,0,132.90,0,0
__import__.product_2288884,0,0,61.10,0,1.00
__import__.product_2301230,0,0,230.00,0,0
__import__.product_2322733,10.30,4.60,42.00,12.70,0.14
__import__.product_2378123,13.20,3.30,39.00,14.50,0.10
__import__.product_2458099,4.60,9.10,13.10,4.60,0.10
__import__.product_2477487,14.80,11.80,77.10,18.00,0.40
__import__.product_2509883,11.20,8.00,40.00,20.50,0.30
__import__.product_2648020,0,0,23.60,0,0.10
__import__.product_2695443,0,0,15.50,0,1.00
__import__.product_2697472,0,0,37.40,0,1.00
__import__.product_2736098,19.00,10.00,12.30,33.00,2.50
__import__.product_2769073,5.10,10.30,28.00,5.00,0.20
__import__.product_2769107,6.70,13.60,58.00,6.70,0.50
__import__.product_2778332,0,0,94.80,0,0.10
__import__.product_2836401,0,0,322.20,0,5.00
__import__.product_2853281,4.50,7.50,41.00,10.00,0.34
__import__.product_2917219,0,0,107.40,0,1.00
__import__.product_2977163,0,0,17.50,0,2.40
__import__.product_2977254,0,0,59.00,0,0.25
__import__.product_2977650,0,0,20.90,0,3.00
__import__.product_3054624,0,0,288.20,0,2.50
__import__.product_3054632,0,0,518.70,0,5.00
__import__.product_3054996,0,0,206.00,0,2.50
__import__.product_3086667,0,0,30.60,0,0.20
__import__.product_3196417,0,0,84.10,0,0.30
__import__.product_3287208,0,0,34.10,0,4.00
__import__.product_3305703,0,0,60.00,0,0.60
__import__.product_3352978,0,0,46.20,0,10.00
__import__.product_3419512,0,0,4.90,0,0.10
__import__.product_4110000,0,0,75.00,0,0
__import__.product_4236113,0,0,194.40,0,2.40
__import__.product_4241479,0,0,99.10,0,7.50
__import__.product_4241491,0,0,78.10,0,7.50
__import__.product_4250203,0,0,18.80,0,3.50
__import__.product_4346066,40.00,9.50,28.60,49.00,10.30
__import__.product_4741331,11.30,3.10,222.40,30.50,1.00
__import__.product_4741638,11.40,13.60,85.30,11.40,0.50
__import__.product_4789579,0,0,15.00,0,0.10
__import__.product_5000007,0,0,72.50,0,0
__import__.product_5002003,0,0,293.00,0,0
__import__.product_5002310,0,0,3.80,0,0
__import__.product_5002311,0,0,4.00,0,0
__import__.product_5006135,0,0,352.00,0,0
__import__.product_5007110,0,0,150.00,0,0
__import__.product_5007111,0,0,150.00,0,0
__import__.product_5007146,0,0,150.00,0,0
__import__.product_5007147,0,0,150.00,0,0
__import__.product_5007183,0,0,28.60,0,0
__import__.product_5010210,0,0,8.60,0,0
__import__.product_5017534,0,0,40.90,0,16.50
__import__.product_5017538,0,0,40.90,0,16.50
__import__.product_5027102,5.50,17.00,3.30,5.50,0.20
__import__.product_5027601,0,0,11.90,0,0
__import__.product_5032001,0,0,487.00,0,0.10
__import__.product_5032136,0,0,98.50,0,0
__import__.product_5032154,0,0,98.50,0,0
__import__.product_5037302,5.50,14.50,9.00,18.00,0.30
__import__.product_5038751,0,0,7.00,0,0
__import__.product_5038752,0,0,8.70,0,0
__import__.product_5040042,0,0,9.90,0,0
__import__.product_5045133,0,0,150.00,0,0
__import__.product_5045134,0,0,75.00,0,0
__import__.product_5045144,0,0,114.00,0,0
__import__.product_5049521,0,0,465.00,0,0
__import__.product_5051479,0,0,26.70,0,0
__import__.product_5060107,0,0,59.00,0,0
__import__.product_5063970,0,0,6.20,0,0
__import__.product_5063971,0,0,1.80,0,0
__import__.product_5066094,19.00,7.00,11.80,28.00,1.50
__import__.product_5068725,0,0,12.80,0,0
__import__.product_5068727,0,0,38.50,0,0
