id,width,length,depth,indicated_price
__import__.product_1001910,0,0,0,228.71
__import__.product_1400099,0,0,0,9999999999.99
__import__.product_1401000,0,0,0,9999999999.99
__import__.product_2315083,0,0,0,9999999999.99
__import__.product_2503845,3.4,3.4,10.5,29.81
__import__.product_2637593,5.5,11.5,8,55.53
__import__.product_3031986,0,0,0,22.12
__import__.product_5100490,0,0,0,9999999999.99
__import__.product_5122401,0,0,0,9999999999.99
__import__.product_5305073,0,0,0,9999999999.99
__import__.product_5320145,0,0,0,9999999999.99
__import__.product_5632113,0,0,0,9999999999.99
__import__.product_5805114,0,0,0,9999999999.99
__import__.product_5902403,0,0,0,9999999999.99
__import__.product_5927103,0,0,0,9999999999.99
__import__.product_5928400,4.7,9.2,6.8,9999999999.99
__import__.product_8078243,0,0,0,9999999999.99
__import__.product_8341605,15.5,15.5,1.3,9999999999.99
__import__.product_8341611,15.5,15.5,2,9999999999.99
__import__.product_8363475,14,14,3,9999999999.99
