id,width,length,depth,name,weight
__import__.product_5201150,0,0,0,MELAG SAV 23EN DISJONCTEUR 20115,0
__import__.product_8011115,0,0,0,MERSUTURE USP2/0 EP3 24C3/8 F2503,0
__import__.product_8011227,0,0,0,"MERSUTURE USP0 EP3,5 LIGAPAK 2,5m F4504",0
__import__.product_8011279,0,0,0,"MERSUTURE USP1 EP4 LIGAPAK 2,5M F4505",0
__import__.product_8024193,0,0,0,PINCE A BIOPSIE UTERINE 54cm MORS 3mm,0
__import__.product_8035305,0,0,0,"OPHTALMOSCOPE  K180 2,5V HEINE (T",0
__import__.product_8209656,0,0,0,SURCHAUSSURES PVC BOOT T39-40 /PA,0
__import__.product_8209662,0,0,0,SURCHAUSSURES PVC BOOT T41-42 /PA,0
__import__.product_8209679,0,0,0,SURCHAUSSURES PVC BOOT T42-44 /PA,0
__import__.product_8209685,0,0,0,SURCHAUSSURES PVC BOOT T45-47 /PA,0
__import__.product_8223863,0,0,0,PILE PETSAFE 3V RFA188,0
__import__.product_8364569,0,0,0,SONDE ENDOTRACH SIL.ID 18mm 90cm,0
__import__.product_8486858,0,0,0,PAPIER THERMIQUE MITSUB MAT RL110mm x4,0
