id,width,length,depth,orderpoint_min,orderpoint_max
__import__.product_0026963,5.5,5.5,11.3,160,310
__import__.product_0159920,24,32,12,2,4
__import__.product_0383406,9.5,10.1,6.3,2,4
__import__.product_0392670,13.3,40.2,13.2,100,200
__import__.product_1002190,0,0,0,5,10
__import__.product_1023170,0,0,0,1,2
__import__.product_1038439,3.5,7.2,7.2,4,8
__import__.product_1180061,0,0,0,2,4
__import__.product_1200060,12,12,22,60,120
__import__.product_1211366,5.8,5.8,10.9,20,30
__import__.product_1237304,25,32,12,0,1
__import__.product_1360528,3.5,3.5,12.2,24,48
__import__.product_2087088,10.8,19.2,2.1,752,1328
__import__.product_2328854,4.3,4.3,16.6,14,25
__import__.product_2357465,37,60,8,1,2
__import__.product_2420685,13.8,7.4,24.7,10,18
__import__.product_2446011,0,0,0,5,11
__import__.product_2710515,5.8,5.7,10.5,14,23
__import__.product_2877678,28,41,9,20,40
__import__.product_2877702,37,60,11,3,6
__import__.product_2877751,37,60,11,10,20
__import__.product_2945590,21.7,5.2,2.5,200,400
__import__.product_3048741,0,0,0,184,440
__import__.product_3052115,0,0,0,15,25
__import__.product_3204443,0,0,0,100,160
__import__.product_3265360,0,0,0,63,120
__import__.product_3265550,0,0,0,30,60
__import__.product_3274511,0,0,0,10,20
__import__.product_3275609,0,0,0,6,12
__import__.product_3289444,0,0,0,60,120
__import__.product_3289451,0,0,0,30,70
__import__.product_3334778,0,0,0,30,50
__import__.product_3381274,0,0,0,1,2
__import__.product_3392743,0,0,0,1,2
__import__.product_3394269,0,0,0,4,6
__import__.product_3445848,0,0,0,4,10
__import__.product_3498995,0,0,0,0,1
__import__.product_3550431,0,0,0,20,40
__import__.product_3563061,0,0,0,8,12
__import__.product_3621166,0,0,0,16,24
__import__.product_3621174,0,0,0,14,26
__import__.product_4006021,14,19,6,6,18
__import__.product_4007021,19.6,25,9,12,20
__import__.product_4100004,0,0,0,50,100
__import__.product_4100005,0,0,0,50,100
__import__.product_4213002,19.6,25,9,2,6
__import__.product_4218359,10.5,20.5,10.5,84,120
__import__.product_5006025,0,0,0,40,60
__import__.product_5007025,0,0,0,30,50
__import__.product_5036001,0,0,0,1,2
__import__.product_5043800,0,0,0,55,100
__import__.product_5090339,0,0,0,500,1000
__import__.product_5120183,0,0,0,30,50
__import__.product_5156060,0,0,0,1,2
__import__.product_5156512,0,0,0,6,10
__import__.product_5160123,0,0,0,25,45
__import__.product_5192027,0,0,0,2,4
__import__.product_5196044,40,12,20,10,20
__import__.product_5196140,0,0,0,3,6
__import__.product_5196150,0,0,0,3,6
__import__.product_5224002,5,51,1,15,65
__import__.product_5315522,0,0,0,1,2
__import__.product_5446023,0,0,0,20,30
__import__.product_5450034,0,0,0,12,24
__import__.product_5611501,0,0,0,10,20
__import__.product_5611508,0,0,0,5,10
__import__.product_5611512,0,0,0,5,10
__import__.product_5611518,0,0,0,5,10
__import__.product_5611519,0,0,0,4,10
__import__.product_5611522,0,0,0,2,4
__import__.product_5611543,0,0,0,4,10
__import__.product_5611544,0,0,0,5,10
__import__.product_5611546,0,0,0,6,12
__import__.product_5660000,0,0,0,10,34
__import__.product_5662500,0,0,0,56,84
__import__.product_5671002,0,0,0,10,20
__import__.product_5700001,0,0,0,1,5
__import__.product_5758801,0,0,0,15,40
__import__.product_5827619,19,29,6,10,20
__import__.product_5911023,0,0,0,5,10
__import__.product_5920610,0,0,0,1,2
__import__.product_6600839,202.1,20.5,14.4,1,2
__import__.product_6899243,5.7,5.7,10.7,10,20
__import__.product_7420114,13.2,6.3,10.6,1,2
__import__.product_8024052,14.4,14.4,1,5,10
__import__.product_8026996,9.6,17.9,8.9,6,22
__import__.product_8031141,4.6,4.6,13,2,8
__import__.product_8032028,0,0,0,2,12
__import__.product_8040039,15,5.7,19.2,0,1
__import__.product_8069273,13.8,18,1.9,96,192
__import__.product_8150003,10.7,19.3,2.7,2,4
__import__.product_8237121,0,0,0,1,2
