id,width,length,depth,weight
__import__.product_0037077,3.2,14.8,2.7,0.04
__import__.product_0041921,11.3,11.3,15.4,0.73
__import__.product_0042028,2.5,4.6,6.4,0.03
__import__.product_0044925,7.1,7.1,26,0.47
__import__.product_0045518,4.4,6.6,10.3,0.09
__import__.product_0048173,5.2,5.1,14,0.24
__import__.product_0071514,4.8,22.6,2.6,0.03
__import__.product_0076901,4.5,4.5,6.8,0.07
__import__.product_0079327,6,10,15,0.67
__import__.product_0079459,5.2,5.2,11.5,0.26
__import__.product_0080770,5,5,9.5,0.13
__import__.product_0080788,6.7,6.7,20.1,0.59
__import__.product_0083253,15.7,19.1,24.4,6.38
__import__.product_0084665,3.8,3.8,11.2,0.03
__import__.product_0085456,4.7,4.7,9.3,0.12
__import__.product_0086405,6,20.7,3.6,0.06
__import__.product_0095703,4.3,8.3,4.3,0.06
__import__.product_0112573,3.4,3.4,6.7,0.03
__import__.product_0180370,0,0,0,0
__import__.product_0250555,4.4,6.6,10.3,0.1
__import__.product_0250563,4.5,8.3,20.2,0.31
__import__.product_0311498,3.1,5,9.5,0.05
__import__.product_0369124,4.7,4.7,8.7,0.12
__import__.product_0398131,3.6,6.2,9.3,0.05
__import__.product_0430397,3.2,3.2,6.9,0.03
__import__.product_0433672,5,12.4,22.3,0.31
__import__.product_0483040,5.2,5.2,9.9,0.2
__import__.product_0497487,6.6,8.5,22.6,0.5
__import__.product_0624825,9.2,9.2,22.7,1.22
__import__.product_0660945,6.9,9.7,1.7,0.02
__import__.product_0660946,5.5,5.5,11.3,0.15
__import__.product_0661132,5.6,5.6,10.5,0.21
__import__.product_0661851,0,0,0,0
__import__.product_0675551,0,0,0,0
__import__.product_0675561,0,0,0,0
__import__.product_0677401,5.3,24.7,2.7,0.04
__import__.product_0682666,10,10,16,0.6
__import__.product_0810879,9.2,9.2,24.5,1.09
__import__.product_0839993,2.9,3.3,7.1,0.03
__import__.product_0842443,3.6,4.6,9.1,0.04
__import__.product_0842450,3.5,3.5,9.1,0.06
__import__.product_0842534,8.7,8.7,24,1.13
__import__.product_0868059,7.3,7.1,14.5,0.37
__import__.product_0877332,6.2,20.2,19.4,1.17
__import__.product_0877340,6.5,20.3,19.5,1.18
__import__.product_0877365,6.8,9.7,4.9,0.07
__import__.product_0877894,4.3,9.9,6.4,0.12
__import__.product_0881151,9.7,9.7,11.6,0.3
__import__.product_0881177,32.3,35.8,27.5,10.7
__import__.product_1001210,0,0,0,0
__import__.product_1001230,0,0,0,0
__import__.product_1001916,11.3,12.2,2.5,0.03
__import__.product_1002980,0,0,0,0
__import__.product_1003040,0,0,0,0
__import__.product_1003050,0,0,0,0
__import__.product_1003060,0,0,0,0
__import__.product_1003180,0,0,0,0
__import__.product_1003240,0,0,0,0
__import__.product_1003890,0,0,0,0
__import__.product_1003900,0,0,0,0
__import__.product_1003910,0,0,0,0
__import__.product_1003920,0,0,0,0
__import__.product_1003930,0,0,0,0
__import__.product_1003960,0,0,0,0
__import__.product_1003980,0,0,0,0
__import__.product_1004010,0,0,0,0
__import__.product_1004070,0,0,0,0
__import__.product_1004080,0,0,0,0
__import__.product_1004090,0,0,0,0
__import__.product_1004100,0,0,0,0
__import__.product_1004110,0,0,0,0
__import__.product_1004120,0,0,0,0
__import__.product_1004130,0,0,0,0
__import__.product_1004140,0,0,0,0
__import__.product_1004220,0,0,0,0
__import__.product_1004240,0,0,0,0
__import__.product_1005000,0,0,0,0
__import__.product_1005010,0,0,0,0
__import__.product_1005840,0,0,0,0
__import__.product_1005980,0,0,0,0
__import__.product_1006380,0,0,0,0
__import__.product_1007230,0,0,0,0
__import__.product_1007250,0,0,0,0
__import__.product_1007280,0,0,0,0
__import__.product_1007320,0,0,0,0
__import__.product_1007340,0,0,0,0
__import__.product_1007360,0,0,0,0
__import__.product_1008190,0,0,0,0
__import__.product_1008620,0,0,0,0
__import__.product_1008640,0,0,0,0
__import__.product_1008680,0,0,0,0
__import__.product_1008810,0,0,0,0
__import__.product_1008820,0,0,0,0
__import__.product_1008830,0,0,0,0
__import__.product_1008840,0,0,0,0
__import__.product_1008850,0,0,0,0
__import__.product_1008870,0,0,0,0
__import__.product_1009200,0,0,0,0
__import__.product_1009550,0,0,0,0
__import__.product_1009809,4.8,22.2,23.6,0.65
__import__.product_1010280,0,0,0,0
__import__.product_1010290,0,0,0,0
__import__.product_1010300,0,0,0,0
__import__.product_1010310,0,0,0,0
__import__.product_1010320,0,0,0,0
__import__.product_1010330,0,0,0,0
__import__.product_1010340,0,0,0,0
__import__.product_1010350,0,0,0,0
__import__.product_1010600,0,0,0,0
__import__.product_1010610,0,0,0,0
__import__.product_1010670,0,0,0,0
__import__.product_1010720,0,0,0,0
__import__.product_1010730,0,0,0,0
__import__.product_1010780,0,0,0,0
__import__.product_1010790,0,0,0,0
__import__.product_1010810,0,0,0,0
__import__.product_1011080,0,0,0,0
__import__.product_1011110,0,0,0,0
__import__.product_1011140,0,0,0,0
__import__.product_1013150,6.5,27,2.7,0.27
__import__.product_1013390,5.6,5.6,10.6,0.23
__import__.product_1013960,0,0,0,0
__import__.product_1015030,0,0,0,0
__import__.product_1015040,0,0,0,0
__import__.product_1015390,0,0,0,0
__import__.product_1015410,0,0,0,0
__import__.product_1015420,0,0,0,0
__import__.product_1015440,0,0,0,0
__import__.product_1015450,0,0,0,0
__import__.product_1016560,0,0,0,0
__import__.product_1017930,0,0,0,0
__import__.product_1017940,0,0,0,0
__import__.product_1017950,0,0,0,0
__import__.product_1017960,0,0,0,0
__import__.product_1017970,0,0,0,0
__import__.product_1017980,0,0,0,0
__import__.product_1017990,0,0,0,0
__import__.product_1018000,0,0,0,0
__import__.product_1018010,0,0,0,0
__import__.product_1018020,0,0,0,0
__import__.product_1018030,0,0,0,0
__import__.product_1018040,0,0,0,0
__import__.product_1018050,0,0,0,0
__import__.product_1018070,0,0,0,0
__import__.product_1018080,0,0,0,0
__import__.product_1018100,0,0,0,0
__import__.product_1018280,0,0,0,0
__import__.product_1018330,0,0,0,0
__import__.product_1018340,0,0,0,0
__import__.product_1018360,0,0,0,0
__import__.product_1018370,0,0,0,0
__import__.product_1018390,0,0,0,0
__import__.product_1018400,0,0,0,0
__import__.product_1018420,0,0,0,0
__import__.product_1018430,0,0,0,0
__import__.product_1018800,0,0,0,0
__import__.product_1019380,0,0,0,0
__import__.product_1019590,0,0,0,0
__import__.product_1019620,0,0,0,0
__import__.product_1019630,0,0,0,0
__import__.product_1019640,0,0,0,0
__import__.product_1019660,0,0,0,0
__import__.product_1019670,0,0,0,0
__import__.product_1019730,0,0,0,0
__import__.product_1019870,0,0,0,0
__import__.product_1019900,0,0,0,0
__import__.product_1020100,0,0,0,0
__import__.product_1020540,0,0,0,0
__import__.product_1020650,0,0,0,0
__import__.product_1020700,0,0,0,0
__import__.product_1021340,0,0,0,0
__import__.product_1021350,0,0,0,0
__import__.product_1021360,0,0,0,0
__import__.product_1021370,0,0,0,0
__import__.product_1021380,0,0,0,0
__import__.product_1021390,0,0,0,0
__import__.product_1021580,0,0,0,0
__import__.product_1021590,0,0,0,0
__import__.product_1023130,0,0,0,0
__import__.product_1023220,0,0,0,0
__import__.product_1023230,0,0,0,0
__import__.product_1023420,0,0,0,0
__import__.product_1023430,0,0,0,0
__import__.product_1023440,0,0,0,0
__import__.product_1023450,0,0,0,0
__import__.product_1024160,0,0,0,0
__import__.product_1024170,0,0,0,0
__import__.product_1026170,0,0,0,0
__import__.product_1026180,0,0,0,0
__import__.product_1027515,5.6,18.7,3.8,0.1
__import__.product_1027760,0,0,0,0
__import__.product_1029720,0,0,0,0
__import__.product_1029730,0,0,0,0
__import__.product_1030040,0,0,0,0
__import__.product_1030250,0,0,0,0
__import__.product_1030320,0,0,0,0
__import__.product_1030330,0,0,0,0
__import__.product_1030340,0,0,0,0
__import__.product_1030350,0,0,0,0
__import__.product_1030360,0,0,0,0
__import__.product_1030370,0,0,0,0
__import__.product_1030410,0,0,0,0
__import__.product_1030490,0,0,0,0
__import__.product_1032240,0,0,0,0
__import__.product_1034880,0,0,0,0
__import__.product_1034940,0,0,0,0
__import__.product_1036290,0,0,0,0
__import__.product_1036300,0,0,0,0
