id,width,length,route_ids/id,depth
__import__.product_1004490,0,0,purchase.route_warehouse0_buy,0
__import__.product_4100008,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",0
__import__.product_5039858,0,0,purchase.route_warehouse0_buy,0
__import__.product_5105066,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",0
__import__.product_5161910,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",0
__import__.product_5163010,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",0
__import__.product_5163310,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",0
__import__.product_5165200,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",0
__import__.product_5166200,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",0
__import__.product_5196990,22,87,purchase.route_warehouse0_buy,150
__import__.product_5196999,3,18,purchase.route_warehouse0_buy,220
__import__.product_5272564,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",0
__import__.product_5383245,0,0,purchase.route_warehouse0_buy,0
__import__.product_5470047,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",0
__import__.product_5610105,0,0,purchase.route_warehouse0_buy,0
__import__.product_5634634,0,0,purchase.route_warehouse0_buy,0
__import__.product_5715062,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",0
__import__.product_7920500,0,0,purchase.route_warehouse0_buy,0
__import__.product_8295101,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",0
