id,width,manufacturer/id,depth,length
__import__.product_1760109,0,__import__.supplier_74166,0,0
__import__.product_3550100,0,__import__.supplier_81635,0,0
__import__.product_3597283,0,__import__.supplier_62750,0,0
__import__.product_5020132,0,__import__.supplier_74166,0,0
__import__.product_5031245,0,__import__.supplier_68370,0,0
__import__.product_5038245,0,__import__.supplier_74166,0,0
__import__.product_5041323,0,__import__.supplier_74166,0,0
__import__.product_5070015,0,__import__.supplier_74166,0,0
__import__.product_5210523,0,__import__.supplier_77316,0,0
__import__.product_5332650,0,__import__.supplier_66258,0,0
__import__.product_5336030,0,__import__.supplier_66258,0,0
__import__.product_5620888,70,__import__.supplier_79204,180,70
__import__.product_5918434,0,__import__.supplier_74140,0,0
__import__.product_5972618,0,__import__.supplier_74140,0,0
__import__.product_5972623,0,__import__.supplier_74140,0,0
__import__.product_5973623,0,__import__.supplier_74140,0,0
__import__.product_5973625,0,__import__.supplier_74140,0,0
__import__.product_5973627,0,__import__.supplier_74140,0,0
__import__.product_5973630,0,__import__.supplier_74140,0,0
__import__.product_6350340,4.5,__import__.supplier_81635,17.9,4.5
