id,width,orderpoint_max,depth,orderpoint_qty_multiple,length,route_ids/id
__import__.product_1819070,0,1,0,1,0,purchase.route_warehouse0_buy
__import__.product_1821820,0,1,0,1,0,purchase.route_warehouse0_buy
__import__.product_5010506,0,1,0,1,0,purchase.route_warehouse0_buy
__import__.product_5016310,0,1,0,1,0,purchase.route_warehouse0_buy
__import__.product_5147660,0,0,0,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy"
__import__.product_5301524,0,1,0,1,0,purchase.route_warehouse0_buy
__import__.product_5351524,0,1,0,1,0,purchase.route_warehouse0_buy
__import__.product_5427504,0,1,0,1,0,purchase.route_warehouse0_buy
__import__.product_5472683,0,1,0,1,0,purchase.route_warehouse0_buy
__import__.product_5505500,0,1,0,1,0,purchase.route_warehouse0_buy
__import__.product_5600801,0,1,0,1,0,purchase.route_warehouse0_buy
__import__.product_5611513,0,1,0,1,0,purchase.route_warehouse0_buy
__import__.product_5611514,0,1,0,1,0,purchase.route_warehouse0_buy
__import__.product_5800035,0,1,0,1,0,purchase.route_warehouse0_buy
__import__.product_5850510,0,1,0,1,0,purchase.route_warehouse0_buy
__import__.product_6350395,15.2,1,25,1,19.1,purchase.route_warehouse0_buy
__import__.product_8049053,0,0,0,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy"
