id,ratio_main_product,list_price,weight,orderpoint_max,medical_device,default_code,storage_temperature_id/id,create_date,categ_id/id,unit_in_shrink_wrap,unit_in_box,manufacturer/id,length,width,state_id/id,orderpoint_min,veterinary_only,barcode,taxes_id/id,indicated_price,unit_in_pallet,orderpoint_qty_multiple,supplier_taxes_id/id,tracking,active,cnk_code,sale_delay,web_published,name,uom_id/id,ratio_additional_product,depth,route_ids/id,price_category_id/id,uom_po_id/id
__import__.product_565906,0,293.34,0,0,,565906,specific_product.product_storage_temperature_ambient,2018-05-07,specific_data.product_categ_mat_equipement,0,0,__import__.supplier_95150,0,0,specific_purchase.product_state_l,0,,,l10n_be.1_attn_VAT-OUT-21-L,9999999999.99,0,0,l10n_be.1_attn_VAT-IN-V81-21,none,False,,0,False,MELAG SAV 23EN ELECTROVANNE 1,product.product_uom_unit,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_product.product_price_category_gma,product.product_uom_unit
__import__.product_5603547,0,10.71,2.00,8.000,,5603547,specific_product.product_storage_temperature_ambient,2018-05-07,specific_data.product_categ_ali_physio,6,6,__import__.supplier_68250,0,0,,2.000,,,l10n_be.1_attn_VAT-OUT-21-L,18.50,0,6,l10n_be.1_attn_VAT-IN-V81-21,lot,True,,0,True,IDEAL BALANCE CANINE PUPPY 2KG POULET,__setup__.product_uom_sac,0,0,purchase.route_warehouse0_buy,specific_product.product_price_category_alh,__setup__.product_uom_sac
__import__.product_5603552,0,10.71,2.00,8.000,,5603552,specific_product.product_storage_temperature_ambient,2018-05-07,specific_data.product_categ_ali_physio,0,6,__import__.supplier_68250,0,0,,2.000,,,l10n_be.1_attn_VAT-OUT-21-L,18.50,0,1,l10n_be.1_attn_VAT-IN-V81-21,lot,True,,0,True,IDEAL BALANCE CANINE MATURE 2KG POULET,__setup__.product_uom_sac,0,0,purchase.route_warehouse0_buy,specific_product.product_price_category_alh,__setup__.product_uom_sac
__import__.product_5603557,0,40.47,12.00,5.000,,5603557,specific_product.product_storage_temperature_ambient,2018-05-07,specific_data.product_categ_ali_physio,0,0,__import__.supplier_68250,0,0,,3.000,,,l10n_be.1_attn_VAT-OUT-21-L,69.95,0,1,l10n_be.1_attn_VAT-IN-V81-21,lot,True,,0,True,IDEAL BALANCE CANINE ADULT LARGE 12KG,__setup__.product_uom_sac,0,0,purchase.route_warehouse0_buy,specific_product.product_price_category_alh,__setup__.product_uom_sac
__import__.product_5603560,0,12.44,1.50,9.000,,5603560,specific_product.product_storage_temperature_ambient,2018-05-07,specific_data.product_categ_ali_physio,6,6,__import__.supplier_68250,0,0,,3.000,,,l10n_be.1_attn_VAT-OUT-21-L,21.50,0,6,l10n_be.1_attn_VAT-IN-V81-21,lot,True,,0,True,"IDEAL BALANCE FELINE KITTEN 1,5KG POULET",__setup__.product_uom_sac,0,0,purchase.route_warehouse0_buy,specific_product.product_price_category_alh,__setup__.product_uom_sac
__import__.product_5603562,0,12.44,1.50,9.000,,5603562,specific_product.product_storage_temperature_ambient,2018-05-07,specific_data.product_categ_ali_physio,6,6,__import__.supplier_68250,0,0,,3.000,,,l10n_be.1_attn_VAT-OUT-21-L,21.50,0,6,l10n_be.1_attn_VAT-IN-V81-21,lot,True,,0,True,"IDEAL BALANCE FELINE SENIOR 1,5KG POULET",__setup__.product_uom_sac,0,0,purchase.route_warehouse0_buy,specific_product.product_price_category_alh,__setup__.product_uom_sac
__import__.product_5603577,0,12.12,1.50,9.000,,5603577,specific_product.product_storage_temperature_ambient,2018-05-07,specific_data.product_categ_ali_physio,6,6,__import__.supplier_68250,0,0,,3.000,,,l10n_be.1_attn_VAT-OUT-21-L,20.95,0,6,l10n_be.1_attn_VAT-IN-V81-21,lot,True,,0,True,"IDEAL BALANCE FELINE ADULT 1,5KG POULET",__setup__.product_uom_sac,0,0,purchase.route_warehouse0_buy,specific_product.product_price_category_alh,__setup__.product_uom_sac
__import__.product_5603579,0,12.12,1.50,9.000,,5603579,specific_product.product_storage_temperature_ambient,2018-05-07,specific_data.product_categ_ali_physio,6,6,__import__.supplier_68250,0,0,,3.000,,,l10n_be.1_attn_VAT-OUT-21-L,20.95,0,6,l10n_be.1_attn_VAT-IN-V81-21,lot,True,,0,True,"IDEAL BALANCE FELINE ADULT 1,5KG THON",__setup__.product_uom_sac,0,0,purchase.route_warehouse0_buy,specific_product.product_price_category_alh,__setup__.product_uom_sac
__import__.product_5810722,0,19.81,2.00,0,,5810722,specific_product.product_storage_temperature_ambient,2018-05-07,specific_data.product_categ_ali_physio,0,0,__import__.supplier_68250,0,0,,0,,,l10n_be.1_attn_VAT-OUT-21-L,34.20,0,0,l10n_be.1_attn_VAT-IN-V81-21,lot,True,,0,True,IDEAL BALANCE FELINE ADULT 6x300G POULET,__setup__.product_uom_boite,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_product.product_price_category_alh,__setup__.product_uom_boite
__import__.product_5810725,0,19.81,2.00,0,,5810725,specific_product.product_storage_temperature_ambient,2018-05-07,specific_data.product_categ_ali_physio,0,0,__import__.supplier_68250,0,0,,0,,,l10n_be.1_attn_VAT-OUT-21-L,34.20,0,0,l10n_be.1_attn_VAT-IN-V81-21,lot,True,,0,True,IDEAL BALANCE FELINE ADULT 6x300GR THON,__setup__.product_uom_boite,0,0,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",specific_product.product_price_category_alh,__setup__.product_uom_boite
