id,standard_price
__import__.product_PFIZER01,0
__import__.product_T_7420040,0
__import__.product_T320612,0
__import__.product_T455146,0
__import__.product_T553204,0
__import__.product_T600832,0
__import__.product_T600874,0
__import__.product_T604965,0
__import__.product_T620004,0
__import__.product_T660074,0
__import__.product_T743467,0
__import__.product_T908986,0
__import__.product_0000001,2.3
__import__.product_0000002,16.76
__import__.product_0000003,3.3
__import__.product_0000004,10.92
__import__.product_0000005,3.8
__import__.product_0000006,8.92
__import__.product_0000007,81.8
__import__.product_0000008,2.75
__import__.product_0000009,5.53
__import__.product_0000010,2.32
__import__.product_0000940,3.71
__import__.product_0000941,5.46
__import__.product_0001257,16.29
__import__.product_0001258,9.47
__import__.product_0001259,11.42
__import__.product_0002844,4.98
__import__.product_0004528,11.14
__import__.product_0004551,20.95
__import__.product_0004560,35.21
__import__.product_0004588,35.21
__import__.product_0004590,32.84
__import__.product_0010101,3.92
__import__.product_0010384,2.37
__import__.product_0010683,0.82
__import__.product_0010684,0.82
__import__.product_0010685,0.82
__import__.product_0011000,0.45
__import__.product_0011001,0.31
__import__.product_0011002,8.69
__import__.product_0011003,9.73
__import__.product_0011004,22
__import__.product_0011005,0.4
__import__.product_0011007,0.24
__import__.product_0011008,0.39
__import__.product_0011009,0.4
__import__.product_0011010,0.2
__import__.product_0011111,18.7
__import__.product_0011304,15.44
__import__.product_0012138,3.69
__import__.product_0012146,4.74
__import__.product_0012641,4.46
__import__.product_0012872,19.73
__import__.product_0012910,10.62
__import__.product_0012930,36.93
__import__.product_0013992,2.78
__import__.product_0014258,2.96
__import__.product_0014290,1.73
__import__.product_0014738,6.09
__import__.product_0014845,4.56
__import__.product_0015032,7
__import__.product_0015040,0
__import__.product_0015073,0
__import__.product_0015305,5.1
__import__.product_0015735,3
__import__.product_0016097,3.65
__import__.product_0016188,0
__import__.product_0016261,64.72
__import__.product_0016311,3.64
__import__.product_0016501,2.09
__import__.product_0016634,6.04
__import__.product_0016832,0
__import__.product_0016980,5.23
__import__.product_0017000,1.02
__import__.product_0017004,7.92
__import__.product_0017005,1.47
__import__.product_0017301,2.68
__import__.product_0017566,4.12
__import__.product_0018028,4.44
__import__.product_0018105,31.49
__import__.product_0018234,1.82
__import__.product_0018291,0.85
__import__.product_0018507,2.51
__import__.product_0018572,1.61
__import__.product_0018614,5.5
__import__.product_0018671,1.63
__import__.product_0018911,18.7
__import__.product_0019190,2.55
__import__.product_0019455,10.6
__import__.product_0019554,24.29
__import__.product_0019778,2.29
__import__.product_0019786,5.26
__import__.product_0020008,4.15
__import__.product_0020113,9.76
__import__.product_0020115,17.62
__import__.product_0020212,12.91
__import__.product_0020214,12.94
__import__.product_0020400,5.26
__import__.product_0020410,4.68
__import__.product_0020412,12.61
__import__.product_0020537,3.93
__import__.product_0020717,21.23
__import__.product_0020724,43.23
__import__.product_0020915,14.9
__import__.product_0020939,46.31
__import__.product_0021006,4.66
__import__.product_0021253,3.46
__import__.product_0021516,10.7
__import__.product_0021519,5.67
__import__.product_0021667,1.74
__import__.product_0021830,7.64
__import__.product_0021915,4.03
__import__.product_0022014,143.34
__import__.product_0022018,11.15
__import__.product_0022204,3.39
__import__.product_0022205,3.23
__import__.product_0022214,3.39
__import__.product_0022216,2.68
__import__.product_0022232,3.23
__import__.product_0022269,5.08
__import__.product_0022277,2.36
__import__.product_0022897,2.72
__import__.product_0023452,3.17
__import__.product_0023810,12.61
__import__.product_0023916,6.34
__import__.product_0024166,1.77
__import__.product_0024292,17.68
__import__.product_0024319,15.32
__import__.product_0024326,28.86
__import__.product_0024333,72.76
__import__.product_0024392,220.66
__import__.product_0024414,6.52
__import__.product_0024715,5.3
__import__.product_0024920,4.31
__import__.product_0024935,8.33
__import__.product_0025163,7.34
__import__.product_0025323,11.43
__import__.product_0025420,11.91
__import__.product_0025514,12.61
__import__.product_0025593,0
__import__.product_0025700,0
__import__.product_0025817,3.54
__import__.product_0025825,20.22
__import__.product_0025916,0
__import__.product_0026245,10.01
__import__.product_0026328,10.84
__import__.product_0026336,7.76
__import__.product_0026518,2.88
__import__.product_0026724,14.42
__import__.product_0026963,14.39
__import__.product_0027400,5.75
__import__.product_0027617,37.04
__import__.product_0027716,14.18
__import__.product_0027720,27.96
__import__.product_0027748,4.44
__import__.product_0027771,2.14
__import__.product_0027904,1.7
__import__.product_0028555,19.29
__import__.product_0028829,8.88
__import__.product_0029025,7.63
__import__.product_0029058,3.41
__import__.product_0029132,15
__import__.product_0029149,69.87
__import__.product_0029157,4.02
__import__.product_0029226,2.96
__import__.product_0029249,2.01
__import__.product_0029306,3.36
__import__.product_0029348,9.29
__import__.product_0029643,55.01
__import__.product_0029655,34.11
__import__.product_0029777,1.11
__import__.product_0030195,51.7
__import__.product_0030296,2.16
__import__.product_0030304,1.17
__import__.product_0030494,1.71
__import__.product_0031005,2.05
__import__.product_0031450,4.78
__import__.product_0031468,1.52
__import__.product_0032052,20.1
__import__.product_0032410,10.8
__import__.product_0032417,14.25
__import__.product_0032912,0
__import__.product_0033019,3.39
__import__.product_0033050,5.67
__import__.product_0033282,2.25
__import__.product_0033530,0
__import__.product_0033548,2.06
__import__.product_0033571,2.59
__import__.product_0033795,1.74
__import__.product_0033910,3.32
__import__.product_0034009,3
__import__.product_0034058,2.34
__import__.product_0034100,1.39
__import__.product_0034280,4.61
__import__.product_0034637,3.73
__import__.product_0034686,14.27
__import__.product_0035000,6.07
__import__.product_0035030,1.49
__import__.product_0035434,111.75
__import__.product_0035469,0
__import__.product_0035600,2.26
__import__.product_0035725,3.51
__import__.product_0036517,3.54
__import__.product_0036566,3.73
__import__.product_0036632,4.78
__import__.product_0036707,3.31
__import__.product_0037028,5.51
__import__.product_0037077,5.79
__import__.product_0037333,27.3
__import__.product_0037457,2.56
__import__.product_0037473,4.45
__import__.product_0037556,4.15
__import__.product_0037754,5.4
__import__.product_0037770,9.19
__import__.product_0037820,2.6
__import__.product_0038100,28.76
__import__.product_0038101,25.11
__import__.product_0038102,21.55
__import__.product_0038103,20.51
__import__.product_0038104,18.85
__import__.product_0038105,22.94
__import__.product_0038106,25.11
__import__.product_0038224,3.5
__import__.product_0038521,21.47
__import__.product_0038715,65.28
__import__.product_0038716,5.01
__import__.product_0038717,6.02
__import__.product_0038719,5.69
__import__.product_0038720,6.27
__import__.product_0038927,1.49
__import__.product_0039123,10.78
__import__.product_0039248,1.86
__import__.product_0039347,2.5
__import__.product_0039669,3.32
__import__.product_0039719,16.62
__import__.product_0039834,0
__import__.product_0039859,9.8
__import__.product_0039883,17.25
__import__.product_0039917,7.38
__import__.product_0040097,2.73
__import__.product_0040162,3.44
__import__.product_0040295,2
__import__.product_0040345,2.87
__import__.product_0040394,0
__import__.product_0040451,1.26
__import__.product_0040659,0
__import__.product_0040766,5.35
__import__.product_0041020,3.08
__import__.product_0041863,1.32
__import__.product_0041921,21.43
__import__.product_0042028,8.35
__import__.product_0042150,5.07
__import__.product_0042168,17.65
__import__.product_0042267,4.56
__import__.product_0042390,0
__import__.product_0042500,2.95
__import__.product_0042523,3.24
__import__.product_0042564,3.51
__import__.product_0042671,6.01
__import__.product_0042754,10.57
__import__.product_0042762,17.67
__import__.product_0042887,6.48
__import__.product_0042952,1.47
__import__.product_0043026,7.23
__import__.product_0043299,1.91
__import__.product_0043471,0
__import__.product_0043711,2.23
__import__.product_0044180,4.93
__import__.product_0044230,1.19
__import__.product_0044248,11.87
__import__.product_0044545,3.15
__import__.product_0044586,3.92
__import__.product_0044925,34
__import__.product_0045000,2.32
__import__.product_0045518,29.9
__import__.product_0045666,65.63
__import__.product_0045856,1.81
__import__.product_0046037,0
__import__.product_0046128,3.1
__import__.product_0046946,3.91
__import__.product_0046987,3.87
__import__.product_0047142,2.69
__import__.product_0047167,2.17
__import__.product_0047365,3.12
__import__.product_0047522,3.91
__import__.product_0047530,2.43
__import__.product_0047555,3.28
__import__.product_0047597,2.92
__import__.product_0047639,6
__import__.product_0047738,2.55
__import__.product_0047829,0
__import__.product_0047894,2.16
__import__.product_0048042,80.71
__import__.product_0048043,2.14
__import__.product_0048132,1.54
__import__.product_0048173,11.65
__import__.product_0048181,77.96
__import__.product_0048200,127.38
__import__.product_0048219,2.89
__import__.product_0048230,2.1
__import__.product_0048234,3.19
__import__.product_0048235,2.37
__import__.product_0048236,1.97
__import__.product_0048237,1.57
__import__.product_0048248,2.89
__import__.product_0048296,3.81
__import__.product_0048363,3.11
__import__.product_0048454,0
__import__.product_0048462,106.99
__import__.product_0048463,3.03
__import__.product_0048557,1.49
__import__.product_0048586,2.71
__import__.product_0048587,2.8
__import__.product_0048596,80.74
__import__.product_0048728,3.01
__import__.product_0048843,2.68
__import__.product_0049049,0
__import__.product_0049122,4.18
__import__.product_0049130,7.4
__import__.product_0049236,85.41
__import__.product_0049478,3.49
__import__.product_0049479,4.47
__import__.product_0050237,1.97
__import__.product_0050435,5.52
__import__.product_0050500,5.95
__import__.product_0050559,1.4
